parameter_name,value,unit,description,category,reference,priority
# === MASTER PARAMETER FILE - SINGLE SOURCE OF TRUTH ===
# This file contains ALL parameters with NO duplicates
# Priority: 1=highest, 2=medium, 3=lowest (for conflict resolution)

# === THERMAL REQUIREMENTS (PHENOLOGY DEVELOPMENT) ===
GE_to_VE,80.0,gdd,Growing degree days from germination to emergence,thermal_requirements,"Tei et al. 1996",1
VE_to_V1,45.0,gdd,Growing degree days from emergence to first leaf,thermal_requirements,"Tei et al. 1996",1
V1_to_V2,35.0,gdd,Growing degree days from first to second leaf,thermal_requirements,"Tei et al. 1996",1
V2_to_V3,35.0,gdd,Growing degree days from second to third leaf,thermal_requirements,"Tei et al. 1996",1
V3_to_V4,35.0,gdd,Growing degree days from third to fourth leaf,thermal_requirements,"Tei et al. 1996",1
V4_to_V5,35.0,gdd,Growing degree days from fourth to fifth leaf,thermal_requirements,"Tei et al. 1996",1
V5_to_V6,35.0,gdd,Growing degree days from fifth to sixth leaf,thermal_requirements,"Tei et al. 1996",1
V6_to_V7,35.0,gdd,Growing degree days from sixth to seventh leaf,thermal_requirements,"Tei et al. 1996",1
V7_to_V8,35.0,gdd,Growing degree days from seventh to eighth leaf,thermal_requirements,"Tei et al. 1996",1
V8_to_V9,35.0,gdd,Growing degree days from eighth to ninth leaf,thermal_requirements,"Tei et al. 1996",1
V9_to_V10,35.0,gdd,Growing degree days from ninth to tenth leaf,thermal_requirements,"Tei et al. 1996",1
V10_to_V11+,40.0,gdd,Growing degree days from tenth leaf to mature vegetative,thermal_requirements,"Tei et al. 1996",1
V11+_to_HI,120.0,gdd,Growing degree days from mature vegetative to head initiation,thermal_requirements,"Tei et al. 1996",1
HI_to_HD,180.0,gdd,Growing degree days from head initiation to head development,thermal_requirements,"Tei et al. 1996",1
HD_to_HM,200.0,gdd,Growing degree days from head development to harvest maturity,thermal_requirements,"Tei et al. 1996",1
HM_to_PM,100.0,gdd,Growing degree days from harvest to physiological maturity,thermal_requirements,"Tei et al. 1996",1
vegetative_default,35.0,gdd,Default thermal time for vegetative stage transitions,thermal_requirements,"Tei et al. 1996",1
head_formation_default,150.0,gdd,Default thermal time for head formation stage transitions,thermal_requirements,"Tei et al. 1996",1
reproductive_default,200.0,gdd,Default thermal time for reproductive stage transitions,thermal_requirements,"Tei et al. 1996",1
transition_defaults,"{'vegetative': 35.0, 'head_formation': 150.0, 'reproductive': 200.0}",dict,Default thermal time requirements for stage transitions,thermal_requirements,"Tei et al. 1996",1

# === GENETIC PARAMETERS (GENETIC SYSTEM) ===
EM_FL,28.5,days,Time from emergence to first flower (lettuce-specific),genetic_parameters,"Boote et al. 2018",1
FL_SH,16.0,days,Time from first flower to first seed head,genetic_parameters,"DSSAT CROPGRO v4.8",1
FL_SD,24.0,days,Time from first flower to first seed,genetic_parameters,"DSSAT CROPGRO v4.8",1
SD_PM,35.0,days,Time from first seed to physiological maturity,genetic_parameters,"DSSAT CROPGRO v4.8",1
FL_LF,22.0,days,Time from first flower to end of leaf expansion,genetic_parameters,"Tei et al. 1996",1
LFMAX,1.25,mg_CO2_per_m2_per_s,Maximum leaf photosynthesis rate for lettuce,genetic_parameters,"Seginer et al. 1991",1
SLAVR,180.0,cm2_per_g,Specific leaf area under standard conditions,genetic_parameters,"Tei et al. 1996",1
SIZLF,25.0,cm2,Maximum size of full lettuce leaf,genetic_parameters,"Tei et al. 1996",1
XFRT,0.0,fraction,Maximum fraction partitioned to reproductive growth (lettuce is vegetative),genetic_parameters,"DSSAT CROPGRO v4.8",1
