parameter_name,value,unit,description
xylem_transport_capacity,0.1,fraction,Capacity of xylem to transport nutrients
phloem_transport_capacity,0.05,fraction,Capacity of phloem to transport nutrients
temperature_q10,2.0,factor,Q10 temperature factor for nutrient transport
transpiration_coupling,0.8,fraction,Coupling between transpiration and nutrient uptake
ec_factor_n_no3,0.001,dS_per_mg_L,EC contribution factor for nitrate
ec_factor_p_po4,0.0008,dS_per_mg_L,EC contribution factor for phosphate
ec_factor_k,0.0012,dS_per_mg_L,EC contribution factor for potassium
ec_factor_ca,0.0015,dS_per_mg_L,EC contribution factor for calcium
ec_factor_mg,0.0014,dS_per_mg_L,EC contribution factor for magnesium
ec_factor_s_so4,0.0010,dS_per_mg_L,EC contribution factor for sulfate
ec_factor_fe,0.002,dS_per_mg_L,EC contribution factor for iron
ec_uptake_high_threshold,1.2,ratio,EC ratio above which uptake is reduced
ec_uptake_low_threshold,0.8,ratio,EC ratio below which uptake may increase
ec_uptake_modifier_n_high,0.4,fraction,Nitrate uptake reduction factor at high EC
ec_uptake_modifier_p_high,0.3,fraction,Phosphate uptake reduction factor at high EC
ec_uptake_modifier_k_high,0.2,fraction,Potassium uptake reduction factor at high EC
ec_uptake_modifier_ca_high,0.1,fraction,Calcium uptake reduction factor at high EC
ec_uptake_modifier_n_low,0.5,fraction,Nitrate uptake increase factor at low EC
ec_uptake_modifier_p_low,0.3,fraction,Phosphate uptake increase factor at low EC
ec_uptake_modifier_fe_low,0.6,fraction,Iron uptake increase factor at low EC
