parameter_name,value,unit,description
optimal_temperature,20.0,celsius,Optimal root zone temperature for nutrient uptake
optimal_rzt_offset,3.0,celsius,Optimal root zone temperature offset from air
min_effective_rzt,12.0,celsius,Minimum effective root zone temperature
max_effective_rzt,32.0,celsius,Maximum effective root zone temperature
linear_growth_slope,0.05,per_celsius,Linear growth slope for temperature response
rapid_decline_slope,0.15,per_celsius,Rapid decline slope above optimal temperature
base_growth_factor,1.0,fraction,Base growth factor at optimal temperature
nutrient_uptake_sensitivity_low,0.08,per_celsius,Nutrient uptake sensitivity below optimal
nutrient_uptake_sensitivity_high,0.12,per_celsius,Nutrient uptake sensitivity above optimal
water_uptake_sensitivity_low,0.06,per_celsius,Water uptake sensitivity below optimal
water_uptake_sensitivity_high,0.10,per_celsius,Water uptake sensitivity above optimal
photosynthesis_sensitivity_low,0.04,per_celsius,Photosynthesis sensitivity below optimal
photosynthesis_sensitivity_high,0.08,per_celsius,Photosynthesis sensitivity above optimal
root_metabolism_sensitivity_low,0.03,per_celsius,Root metabolism sensitivity below optimal
root_metabolism_sensitivity_high,0.07,per_celsius,Root metabolism sensitivity above optimal
