parameter_name,value,unit,description
optimal_light_intensity,6.5,MJ_per_m2_per_day,ENMU greenhouse light (150-300 μmol/m²/s average)
min_ec,0.8,dS_per_m,Minimum electrical conductivity before stress
max_ec,2.2,dS_per_m,Maximum safe electrical conductivity
optimal_ec,1.4,dS_per_m,Optimal EC for floating hydroponic system
optimal_vpd_min,0.8,kPa,Lower bound VPD for greenhouse conditions
optimal_vpd_max,1.4,kPa,Upper bound VPD for greenhouse conditions
optimal_temperature,27.5,celsius,Average temperature (25-30°C ENMU range)
optimal_temperature_max,30.0,celsius,Maximum air temperature (ENMU study upper limit)
optimal_temperature_min,25.0,celsius,Minimum air temperature (ENMU study lower limit)
min_humidity,40.0,percent,Minimum humidity (40-50% ENMU range)
max_humidity,50.0,percent,Maximum humidity (ENMU study range)
co2_enrichment_start_hour,8.0,hours,Hour to begin CO2 management
co2_enrichment_duration,10.0,hours,Duration of active CO2 monitoring
co2_morning_target,450.0,ppm,CO2 target (400-500 ppm ENMU range)
co2_afternoon_target,450.0,ppm,CO2 target for afternoon
co2_enrichment_strategy,full_day,text,Full day CO2 monitoring for greenhouse
