parameter_name,value,unit,description,category
uptake_efficiency,0.25,fraction,Higher uptake efficiency for floating system,nitrogen_balance
nitrogen_uptake_efficiency,0.25,fraction,Nitrogen uptake efficiency for DWC system,nitrogen_balance
translocation_rate,0.4,fraction,Rate of nitrogen movement between plant parts,nitrogen_balance
protein_synthesis,0.6,fraction,Portion of nitrogen used for protein synthesis,nitrogen_balance
chlorophyll_ratio,0.03,fraction,Higher chlorophyll ratio for ENMU study,nitrogen_balance
senescence_rate,0.6,fraction,Nitrogen recovered during leaf senescence,nitrogen_balance
nitrate_reduction_rate,0.5,per_hour,Rate of nitrate reduction to nitrite,nitrogen_balance
ammonium_assimilation_rate,0.8,per_hour,Rate of ammonium assimilation into amino acids,nitrogen_balance
amino_acid_uptake_rate,0.3,per_hour,Rate of amino acid uptake from solution,nitrogen_balance
photosynthetic_n_use_efficiency,30.0,g_DM_per_g_N,Photosynthetic nitrogen use efficiency,nitrogen_balance
growth_n_use_efficiency,22.0,g_DM_per_g_N,Growth nitrogen use efficiency,nitrogen_balance
n_stress_threshold,0.7,fraction,Nitrogen stress threshold,nitrogen_balance
luxury_uptake_threshold,1.3,fraction,Luxury nitrogen uptake threshold,nitrogen_balance
specific_root_activity,0.08,mg_N_per_cm_per_day,Higher root activity for DWC,nitrogen_balance
root_zone_exploration,0.9,fraction,Higher exploration in floating system,nitrogen_balance
no3_uptake_vmax,0.045,mg_per_cm2_per_day,Higher NO3 uptake for floating system,root_uptake
no3_uptake_km,8.0,mg_per_L,Lower Km for better uptake efficiency,root_uptake
nh4_uptake_vmax,0.06,mg_per_cm2_per_day,Higher NH4 uptake rate,root_uptake
nh4_uptake_km,6.0,mg_per_L,Lower Km for ammonium uptake,root_uptake
po4_uptake_vmax,0.012,mg_per_cm2_per_day,Higher PO4 uptake rate,root_uptake
po4_uptake_km,4.0,mg_per_L,Lower Km for phosphate uptake,root_uptake
k_uptake_vmax,0.035,mg_per_cm2_per_day,Higher K uptake for floating system,root_uptake
k_uptake_km,15.0,mg_per_L,Lower Km for potassium uptake,root_uptake
ec_factor_n_no3,0.018,mS_per_cm_per_mg_per_L,Electrical conductivity contribution of nitrate-nitrogen,ec_factors
ec_factor_p_po4,0.012,mS_per_cm_per_mg_per_L,Electrical conductivity contribution of phosphate,ec_factors
ec_factor_k,0.024,mS_per_cm_per_mg_per_L,Electrical conductivity contribution of potassium,ec_factors
ec_factor_ca,0.015,mS_per_cm_per_mg_per_L,Electrical conductivity contribution of calcium,ec_factors
ec_factor_mg,0.022,mS_per_cm_per_mg_per_L,Electrical conductivity contribution of magnesium,ec_factors
ec_factor_s_so4,0.016,mS_per_cm_per_mg_per_L,Electrical conductivity contribution of sulfate-sulfur,ec_factors
ec_factor_fe,0.004,mS_per_cm_per_mg_per_L,Electrical conductivity contribution of iron,ec_factors
ph_target_min,5.5,pH_units,Minimum target pH (ENMU study range),ph_management
ph_target_max,6.5,pH_units,Maximum target pH (ENMU study range),ph_management
ph_buffer_capacity,2.0,meq_per_L,Buffer capacity for floating system,ph_management
ph_drift_rate,0.015,pH_per_day,Slower pH drift in static system,ph_management
nitrate_acidification_factor,0.001,pH_per_mg_N,pH decrease per mg N uptake from nitrate,ph_management
ammonium_alkalinization_factor,0.0005,pH_per_mg_N,pH increase per mg N uptake from ammonium,ph_management
carbonate_buffer_pka,6.35,pH_units,pKa of carbonic acid buffer system,ph_chemistry
phosphate_buffer_pka1,2.15,pH_units,First pKa of phosphoric acid,ph_chemistry
phosphate_buffer_pka2,7.20,pH_units,Second pKa of phosphoric acid,ph_chemistry
phosphate_buffer_pka3,12.35,pH_units,Third pKa of phosphoric acid,ph_chemistry
ph_adjustment_rate,0.5,pH_per_hour,Slower pH adjustment for static system,ph_control
ph_deadband,0.1,pH_units,Larger pH deadband for floating system,ph_control
xylem_transport_capacity,0.12,fraction,Lower transport capacity in floating system,nutrient_mobility
phloem_transport_capacity,0.06,fraction,Lower phloem transport,nutrient_mobility
temperature_q10,2.0,factor,Q10 temperature factor for nutrient transport,nutrient_mobility
transpiration_coupling,0.6,fraction,Lower transpiration coupling in DWC,nutrient_mobility
N-NO3_N1_ppm,150,ppm,N1 treatment nitrogen concentration,nutrient_treatments
N-NO3_N2_ppm,210,ppm,N2 treatment nitrogen concentration (control),nutrient_treatments
N-NO3_N3_ppm,250,ppm,N3 treatment nitrogen concentration (optimal),nutrient_treatments
N-NO3_N4_ppm,300,ppm,N4 treatment nitrogen concentration (high),nutrient_treatments
K_N1_ppm,100,ppm,N1 treatment potassium concentration,nutrient_treatments
K_N2_ppm,235,ppm,N2 treatment potassium concentration (control),nutrient_treatments
K_N3_ppm,300,ppm,N3 treatment potassium concentration (optimal),nutrient_treatments
K_N4_ppm,350,ppm,N4 treatment potassium concentration (high),nutrient_treatments
Ca_N1_ppm,150,ppm,N1 treatment calcium concentration,nutrient_treatments
Ca_N2_ppm,200,ppm,N2 treatment calcium concentration (control),nutrient_treatments
Ca_N3_ppm,250,ppm,N3 treatment calcium concentration (optimal),nutrient_treatments
Ca_N4_ppm,350,ppm,N4 treatment calcium concentration (high),nutrient_treatments
P_constant_ppm,56,ppm,Constant phosphorus for all treatments,nutrient_treatments
Mg_constant_ppm,45,ppm,Constant magnesium for all treatments,nutrient_treatments
B_constant_ppm,0.4,ppm,Constant boron for all treatments,nutrient_treatments
Zn_constant_ppm,0.35,ppm,Constant zinc for all treatments,nutrient_treatments
