setting_name,value,unit,description
system_type,DWC,,Type of hydroponic system (floating/deep water culture)
tank_volume,20,liters,Volume of nutrient solution (20L containers as per ENMU study)
flow_rate,0,liters_per_hour,No circulation in floating system (stagnant solution)
system_area,0.292,square_meters,Container area (73cm x 40cm = 0.292 m²)
number_of_plants,12,plants,Number of plants per container (12 as per ENMU study)
initial_ph,6.0,,Starting pH level of nutrient solution (5.5-6.5 range)
initial_ec,1.2,dS/m,Starting electrical conductivity for floating system
solution_change_days,15,days,Partial solution replenishment (as per ENMU protocol)
target_temperature,27,celsius,Average temperature (25-30°C range from ENMU study)
target_humidity,45,percent,Average humidity (40-50% range from study)
co2_concentration,450,ppm,CO2 concentration (400-500 ppm range from study)
container_depth,31,cm,Container depth as per ENMU study
plant_spacing,8,cm,Plant-to-plant distance
row_spacing,10,cm,Row-to-row distance
aeration,continuous,,Continuous air stone aeration
solution_depth,25,cm,Depth of nutrient solution in container
