Date,Day,TMax_C,TMin_C,SolRad_MJ,Rain_mm,TAvg_C,RH_pct,WindSpeed_ms,VPD_kPa
2025-03-07,1,28.5,25.0,6.8,0.0,26.75,45.0,2.1,1.2
2025-03-08,2,29.0,25.5,7.2,0.0,27.25,44.0,1.8,1.3
2025-03-09,3,30.0,26.0,6.5,0.0,28.0,43.0,2.0,1.4
2025-03-10,4,28.0,24.5,7.0,0.0,26.25,46.0,1.9,1.1
2025-03-11,5,29.5,25.5,6.9,0.0,27.5,45.0,2.2,1.3
2025-03-12,6,30.0,26.0,7.1,0.0,28.0,44.0,1.7,1.4
2025-03-13,7,27.5,24.0,6.6,0.0,25.75,47.0,2.0,1.0
2025-03-14,8,28.5,25.0,7.0,0.0,26.75,45.0,1.8,1.2
2025-03-15,9,29.0,25.5,6.8,0.0,27.25,46.0,2.1,1.2
2025-03-16,10,30.0,26.5,7.2,0.0,28.25,43.0,1.9,1.5
2025-03-17,11,28.0,24.5,6.7,0.0,26.25,47.0,2.0,1.1
2025-03-18,12,29.5,25.0,7.0,0.0,27.25,45.0,1.8,1.3
2025-03-19,13,30.0,26.0,6.9,0.0,28.0,44.0,2.2,1.4
2025-03-20,14,27.5,24.0,6.5,0.0,25.75,48.0,1.7,1.0
2025-03-21,15,28.5,25.5,7.1,0.0,27.0,46.0,2.0,1.2
2025-03-22,16,29.0,25.0,6.8,0.0,27.0,45.0,1.9,1.2
2025-03-23,17,30.0,26.0,7.0,0.0,28.0,44.0,2.1,1.4
2025-03-24,18,28.0,24.5,6.6,0.0,26.25,47.0,1.8,1.1
2025-03-25,19,29.5,25.5,6.9,0.0,27.5,45.0,2.0,1.3
2025-03-26,20,30.0,26.5,7.2,0.0,28.25,43.0,2.2,1.5
2025-03-27,21,27.5,24.0,6.7,0.0,25.75,48.0,1.7,1.0
2025-03-28,22,28.5,25.0,7.0,0.0,26.75,46.0,1.9,1.2
2025-03-29,23,29.0,25.5,6.8,0.0,27.25,45.0,2.1,1.2
2025-03-30,24,30.0,26.0,6.9,0.0,28.0,44.0,1.8,1.4
2025-03-31,25,28.0,24.5,6.5,0.0,26.25,47.0,2.0,1.1
2025-04-01,26,29.5,25.0,7.1,0.0,27.25,45.0,1.9,1.3
2025-04-02,27,30.0,26.0,6.8,0.0,28.0,44.0,2.2,1.4
2025-04-03,28,27.5,24.0,6.6,0.0,25.75,48.0,1.7,1.0
2025-04-04,29,28.5,25.5,7.0,0.0,27.0,46.0,2.0,1.2
2025-04-05,30,29.0,25.0,6.9,0.0,27.0,45.0,1.8,1.2
