parameter_name,value,unit,description,category
uptake_efficiency,0.85,fraction,Efficiency of nitrogen uptake from solution,nitrogen_balance
nitrogen_uptake_efficiency,0.8,fraction,Minimal nitrogen uptake efficiency for calculations,nitrogen_balance
translocation_rate,0.4,fraction,Rate of nitrogen movement between plant parts,nitrogen_balance
protein_synthesis,0.6,fraction,Portion of nitrogen used for protein synthesis,nitrogen_balance
chlorophyll_ratio,0.02,fraction,Fraction of leaf nitrogen in chlorophyll,nitrogen_balance
senescence_rate,0.6,fraction,Nitrogen recovered during leaf senescence,nitrogen_balance
nitrate_reduction_rate,0.5,per_hour,Rate of nitrate reduction to nitrite,nitrogen_balance
ammonium_assimilation_rate,0.8,per_hour,Rate of ammonium assimilation into amino acids,nitrogen_balance
amino_acid_uptake_rate,0.3,per_hour,Rate of amino acid uptake from solution,nitrogen_balance
photosynthetic_n_use_efficiency,35.0,g_DM_per_g_N,Photosynthetic nitrogen use efficiency,nitrogen_balance
growth_n_use_efficiency,25.0,g_DM_per_g_N,Growth nitrogen use efficiency,nitrogen_balance
n_stress_threshold,0.7,fraction,Nitrogen stress threshold,nitrogen_balance
luxury_uptake_threshold,1.3,fraction,Luxury nitrogen uptake threshold,nitrogen_balance
specific_root_activity,0.05,mg_N_per_cm_per_day,Specific root activity for nitrogen uptake,nitrogen_balance
root_zone_exploration,0.8,fraction,Root zone exploration efficiency,nitrogen_balance
no3_uptake_vmax,0.03,mg_per_cm2_per_day,Maximum NO3 uptake rate per root surface area,root_uptake
no3_uptake_km,12.0,mg_per_L,Half-saturation constant for NO3 uptake,root_uptake
nh4_uptake_vmax,0.045,mg_per_cm2_per_day,Maximum NH4 uptake rate per root surface area,root_uptake
nh4_uptake_km,8.0,mg_per_L,Half-saturation constant for NH4 uptake,root_uptake
po4_uptake_vmax,0.008,mg_per_cm2_per_day,Maximum PO4 uptake rate per root surface area,root_uptake
po4_uptake_km,5.0,mg_per_L,Half-saturation constant for PO4 uptake,root_uptake
k_uptake_vmax,0.025,mg_per_cm2_per_day,Maximum K uptake rate per root surface area,root_uptake
k_uptake_km,18.0,mg_per_L,Half-saturation constant for K uptake,root_uptake
ec_factor_n_no3,0.018,mS_per_cm_per_mg_per_L,Electrical conductivity contribution of nitrate-nitrogen,ec_factors
ec_factor_p_po4,0.012,mS_per_cm_per_mg_per_L,Electrical conductivity contribution of phosphate,ec_factors
ec_factor_k,0.024,mS_per_cm_per_mg_per_L,Electrical conductivity contribution of potassium,ec_factors
ec_factor_ca,0.015,mS_per_cm_per_mg_per_L,Electrical conductivity contribution of calcium,ec_factors
ec_factor_mg,0.022,mS_per_cm_per_mg_per_L,Electrical conductivity contribution of magnesium,ec_factors
ec_factor_s_so4,0.016,mS_per_cm_per_mg_per_L,Electrical conductivity contribution of sulfate-sulfur,ec_factors
ec_factor_fe,0.004,mS_per_cm_per_mg_per_L,Electrical conductivity contribution of iron,ec_factors
ph_target_min,5.8,pH_units,Minimum target pH for hydroponic solution,ph_management
ph_target_max,6.2,pH_units,Maximum target pH for hydroponic solution,ph_management
ph_buffer_capacity,2.5,meq_per_L,Buffer capacity of nutrient solution,ph_management
ph_drift_rate,0.02,pH_per_day,Natural pH drift rate without buffering,ph_management
nitrate_acidification_factor,0.0015,pH_per_mg_N,pH decrease per mg N uptake from nitrate,ph_management
ammonium_alkalinization_factor,0.0008,pH_per_mg_N,pH increase per mg N uptake from ammonium,ph_management
carbonate_buffer_pka,6.35,pH_units,pKa of carbonic acid buffer system,ph_chemistry
phosphate_buffer_pka1,2.15,pH_units,First pKa of phosphoric acid,ph_chemistry
phosphate_buffer_pka2,7.20,pH_units,Second pKa of phosphoric acid,ph_chemistry
phosphate_buffer_pka3,12.35,pH_units,Third pKa of phosphoric acid,ph_chemistry
ph_adjustment_rate,1.0,pH_per_hour,Maximum pH adjustment rate for control system,ph_control
ph_deadband,0.05,pH_units,pH deadband for control system activation,ph_control
xylem_transport_capacity,0.15,fraction,Capacity of xylem to transport nutrients,nutrient_mobility
phloem_transport_capacity,0.08,fraction,Capacity of phloem to transport nutrients,nutrient_mobility
temperature_q10,2.0,factor,Q10 temperature factor for nutrient transport,nutrient_mobility
transpiration_coupling,0.8,fraction,Coupling between transpiration and nutrient uptake,nutrient_mobility
N-NO3_initial_ppm,250,ppm,Initial concentration of Nitrogen-Nitrate,nutrient_solution
N-NO3_optimal_ppm,350,ppm,Optimal concentration of Nitrogen-Nitrate,nutrient_solution
N-NO3_minimum_ppm,150,ppm,Minimum concentration of Nitrogen-Nitrate,nutrient_solution
N-NO3_max_ppm,400,ppm,Maximum concentration of Nitrogen-Nitrate,nutrient_solution
P-PO4_initial_ppm,60,ppm,Initial concentration of Phosphorus-Phosphate,nutrient_solution
P-PO4_optimal_ppm,60,ppm,Optimal concentration of Phosphorus-Phosphate,nutrient_solution
P-PO4_minimum_ppm,30,ppm,Minimum concentration of Phosphorus-Phosphate,nutrient_solution
P-PO4_max_ppm,80,ppm,Maximum concentration of Phosphorus-Phosphate,nutrient_solution
K_initial_ppm,350,ppm,Initial concentration of Potassium,nutrient_solution
K_optimal_ppm,350,ppm,Optimal concentration of Potassium,nutrient_solution
K_minimum_ppm,250,ppm,Minimum concentration of Potassium,nutrient_solution
K_max_ppm,400,ppm,Maximum concentration of Potassium,nutrient_solution
Ca_initial_ppm,180,ppm,Initial concentration of Calcium,nutrient_solution
Ca_optimal_ppm,180,ppm,Optimal concentration of Calcium,nutrient_solution
