parameter_name,value,unit,description
base_temperature,4.0,celsius,Minimum temperature for plant development
optimal_temperature_min,15.0,celsius,Lower bound of optimal temperature range
optimal_temperature_max,25.0,celsius,Upper bound of optimal temperature range
maximum_temperature,35.0,celsius,Maximum temperature for development
photoperiod_sensitive,false,boolean,Whether plant responds to day length
critical_photoperiod,12.0,hours,Day length threshold for photoperiod response
bolting_photoperiod_threshold,14.0,hours,Day length above which bolting may occur
bolting_temperature_threshold,25.0,celsius,Temperature above which bolting may occur
cold_requirement_days,0.0,days,Days of cold needed for vernalization
thermal_time_scale,0.85,fraction,Scaling factor for thermal time calculation
vernalization_required,false,boolean,Whether plant requires vernalization
vernalization_temperature,5.0,celsius,Optimal vernalization temperature
vernalization_days,0.0,days,Days of cold required for vernalization
stress_acceleration_factor,1.5,fraction,How much stress speeds development
drought_threshold,0.3,fraction,Threshold for drought stress effects
heat_threshold,30.0,celsius,Temperature threshold for heat stress
photoperiod_slope,0.1,fraction,Sensitivity to photoperiod changes
head_formation_node_requirement,8,count,Minimum number of nodes required for head formation
