parameter_name,value,unit,description,category
base_temperature,4.0,celsius,Minimum temperature for plant development,development_parameters
optimal_temperature_min,15.0,celsius,Lower bound of optimal temperature range,development_parameters
optimal_temperature_max,25.0,celsius,Upper bound of optimal temperature range,development_parameters
maximum_temperature,35.0,celsius,Maximum temperature for development,development_parameters
photoperiod_sensitive,false,boolean,Whether plant responds to day length,development_parameters
critical_photoperiod,12.0,hours,Day length threshold for photoperiod response,development_parameters
bolting_photoperiod_threshold,14.0,hours,Day length above which bolting may occur,development_parameters
bolting_temperature_threshold,25.0,celsius,Temperature above which bolting may occur,development_parameters
cold_requirement_days,0.0,days,Days of cold needed for vernalization,development_parameters
thermal_time_scale,0.85,fraction,Scaling factor for thermal time calculation,development_parameters
vernalization_required,false,boolean,Whether plant requires vernalization,development_parameters
vernalization_temperature,5.0,celsius,Optimal vernalization temperature,development_parameters
vernalization_days,0.0,days,Days of cold required for vernalization,development_parameters
stress_acceleration_factor,1.5,fraction,How much stress speeds development,development_parameters
drought_threshold,0.3,fraction,Threshold for drought stress effects,development_parameters
heat_threshold,30.0,celsius,Temperature threshold for heat stress,development_parameters
photoperiod_slope,0.1,fraction,Sensitivity to photoperiod changes,development_parameters
head_formation_node_requirement,8,count,Minimum number of nodes required for head formation,development_parameters
GE_to_VE,80.0,gdd,Growing degree days from germination to emergence,thermal_requirements
VE_to_V1,45.0,gdd,Growing degree days from emergence to first leaf,thermal_requirements
V1_to_V2,35.0,gdd,Growing degree days from first to second leaf,thermal_requirements
V2_to_V3,35.0,gdd,Growing degree days from second to third leaf,thermal_requirements
V3_to_V4,35.0,gdd,Growing degree days from third to fourth leaf,thermal_requirements
V4_to_V5,15.0,gdd,Growing degree days from fourth to fifth leaf,thermal_requirements
V5_to_V6,15.0,gdd,Growing degree days from fifth to sixth leaf,thermal_requirements
V6_to_V7,15.0,gdd,Growing degree days from sixth to seventh leaf,thermal_requirements
V7_to_V8,15.0,gdd,Growing degree days from seventh to eighth leaf,thermal_requirements
V8_to_V9,35.0,gdd,Growing degree days from eighth to ninth leaf,thermal_requirements
V9_to_V10,35.0,gdd,Growing degree days from ninth to tenth leaf,thermal_requirements
V10_to_V11+,40.0,gdd,Growing degree days from tenth leaf to mature vegetative,thermal_requirements
V11+_to_HI,120.0,gdd,Growing degree days from mature vegetative to head initiation,thermal_requirements
HI_to_HD,180.0,gdd,Growing degree days from head initiation to head development,thermal_requirements
HD_to_HM,200.0,gdd,Growing degree days from head development to harvest maturity,thermal_requirements
HM_to_PM,100.0,gdd,Growing degree days from harvest to physiological maturity,thermal_requirements
vegetative_default,35.0,gdd,Default thermal time for vegetative stage transitions,thermal_requirements
head_formation_default,150.0,gdd,Default thermal time for head formation stage transitions,thermal_requirements
reproductive_default,200.0,gdd,Default thermal time for reproductive stage transitions,thermal_requirements
