parameter_name,value,unit,description
optimal_ec_min,0.8,dS_per_m,Minimum optimal electrical conductivity for growth
optimal_ec_max,2.4,dS_per_m,Maximum optimal electrical conductivity for growth
optimal_vpd_min,0.4,kPa,Minimum optimal vapor pressure deficit
optimal_vpd_max,1.2,kPa,Maximum optimal vapor pressure deficit
optimal_ec,1.6,dS_per_m,Optimal electrical conductivity target
vpd_stress_high_factor,0.4,fraction,Growth reduction when vapor pressure deficit is too high
vpd_stress_low_factor,0.15,fraction,Growth reduction when vapor pressure deficit is too low
ec_stress_high_factor,0.35,fraction,Growth reduction when electrical conductivity is too high
ec_stress_low_factor,0.1,fraction,Growth reduction when electrical conductivity is too low
ec_stress_low_threshold,0.5,dS_per_m,EC threshold below which stress occurs
temp_stress_threshold,1.5,celsius,Temperature deviation before stress occurs
temp_stress_factor,0.05,fraction,Stress multiplier per degree temperature deviation
heat_stress_threshold,0.03,fraction,Stress per degree above optimal air temperature
cold_stress_threshold,0.02,fraction,Stress per degree below optimal air temperature
water_stress_factor,0.01,fraction,Stress per percent below optimal humidity
optimal_temp_min,18.0,celsius,Minimum optimal temperature for lettuce growth
optimal_temp_max,24.0,celsius,Maximum optimal temperature for lettuce growth
heat_threshold_mild,30.0,celsius,Mild heat stress threshold
heat_threshold_severe,35.0,celsius,Severe heat stress threshold
heat_lethal_temperature,38.0,celsius,Lethal heat temperature
cold_threshold_mild,12.0,celsius,Mild cold stress threshold
cold_threshold_severe,8.0,celsius,Severe cold stress threshold
frost_threshold,-1.0,celsius,Frost damage threshold
photosynthesis_heat_sensitivity,0.85,fraction,Photosynthesis sensitivity to heat stress
photosynthesis_cold_sensitivity,0.75,fraction,Photosynthesis sensitivity to cold stress
respiration_heat_sensitivity,0.60,fraction,Respiration sensitivity to heat stress
respiration_cold_sensitivity,0.70,fraction,Respiration sensitivity to cold stress
growth_heat_sensitivity,0.90,fraction,Growth sensitivity to heat stress
growth_cold_sensitivity,0.80,fraction,Growth sensitivity to cold stress
development_heat_sensitivity,0.70,fraction,Development sensitivity to heat stress
development_cold_sensitivity,0.65,fraction,Development sensitivity to cold stress
acclimation_rate,0.08,fraction,Daily acclimation rate
max_acclimation_days,14,days,Maximum acclimation period
acclimation_decay_rate,0.02,fraction,Daily acclimation decay rate
heat_damage_threshold,0.7,fraction,Heat damage threshold
cold_damage_threshold,0.6,fraction,Cold damage threshold
frost_damage_rate,0.2,fraction,Frost damage rate per hour
recovery_rate_heat,0.08,fraction,Daily heat damage recovery rate
recovery_rate_cold,0.05,fraction,Daily cold damage recovery rate
stress_memory_duration,5,days,Stress memory duration
memory_effect_strength,0.2,fraction,Memory effect strength
