date,temp_avg,temp_min,temp_max,solar_radiation,rel_humidity,wind_speed,rainfall,co2_ppm,rzt,par,vpd
2024-07-22,25.2,20.2,30.1,26.7,66.0,2.4,0.0,800.0,28.0,200.0,1.12
2024-07-23,27.0,23.0,30.1,23.3,71.0,2.1,0.0,800.0,28.0,200.0,1.04
2024-07-24,25.7,22.7,28.9,24.9,58.0,2.9,0.0,800.0,28.0,200.0,1.43
2024-07-25,25.0,21.3,31.0,22.7,59.0,1.6,0.0,800.0,28.0,200.0,1.35
2024-07-26,23.6,19.7,30.0,22.7,69.0,2.3,0.0,800.0,26.6,200.0,0.95
2024-07-27,24.7,22.2,29.0,21.8,58.0,2.6,0.0,800.0,27.7,200.0,1.37
2024-07-28,26.3,24.2,30.4,20.2,60.0,1.5,0.0,800.0,28.0,200.0,1.32
2024-07-29,24.4,20.0,28.8,18.7,64.0,2.4,0.0,800.0,27.4,200.0,1.15
2024-07-30,26.4,23.0,31.1,21.9,67.0,1.9,0.0,800.0,28.0,200.0,1.1
2024-07-31,22.8,18.2,28.7,23.6,66.0,1.7,0.0,800.0,25.8,200.0,1.0
2024-08-01,25.2,20.2,30.1,26.7,66.0,2.4,0.0,1200.0,28.0,1500.69,1.12
2024-08-02,27.0,23.0,30.1,23.3,71.0,2.1,0.0,1200.0,28.0,1309.03,1.04
2024-08-03,25.7,22.7,28.9,24.9,58.0,2.9,0.0,1200.0,28.0,1399.31,1.43
2024-08-04,25.0,21.3,31.0,22.7,59.0,1.6,0.0,1200.0,28.0,1275.69,1.35
2024-08-05,23.6,19.7,30.0,22.7,69.0,2.3,0.0,1200.0,26.6,1275.69,0.95
2024-08-06,24.7,22.2,29.0,21.8,58.0,2.6,0.0,1200.0,27.7,1225.14,1.37
2024-08-07,26.3,24.2,30.4,20.2,60.0,1.5,0.0,1200.0,28.0,1135.42,1.32
2024-08-08,24.4,20.0,28.8,18.7,64.0,2.4,0.0,1200.0,27.4,1050.69,1.15
2024-08-09,26.4,23.0,31.1,21.9,67.0,1.9,0.0,1200.0,28.0,1230.75,1.10
2024-08-10,22.8,18.2,28.7,23.6,66.0,1.7,0.0,1200.0,25.8,1326.39,1.00
2024-08-11,25.6,23.5,28.9,20.6,66.0,2.4,0.0,1200.0,28.0,1158.33,1.14
2024-08-12,24.7,20.9,29.8,18.1,56.0,1.6,0.0,1200.0,27.7,1017.36,1.44
2024-08-13,25.7,21.2,31.0,22.8,64.0,2.4,0.0,1200.0,28.0,1281.25,1.21
2024-08-14,24.4,20.8,31.1,15.7,60.0,2.9,0.0,1200.0,27.4,882.64,1.28
2024-08-15,25.6,22.6,31.4,21.6,69.0,1.6,0.0,1200.0,28.0,1214.58,1.03
2024-08-16,23.2,19.0,27.6,22.3,62.0,1.6,0.0,1200.0,26.2,1253.47,1.13
2024-08-17,24.6,21.3,30.0,21.1,60.0,2.7,0.0,1200.0,27.6,1186.11,1.30
2024-08-18,25.2,23.2,30.2,21.4,60.0,2.2,0.0,1200.0,28.0,1202.78,1.32
2024-08-19,24.0,20.8,27.3,21.9,68.0,1.9,0.0,1200.0,27.0,1230.75,0.99
2024-08-20,24.0,19.7,27.9,20.9,65.0,2.1,0.0,1200.0,27.0,1174.65,1.07
2024-08-21,23.2,19.8,29.8,21.0,66.0,1.6,0.0,1200.0,26.2,1180.56,1.00
2024-08-22,24.7,22.3,30.7,18.1,60.0,2.4,0.0,1200.0,27.7,1017.36,1.30
2024-08-23,23.6,19.3,28.5,20.4,60.0,2.2,0.0,1200.0,26.6,1145.83,1.20
2024-08-24,23.6,19.9,27.0,20.0,66.0,2.1,0.0,1200.0,26.6,1125.00,1.02
2024-08-25,24.2,21.5,29.7,19.9,54.0,2.8,0.0,1200.0,27.2,1119.44,1.45
2024-08-26,21.5,19.5,28.3,18.3,54.0,1.6,0.0,1200.0,24.5,1028.47,1.31
2024-08-27,24.8,21.9,29.3,18.0,66.0,2.6,0.0,1200.0,27.8,1011.81,1.10
2024-08-28,24.5,20.0,30.6,18.2,61.0,2.6,0.0,1200.0,27.5,1023.61,1.24
2024-08-29,24.4,19.9,27.8,19.0,66.0,2.9,0.0,1200.0,27.4,1067.36,1.08
2024-08-30,22.5,19.3,26.3,18.4,66.0,2.6,0.0,1200.0,25.5,1034.03,0.97
2024-08-31,23.7,19.4,30.1,20.1,68.0,1.8,0.0,1200.0,26.7,1129.86,0.96
2024-09-01,24.1,21.5,30.9,19.7,66.0,2.3,0.0,1200.0,27.1,1107.64,1.05
2024-09-02,22.8,19.3,29.2,18.5,56.0,1.9,0.0,1200.0,25.8,1039.58,1.28
2024-09-03,23.7,21.1,28.6,16.7,59.0,2.3,0.0,1200.0,26.7,938.19,1.23
2024-09-04,23.7,18.9,27.3,19.2,59.0,2.8,0.0,1200.0,26.7,1078.47,1.23
2024-09-05,22.1,18.5,25.6,20.9,57.0,3.0,0.0,1200.0,25.1,1174.65,1.24
2024-09-06,22.6,18.1,27.2,20.2,61.0,2.9,0.0,1200.0,25.6,1135.42,1.12
2024-09-07,25.1,21.0,31.7,21.8,70.0,2.3,0.0,1200.0,28.0,1225.14,0.99
2024-09-08,22.6,20.3,26.1,18.5,69.0,1.9,0.0,1200.0,25.6,1039.58,0.91
2024-09-09,22.4,17.8,26.5,20.3,65.0,1.7,0.0,1200.0,25.4,1140.97,1.00
