parameter_name,value,unit,description
optimal_light_intensity,15.0,MJ_per_m2_per_day,Ideal daily light for maximum photosynthesis
min_ec,0.8,dS_per_m,Minimum electrical conductivity before stress
max_ec,2.6,dS_per_m,Maximum safe electrical conductivity
optimal_ec,2.0,dS_per_m,Best electrical conductivity for growth
optimal_vpd_min,0.6,kPa,Lower bound of optimal vapor pressure deficit
optimal_vpd_max,1.0,kPa,Upper bound of optimal vapor pressure deficit
optimal_temperature,20.0,celsius,Ideal root zone temperature
optimal_temperature_max,26.0,celsius,Maximum air temperature before stress
optimal_temperature_min,16.0,celsius,Minimum air temperature before stress
min_humidity,60.0,percent,Minimum relative humidity before stress
target_vpd,0.8,kPa,Target vapor pressure deficit for environmental control
vpd_tolerance,0.1,kPa,Acceptable VPD tolerance around target
day_temp,22.0,celsius,Optimal daytime temperature setpoint
night_temp,18.0,celsius,Optimal nighttime temperature setpoint
target_co2,1200.0,ppm,Target CO2 concentration for enrichment
light_hours,16.0,hours,Hours of artificial lighting per day
optimal_light_daily,12.0,MJ_per_m2_per_day,Optimal daily light integral for photosynthesis
max_humidity,80.0,percent,Maximum relative humidity to prevent disease
temp_tolerance,2.0,celsius,Acceptable temperature tolerance range
ambient_co2,400.0,ppm,Ambient atmospheric CO2 level
co2_tolerance,100.0,ppm,Acceptable CO2 tolerance around target
light_intensity_control,200.0,umol_per_m2_per_s,PPFD light intensity for control
humidifier_capacity,5.0,L_per_hour,Water addition rate of humidifier
dehumidifier_capacity,10.0,L_per_hour,Water removal rate of dehumidifier
co2_injection_rate,50.0,ppm_per_minute,Maximum CO2 injection rate
co2_sensor_accuracy,25.0,ppm,CO2 sensor measurement precision
co2_mixing_time,2.0,minutes,Time for complete CO2 mixing
circulation_fan_power,100.0,watts,Power consumption of circulation fan
