parameter_name,value,unit,description
optimal_temperature,20.0,celsius,Optimal root zone temperature for nutrient uptake
root_conductivity,0.1,fraction,Root hydraulic conductivity factor
fine_root_half_life_days,45.0,days,Half-life for fine root activity decay
medium_root_half_life_days,90.0,days,Half-life for medium root activity decay
coarse_root_half_life_days,180.0,days,Half-life for coarse root activity decay
container_volume,1000.0,cm3,Reservoir tank volume
channel_length,100.0,cm,NFT channel length
optimal_rzt_offset,3.0,celsius,Temperature offset above air temperature for optimal RZT
min_effective_rzt,15.0,celsius,Minimum effective root zone temperature
max_effective_rzt,35.0,celsius,Maximum effective root zone temperature
linear_growth_slope,0.08,per_celsius,Growth factor increase per degree below optimum
rapid_decline_slope,0.15,per_celsius,Growth factor decline per degree above optimum
base_growth_factor,1.0,multiplier,Baseline growth factor at optimal temperature
nutrient_uptake_sensitivity_low,0.06,per_celsius,Nutrient uptake sensitivity below optimum
nutrient_uptake_sensitivity_high,0.12,per_celsius,Nutrient uptake sensitivity above optimum
water_uptake_sensitivity_low,0.04,per_celsius,Water uptake sensitivity below optimum
water_uptake_sensitivity_high,0.08,per_celsius,Water uptake sensitivity above optimum
photosynthesis_sensitivity_low,0.03,per_celsius,Photosynthesis sensitivity below optimum
photosynthesis_sensitivity_high,0.05,per_celsius,Photosynthesis sensitivity above optimum
root_metabolism_sensitivity_low,0.1,per_celsius,Root metabolism sensitivity below optimum
root_metabolism_sensitivity_high,0.18,per_celsius,Root metabolism sensitivity above optimum
