parameter_name,value,unit,description
number_of_layers,5,dimensionless,Number of canopy layers for light calculations
maximum_lai,2.5,m2_m2,Maximum LAI for single lettuce plant (realistic: 0.5-2.5 per plant)
extinction_coefficient,0.6,dimensionless,Base light extinction coefficient
diffuse_extinction_coeff,0.8,dimensionless,Extinction coefficient multiplier for diffuse light
beam_extinction_coeff,0.5,dimensionless,Extinction coefficient multiplier for direct beam light
row_spacing,0.4,m,Distance between crop rows
mean_leaf_angle,45.0,degrees,Mean leaf angle from horizontal
canopy_width,0.25,m,Width of individual plant canopy
leaf_angle_distribution,spherical,text,Type of leaf angle distribution
leaf_angle_variance,20.0,degrees,Variance in leaf angle distribution
plant_spacing,0.3,m,Distance between plants within a row
plant_height,0.3,m,Maximum plant height at maturity
leaf_reflectance,0.08,dimensionless,Fraction of incident light reflected by leaves
leaf_transmittance,0.05,dimensionless,Fraction of incident light transmitted through leaves
leaf_absorptance,0.87,dimensionless,Fraction of incident light absorbed by leaves
self_shading_factor,0.7,dimensionless,Factor for self-shading within individual plants
neighbor_shading_distance,0.5,m,Distance threshold for neighbor plant shading effects
sunlit_fraction_method,campbell,text,Method for calculating sunlit leaf fraction
clumping_index,0.85,dimensionless,Leaf clumping index (1=random distribution 0=completely clumped)
maximum_extinction_coefficient,20.0,dimensionless,Maximum extinction coefficient when sun is at horizon
upper_canopy_lai_factor,0.3,dimensionless,LAI distribution factor for upper canopy layers
middle_canopy_lai_factor,0.4,dimensionless,LAI distribution factor for middle canopy layers
lower_middle_canopy_lai_factor,0.25,dimensionless,LAI distribution factor for lower-middle canopy layers
bottom_canopy_lai_factor,0.05,dimensionless,LAI distribution factor for bottom canopy layers
maximum_temperature_gradient,3.0,°C,Maximum temperature gradient from top to bottom of canopy
temperature_gradient_factor,0.5,°C_per_LAI,Temperature gradient factor per unit LAI
spherical_x_coefficient,1.0,dimensionless,Leaf angle coefficient for spherical distribution
planophile_x_coefficient,0.637,dimensionless,Leaf angle coefficient for planophile distribution (2/π)
erectophile_x_coefficient,2.0,dimensionless,Leaf angle coefficient for erectophile distribution
plagiophile_x_coefficient,1.33,dimensionless,Leaf angle coefficient for plagiophile distribution
upper_canopy_height_threshold,0.8,dimensionless,Relative height threshold for upper canopy classification
middle_canopy_height_threshold,0.5,dimensionless,Relative height threshold for middle canopy classification
lower_middle_canopy_height_threshold,0.2,dimensionless,Relative height threshold for lower-middle canopy classification
zenith_angle_precision_threshold,0.001,dimensionless,Numerical precision threshold for zenith angle calculations
direct_beam_fraction,0.7,dimensionless,Direct beam light fraction
diffuse_fraction,0.3,dimensionless,Diffuse light fraction
target_harvest_biomass,20.0,g_DM,Target harvest biomass for single lettuce plant (dry weight)
sunlit_fraction_lai_coefficient,0.3,per_LAI,Coefficient for LAI effect on sunlit fraction reduction
sunlit_fraction_minimum,0.2,dimensionless,Minimum sunlit fraction regardless of LAI
