category,parameter_name,value,unit,description,source_file,source_line
# Simulation Configuration (4 parameters)
simulator_defaults,total_days,30,days,Total simulation duration (overridden by weather data),distributed_simulation_runner.py,71
simulator_defaults,steps_per_day,24,steps,Timesteps per day (24=hourly),distributed_simulation_runner.py,72
simulator_defaults,enable_real_time,false,boolean,Real-time simulation mode,distributed_simulation_runner.py,74
simulator_defaults,synchronization_mode,sequential,string,Simulator execution mode (sequential/parallel),distributed_simulation_runner.py,75

# Stress Model - Temperature (2 parameters)
stress_parameters,temperature_lethal_min,2.0,°C,Minimum survival temperature,parameter_loader.py,334
stress_parameters,temperature_recovery_rate,0.2,per_day,Recovery rate from temperature stress,parameter_loader.py,338

# Stress Model - Water (2 parameters)
stress_parameters,water_critical_threshold,0.15,fraction,Critical water stress threshold,parameter_loader.py,343
stress_parameters,water_recovery_rate,0.3,per_day,Recovery rate from water stress,parameter_loader.py,346

# Stress Model - Nutrient (3 parameters)
stress_parameters,nutrient_critical_threshold,0.1,fraction,Critical nutrient deficiency threshold,parameter_loader.py,351
stress_parameters,nutrient_toxicity_threshold,3.0,dimensionless,Threshold for nutrient toxicity,parameter_loader.py,352
stress_parameters,nutrient_recovery_rate,0.25,per_day,Recovery rate from nutrient stress,parameter_loader.py,353

# Stress Model - Light (3 parameters)
stress_parameters,light_max_ppfd,2000.0,μmol_m2_s,Maximum PPFD before stress,parameter_loader.py,359
stress_parameters,light_photoinhibition_threshold,1800.0,μmol_m2_s,PPFD for photoinhibition onset,parameter_loader.py,360
stress_parameters,light_recovery_rate,0.4,per_day,Recovery rate from light stress,parameter_loader.py,361

# Stress Model - pH (2 parameters)
stress_parameters,ph_stress_sensitivity,2.0,dimensionless,Sensitivity factor for pH stress,parameter_loader.py,369
stress_parameters,ph_recovery_rate,0.5,per_day,Recovery rate from pH stress,parameter_loader.py,370

# Stress Model - Salinity (3 parameters)
stress_parameters,salinity_threshold_ec,2.5,dS_m,EC threshold for salinity stress,parameter_loader.py,374
stress_parameters,salinity_critical_ec,4.0,dS_m,EC for severe salinity stress,parameter_loader.py,375
stress_parameters,salinity_recovery_rate,0.2,per_day,Recovery rate from salinity stress,parameter_loader.py,377

# Stress Model - Oxygen (3 parameters)
stress_parameters,oxygen_critical_min,3.0,mg_L,Critical minimum dissolved oxygen,parameter_loader.py,381
stress_parameters,oxygen_optimal_min,5.0,mg_L,Optimal minimum dissolved oxygen,parameter_loader.py,382
stress_parameters,oxygen_recovery_rate,0.6,per_day,Recovery rate from oxygen stress,parameter_loader.py,383

# Stress Model - Integration (6 parameters)
stress_parameters,integration_water_weight,0.3,dimensionless,Water stress weight in integration,parameter_loader.py,388
