category,parameter_name,value,unit,description
# Phenology Model Parameters
phenology_parameters,base_temperature,4.5,°C,"Base temperature for thermal time calculation (Wurr et al., 1996)"
phenology_parameters,optimal_temperature_min,18.0,°C,Minimum optimal temperature for development
phenology_parameters,optimal_temperature_max,24.0,°C,Maximum optimal temperature for development
phenology_parameters,maximum_temperature,35.0,°C,Maximum temperature beyond which development ceases
phenology_parameters,thermal_time_scale,1.0,dimensionless,Scaling factor for thermal time calculation
phenology_parameters,photoperiod_sensitive,true,boolean,Whether plant is sensitive to photoperiod
phenology_parameters,critical_photoperiod,14.0,hours,Critical photoperiod for flowering induction
phenology_parameters,photoperiod_slope,0.1,dimensionless,Slope of photoperiod response function
phenology_parameters,bolting_photoperiod_threshold,16.0,hours,Photoperiod threshold for bolting risk
phenology_parameters,bolting_temperature_threshold,25.0,°C,Temperature threshold for bolting risk
phenology_parameters,bolting_photoperiod_divisor,2.0,dimensionless,Divisor for photoperiod bolting risk calculation
phenology_parameters,bolting_photoperiod_risk_max,0.8,fraction,Maximum risk from photoperiod stress
phenology_parameters,bolting_temperature_divisor,5.0,dimensionless,Divisor for temperature bolting risk calculation
phenology_parameters,bolting_temperature_risk_max,0.7,fraction,Maximum risk from temperature stress
phenology_parameters,bolting_sustained_stress_risk,0.05,fraction,Daily risk accumulation under sustained stress
phenology_parameters,bolting_maturity_risk_factor,0.02,fraction,Risk increase per day after maturity
phenology_parameters,bolting_maturity_risk_max,0.6,fraction,Maximum maturity-related bolting risk
phenology_parameters,bolting_risk_threshold,0.3,fraction,Cumulative risk threshold for bolting initiation
phenology_parameters,environmental_buffer_days,3,days,Buffer days for environmental stress averaging
phenology_parameters,environmental_history_days,7,days,Days of environmental history to consider
phenology_parameters,head_formation_node_requirement,8,nodes,Minimum node count required for head formation
phenology_parameters,vernalization_required,false,boolean,Whether vernalization is required for flowering
phenology_parameters,vernalization_temperature,4.0,°C,Temperature for vernalization requirement
phenology_parameters,vernalization_days,30,days,Days of vernalization required
phenology_parameters,stress_acceleration_factor,1.5,dimensionless,Acceleration factor under stress conditions
phenology_parameters,drought_threshold,0.3,fraction,Water stress threshold for development acceleration
phenology_parameters,heat_threshold,30.0,°C,Temperature threshold for heat stress effects
phenology_parameters,optimal_water_stress,1.0,dimensionless,Optimal water stress factor for phenology calculations

# Thermal Requirements for Growth Stage Transitions
phenology_parameters,GE_to_VE,60.0,GDD,Germination to emergence (Scaife & Turner, 1983)
phenology_parameters,VE_to_V1,80.0,GDD,Emergence to first leaf (Scaife & Turner, 1983)
phenology_parameters,V1_to_V2,50.0,GDD,First to second leaf (Wheeler et al., 1994)
phenology_parameters,V2_to_V3,50.0,GDD,Second to third leaf (Wheeler et al., 1994)
phenology_parameters,V3_to_V4,50.0,GDD,Third to fourth leaf (Wheeler et al., 1994)
phenology_parameters,V4_to_V5,50.0,GDD,Fourth to fifth leaf (Wheeler et al., 1994)
phenology_parameters,V5_to_V6,50.0,GDD,Fifth to sixth leaf (Wheeler et al., 1994)
phenology_parameters,V6_to_V7,50.0,GDD,Sixth to seventh leaf (Wheeler et al., 1994)
phenology_parameters,V7_to_V8,50.0,GDD,Seventh to eighth leaf (Wheeler et al., 1994)
phenology_parameters,V8_to_V9,50.0,GDD,Eighth to ninth leaf (Wheeler et al., 1994)
phenology_parameters,V9_to_V10,50.0,GDD,Ninth to tenth leaf (Wheeler et al., 1994)
phenology_parameters,V10_to_V11+,50.0,GDD,Tenth leaf to mature vegetative (Wheeler et al., 1994)
phenology_parameters,V11+_to_HI,100.0,GDD,Mature vegetative to head initiation (Scaife & Turner, 1983)
phenology_parameters,HI_to_HD,80.0,GDD,Head initiation to head development (Both et al., 1997)
phenology_parameters,HD_to_HM,60.0,GDD,Head development to harvest maturity (Both et al., 1997)
phenology_parameters,HM_to_BI,300.0,GDD,Harvest maturity to bolting initiation
phenology_parameters,BI_to_FL,120.0,GDD,Bolting initiation to flowering
phenology_parameters,FL_to_AN,50.0,GDD,Flowering to anthesis
phenology_parameters,AN_to_SD,200.0,GDD,Anthesis to seed development
phenology_parameters,SD_to_PM,150.0,GDD,Seed development to physiological maturity

# Consolidated Thermal Time Parameters (using phenology_parameters values)
thermal_time,base_temp,10.0,°C,Base temperature for thermal time calculation
thermal_time,thermal_time_scale,1.0,dimensionless,Scale factor for thermal time calculation

# Photosynthesis Model Parameters
photosynthesis_parameters,phi_psii,0.85,dimensionless,Maximum quantum efficiency of PSII
photosynthesis_parameters,r,8.314,J_mol_K,Gas constant for Arrhenius calculations
photosynthesis_parameters,g_max,0.6,mol_m2_s,Maximum stomatal conductance
photosynthesis_parameters,min_par_threshold,30.0,μmol_m2_s,Minimum PAR threshold for photosynthesis
photosynthesis_parameters,enzyme_saturation_lai,3.0,m2_m2,LAI threshold for enzyme saturation
photosynthesis_parameters,light_penetration_lai,2.5,m2_m2,LAI threshold for light penetration effects
photosynthesis_parameters,enzyme_saturation_rate,0.1,dimensionless,Rate of enzyme saturation decline per LAI unit
photosynthesis_parameters,min_enzyme_factor,0.3,dimensionless,Minimum enzyme efficiency factor
photosynthesis_parameters,excess_lai_efficiency,0.8,dimensionless,Efficiency factor for excess LAI
photosynthesis_parameters,umol_to_g_carbon_ratio,1.2e-4,g_μmol,Conversion ratio from μmol CO2 to g C
photosynthesis_parameters,seconds_per_hour,3600,s,Seconds per hour for time conversions
photosynthesis_parameters,hours_per_day,24,h,Hours per day for daily calculations
photosynthesis_parameters,kc,270.0,μbar,Michaelis constant for CO2
photosynthesis_parameters,ko,165000.0,μbar,Michaelis constant for O2
photosynthesis_parameters,gamma_star,42.75,μbar,CO2 compensation point
photosynthesis_parameters,jmax_25,120.0,μmol_m2_s,Maximum electron transport rate at 25°C
photosynthesis_parameters,vcmax_25,60.0,μmol_m2_s,Maximum carboxylation rate at 25°C
photosynthesis_parameters,theta,0.7,dimensionless,Curvature factor of light response
photosynthesis_parameters,alpha,0.24,mol_mol,Quantum efficiency of CO2 fixation
photosynthesis_parameters,rd_25,1.5,μmol_m2_s,Dark respiration rate at 25°C
photosynthesis_parameters,eaj,37000.0,J_mol,Activation energy for Jmax
photosynthesis_parameters,eav,65000.0,J_mol,Activation energy for Vcmax
photosynthesis_parameters,ear,46000.0,J_mol,Activation energy for dark respiration
photosynthesis_parameters,o2_mmol_mol,210.0,mmol_mol,Atmospheric O2 concentration
photosynthesis_parameters,shaded_light_fraction,0.15,dimensionless,Fraction of PAR available to shaded leaves
photosynthesis_parameters,photosynthesis_cold_limit,5.0,°C,Cold temperature limit for photosynthesis stress
photosynthesis_parameters,photosynthesis_heat_limit,40.0,°C,Heat temperature limit for photosynthesis stress
photosynthesis_parameters,min_stress_factor,0.1,dimensionless,Minimum temperature stress factor for photosynthesis

# Respiration Model Parameters
respiration_parameters,maintenance_base_rate,0.005,g_C_g_biomass_day,Base maintenance respiration rate at 25°C
respiration_parameters,reference_temperature,25.0,°C,Reference temperature for Q10 response
respiration_parameters,q10_factor,2.0,dimensionless,Temperature response coefficient for respiration
respiration_parameters,growth_efficiency,0.75,dimensionless,Conversion efficiency for biomass synthesis
respiration_parameters,biosynthetic_cost,1.35,g_glucose_g_biomass,General biosynthetic cost for growth
respiration_parameters,age_effect_coefficient,0.005,day_inverse,Daily increase in respiration per day of age
respiration_parameters,max_age_effect,3.0,dimensionless,Maximum age multiplier for respiration
respiration_parameters,acclimation_rate,0.1,dimensionless,Rate of thermal acclimation per day
respiration_parameters,acclimation_memory,14.0,days,Days of temperature memory for acclimation
respiration_parameters,n_effect_slope,1.2,dimensionless,Respiration response to leaf N content
respiration_parameters,reference_leaf_n,0.035,g_N_g_biomass,Reference leaf nitrogen content
respiration_parameters,max_temperature_threshold,40.0,°C,Maximum temperature before protein denaturation
respiration_parameters,temperature_decay_factor,0.1,°C_inverse,Decay factor for high temperature respiration
respiration_parameters,size_penalty_threshold,50.0,g_biomass,Biomass threshold for size penalty
respiration_parameters,size_penalty_rate,0.002,g_inverse,Rate of size penalty increase per g biomass
respiration_parameters,glucose_to_carbon_ratio,0.4,g_C_g_glucose,Glucose to carbon conversion ratio
respiration_parameters,min_history_threshold,3,days,Minimum temperature history days for acclimation
respiration_parameters,day_start_hour,6,h,Start hour of day period
respiration_parameters,day_end_hour,18,h,End hour of day period
respiration_parameters,day_respiration_factor,1.0,dimensionless,Day period respiration factor
respiration_parameters,night_respiration_factor,0.8,dimensionless,Night period respiration factor
respiration_parameters,carbon_to_co2_ratio,3.67,g_CO2_g_C,Carbon to CO2 molecular weight ratio
respiration_parameters,circadian_amplitude_1,0.15,dimensionless,Amplitude of first circadian peak
respiration_parameters,circadian_peak_1,14,h,Hour of first circadian peak
