category,parameter_name,value,unit,description
nitrogen_balance,buffering_capacity_base,100.0,mg_N_g_dry_matter,Base buffering capacity for nitrogen
nitrogen_balance,storage_pool_size_base,50.0,mg_N_g_dry_matter,Base storage pool size for nitrogen
nitrogen_balance,redistribution_threshold,0.8,dimensionless,Threshold for nitrogen redistribution
nitrogen_balance,redistribution_rate,0.1,per_day,Rate of nitrogen redistribution
nitrogen_balance,sink_strength_base,1.0,dimensionless,Base sink strength for nitrogen
nitrogen_balance,sink_strength_reproductive,1.5,dimensionless,Reproductive sink strength for nitrogen
nitrogen_balance,nitrogen_concentration_new_growth,0.03,g_N_g_biomass,Nitrogen concentration in new growth (typical for lettuce)
nitrogen_balance,minimum_growth_rate,0.001,g_day,Minimum growth rate to allow nitrogen allocation
nitrogen_balance,max_allocation_biomass_fraction,0.50,dimensionless,Maximum allocation as fraction of organ biomass per day
nitrogen_balance,max_allocation_nitrogen_fraction,0.03,g_N_g_biomass,Nitrogen fraction for maximum allocation calculation
nitrogen_balance,max_remobilization_biomass_fraction,0.01,dimensionless,Maximum remobilization as fraction of organ biomass per day
nitrogen_balance,max_remobilization_nitrogen_fraction,0.03,g_N_g_biomass,Nitrogen fraction for maximum remobilization calculation
nitrogen_parameters,nitrate_reduction_rate,0.5,per_day,Nitrate reduction rate
nitrogen_parameters,ammonium_assimilation_rate,0.3,per_day,Ammonium assimilation rate
nitrogen_parameters,amino_acid_uptake_rate,0.2,per_day,Amino acid uptake rate
nitrogen_parameters,photosynthetic_n_use_efficiency,0.8,dimensionless,Photosynthetic nitrogen use efficiency
nitrogen_parameters,growth_n_use_efficiency,0.6,dimensionless,Growth nitrogen use efficiency
nitrogen_parameters,luxury_uptake_threshold,1.2,dimensionless,Luxury uptake threshold
nitrogen_parameters,specific_root_activity,0.4,per_day,Specific root activity
nitrogen_parameters,root_zone_exploration,0.7,dimensionless,Root zone exploration factor
nitrogen_parameters,allocation_coefficients_vegetative_leaves,0.6,dimensionless,N allocation to vegetative leaves
nitrogen_parameters,allocation_coefficients_vegetative_stems,0.2,dimensionless,N allocation to vegetative stems
nitrogen_parameters,allocation_coefficients_vegetative_roots,0.2,dimensionless,N allocation to vegetative roots
nitrogen_parameters,allocation_coefficients_vegetative_reproductive,0.0,dimensionless,N allocation to reproductive organs during vegetative growth
nitrogen_parameters,allocation_coefficients_reproductive_leaves,0.4,dimensionless,N allocation to reproductive leaves
nitrogen_parameters,allocation_coefficients_reproductive_stems,0.2,dimensionless,N allocation to reproductive stems
nitrogen_parameters,allocation_coefficients_reproductive_roots,0.1,dimensionless,N allocation to reproductive roots
nitrogen_parameters,allocation_coefficients_reproductive_reproductive,0.3,dimensionless,N allocation to reproductive organs during reproductive growth
nitrogen_parameters,remobilization_rates_structural,0.02,g_N_g_pool_day,Remobilization rate for structural nitrogen pool
nitrogen_parameters,remobilization_rates_metabolic,0.15,g_N_g_pool_day,Remobilization rate for metabolic nitrogen pool
nitrogen_parameters,remobilization_rates_storage,0.25,g_N_g_pool_day,Remobilization rate for storage nitrogen pool
nitrogen_parameters,remobilization_rates_transport,0.3,g_N_g_pool_day,Remobilization rate for transport nitrogen pool
nitrogen_parameters,remobilization_efficiency_leaves,0.75,dimensionless,Nitrogen remobilization efficiency from leaves
nitrogen_parameters,remobilization_efficiency_stems,0.6,dimensionless,Nitrogen remobilization efficiency from stems
nitrogen_parameters,remobilization_efficiency_roots,0.5,dimensionless,Nitrogen remobilization efficiency from roots
nitrogen_parameters,remobilization_efficiency_reproductive,0.4,dimensionless,Nitrogen remobilization efficiency from reproductive organs
nitrogen_parameters,organ_weights_leaves,0.5,dimensionless,Weight factor for leaves in nitrogen stress calculation
nitrogen_parameters,organ_weights_stems,0.2,dimensionless,Weight factor for stems in nitrogen stress calculation
nitrogen_parameters,organ_weights_roots,0.2,dimensionless,Weight factor for roots in nitrogen stress calculation
nitrogen_parameters,organ_weights_reproductive,0.1,dimensionless,Weight factor for reproductive organs in nitrogen stress calculation
nitrogen_parameters,pool_fractions_leaves_structural,0.4,dimensionless,Fraction of leaf nitrogen in structural pool
nitrogen_parameters,pool_fractions_leaves_metabolic,0.35,dimensionless,Fraction of leaf nitrogen in metabolic pool
nitrogen_parameters,pool_fractions_leaves_storage,0.2,dimensionless,Fraction of leaf nitrogen in storage pool
nitrogen_parameters,pool_fractions_leaves_transport,0.05,dimensionless,Fraction of leaf nitrogen in transport pool
nitrogen_parameters,pool_fractions_stems_structural,0.6,dimensionless,Fraction of stem nitrogen in structural pool
