parameter_name,value,unit,description
# Ion properties for EC calculation (literature-based),,,
ec_factor_n_no3,0.071,dS_m_per_mg_L,EC contribution factor for nitrate nitrogen
ec_factor_n_nh4,0.073,dS_m_per_mg_L,EC contribution factor for ammonium nitrogen
ec_factor_p_po4,0.058,dS_m_per_mg_L,EC contribution factor for phosphate phosphorus
ec_factor_k,0.064,dS_m_per_mg_L,EC contribution factor for potassium
ec_factor_ca,0.050,dS_m_per_mg_L,EC contribution factor for calcium
ec_factor_mg,0.082,dS_m_per_mg_L,EC contribution factor for magnesium
ec_factor_s_so4,0.065,dS_m_per_mg_L,EC contribution factor for sulfate sulfur
optimal_ec,1.2,dS_m,Optimal electrical conductivity for nutrient solution
optimal_ph,6.0,dimensionless,Optimal pH for nutrient solution
ph_tolerance,0.1,dimensionless,pH tolerance for automatic adjustment
ph_adjustment_rate,0.1,dimensionless,pH adjustment rate for automatic buffering
minimum_ph,5.0,dimensionless,Minimum allowed pH value
maximum_ph,7.0,dimensionless,Maximum allowed pH value
minimum_volume_fraction,0.1,dimensionless,Minimum solution volume fraction
xylem_transport_capacity,0.8,L_day_mg,Maximum xylem transport rate per unit concentration
phloem_transport_capacity,0.3,g_day_mg,Maximum phloem transport rate per unit concentration
temperature_q10,2.1,dimensionless,Temperature response coefficient for nutrient processes
transpiration_coupling,0.7,dimensionless,Coupling factor for transpiration-driven transport
ec_uptake_high_threshold,1.5,dimensionless,High EC ratio threshold for uptake modification
ec_uptake_low_threshold,0.5,dimensionless,Low EC ratio threshold for uptake modification
ec_uptake_modifier_n_high,0.3,dimensionless,Nitrogen uptake modifier under high EC
ec_uptake_modifier_p_high,0.4,dimensionless,Phosphorus uptake modifier under high EC
ec_uptake_modifier_k_high,0.2,dimensionless,Potassium uptake modifier under high EC
ec_uptake_modifier_ca_high,0.1,dimensionless,Calcium uptake modifier under high EC
ec_uptake_modifier_n_low,0.2,dimensionless,Nitrogen uptake modifier under low EC
ec_uptake_modifier_p_low,0.3,dimensionless,Phosphorus uptake modifier under low EC
kinetics_n_no3_vmax,0.051,mg_cm2_day,Maximum uptake rate for nitrate nitrogen (calibrated for 4% N content in lettuce ~8-10 mg/plant/day)
kinetics_n_no3_km,15.0,mg_L,Michaelis constant for nitrate nitrogen
kinetics_n_no3_min_conc,0.01,mg_L,Minimum concentration for nitrate nitrogen uptake
kinetics_n_nh4_vmax,0.020,mg_cm2_day,Maximum uptake rate for ammonium nitrogen (calibrated for 4% N content ~2-3 mg/plant/day)
kinetics_n_nh4_km,5.0,mg_L,Michaelis constant for ammonium nitrogen
kinetics_n_nh4_min_conc,0.2,mg_L,Minimum concentration for ammonium nitrogen uptake
kinetics_p_po4_vmax,0.0008,mg_cm2_day,Maximum uptake rate for phosphate phosphorus (calibrated)
kinetics_p_po4_km,3.0,mg_L,Michaelis constant for phosphate phosphorus
kinetics_p_po4_min_conc,0.005,mg_L,Minimum concentration for phosphate phosphorus uptake
kinetics_k_vmax,0.006,mg_cm2_day,Maximum uptake rate for potassium (calibrated)
kinetics_k_km,25.0,mg_L,Michaelis constant for potassium
kinetics_k_min_conc,0.05,mg_L,Minimum concentration for potassium uptake
kinetics_ca_vmax,0.04,mg_cm2_day,Maximum uptake rate for calcium
kinetics_ca_km,40.0,mg_L,Michaelis constant for calcium
kinetics_ca_min_conc,0.2,mg_L,Minimum concentration for calcium uptake
kinetics_mg_vmax,0.02,mg_cm2_day,Maximum uptake rate for magnesium
kinetics_mg_km,12.0,mg_L,Michaelis constant for magnesium
kinetics_mg_min_conc,0.005,mg_L,Minimum concentration for magnesium uptake
kinetics_s_so4_vmax,0.02,mg_cm2_day,Maximum uptake rate for sulfate sulfur
kinetics_s_so4_km,1.0,mg_L,Michaelis constant for sulfate sulfur uptake
kinetics_s_so4_min_conc,0.05,mg_L,Minimum concentration for sulfate sulfur uptake
critical_n_concentrations_leaves_minimum,0.015,g_N_g_dry_mass,Minimum nitrogen concentration in leaves
critical_n_concentrations_leaves_critical,0.025,g_N_g_dry_mass,Critical nitrogen concentration in leaves
critical_n_concentrations_leaves_optimal,0.045,g_N_g_dry_mass,Optimal nitrogen concentration in leaves
