experiment_id,nutrient_varied,fertility_rate_mg_L,week,days,plant_dry_weight_g,tissue_concentration_percent,notes
# Lactuca sativa 'Salanova Green' experimental data for model validation
# Source: Hydroponic fertility study with varying macronutrient rates
# All other nutrients held constant while one nutrient was varied
# Weeks 3, 4, 5 = 21, 28, 35 days from planting

# Nitrogen (N) experiments
N_exp_1,N,0,3,21,0.02,1.11,
N_exp_2,N,0,4,28,0.02,1.19,
N_exp_3,N,0,5,35,0.05,1.31,
N_exp_4,N,12,3,21,0.11,3.54,
N_exp_5,N,12,4,28,0.89,1.63,
N_exp_6,N,12,5,35,2.20,1.81,
N_exp_7,N,24,3,21,0.14,3.96,
N_exp_8,N,24,4,28,1.35,2.97,
N_exp_9,N,24,5,35,3.28,3.39,
N_exp_10,N,48,3,21,0.19,3.94,
N_exp_11,N,48,4,28,3.35,3.90,
N_exp_12,N,48,5,35,6.58,3.76,
N_exp_13,N,96,3,21,0.18,4.77,
N_exp_14,N,96,4,28,3.23,4.73,
N_exp_15,N,96,5,35,5.15,5.48,
N_exp_16,N,150,3,21,0.23,5.48,Linear increase in dry weight at week 5
N_exp_17,N,150,4,28,4.03,5.48,
N_exp_18,N,150,5,35,9.33,5.35,Highest dry mass at week 5

# Phosphorus (P) experiments
P_exp_1,P,0,3,21,0.08,0.34,
P_exp_2,P,0,4,28,0.45,0.09,
P_exp_3,P,0,5,35,0.43,0.12,
P_exp_4,P,1.63,3,21,0.16,0.54,
P_exp_5,P,1.63,4,28,1.99,0.17,
P_exp_6,P,1.63,5,35,2.77,0.14,
P_exp_7,P,3.25,3,21,0.25,0.74,
P_exp_8,P,3.25,4,28,1.55,0.43,
P_exp_9,P,3.25,5,35,2.93,0.44,
P_exp_10,P,6.5,3,21,0.16,0.87,
P_exp_11,P,6.5,4,28,3.58,0.43,
P_exp_12,P,6.5,5,35,6.88,0.55,
P_exp_13,P,13,3,21,0.16,0.86,
P_exp_14,P,13,4,28,3.50,0.66,
