parameter_name,value,unit,description
# Root System Parameters
# All root-related parameters for root growth, architecture, hydraulic properties, and zone distribution
# Includes root conductance, water uptake, nutrient absorption, and root zone characteristics
base_root_conductance,0.5,L_day_MPa_m2,Base root hydraulic conductance
root_conductance_scaling_factor,2.0,dimensionless,Root conductance scaling factor
base_xylem_conductance,1.2,L_day_MPa,Base xylem hydraulic conductance
xylem_conductance_scaling_factor,10.0,g_biomass,Xylem conductance scaling factor
base_leaf_potential,-0.3,MPa,Baseline leaf water potential
transpiration_potential_factor,0.05,MPa_mm_day,Leaf potential change per transpiration rate
solution_potential_factor,-0.036,MPa_dS_m,Solution potential change per EC unit
cavitation_threshold,-2.0,MPa,Water potential threshold for cavitation
temperature_range_factor,10.0,°C,Temperature range factor for root zone layers
minimum_temperature_factor,0.1,dimensionless,Minimum temperature factor for root uptake
max_temperature_factor,4.0,dimensionless,Maximum temperature factor for root uptake
low_flow_factor,0.4,dimensionless,Flow factor when below minimum flow rate
high_flow_factor,0.6,dimensionless,Flow factor when above maximum flow rate
ph_zone_min,5.5,pH,Minimum optimal pH for root zones
ph_zone_max,6.5,pH,Maximum optimal pH for root zones
min_ph_factor,0.2,dimensionless,Minimum pH factor for root uptake
ph_penalty_factor,0.5,dimensionless,pH penalty factor outside optimal range
nft_zone_1_fraction,0.4,dimensionless,Volume fraction for NFT zone 1 (0-2cm)
nft_zone_2_fraction,0.4,dimensionless,Volume fraction for NFT zone 2 (2-4cm)
nft_zone_3_fraction,0.2,dimensionless,Volume fraction for NFT zone 3 (4-6cm)
dwc_zone_1_fraction,0.2,dimensionless,Volume fraction for DWC zone 1 (0-5cm)
dwc_zone_2_fraction,0.5,dimensionless,Volume fraction for DWC zone 2 (5-15cm)
dwc_zone_3_fraction,0.3,dimensionless,Volume fraction for DWC zone 3 (15-25cm)
general_zone_1_fraction,0.25,dimensionless,Volume fraction for other systems zone 1 (0-3cm)
general_zone_2_fraction,0.35,dimensionless,Volume fraction for other systems zone 2 (3-8cm)
general_zone_3_fraction,0.25,dimensionless,Volume fraction for other systems zone 3 (8-15cm)
general_zone_4_fraction,0.15,dimensionless,Volume fraction for other systems zone 4 (15-20cm)
root_biomass_density,0.3,g_cm3,Density factor for root biomass calculation
coarse_root_min_threshold,0.05,cm,Minimum length threshold for coarse root cohorts
fine_root_min_threshold,0.1,cm,Minimum length threshold for fine root cohorts
diameter_minimum_limit,0.05,mm,Absolute minimum root diameter
auxin_gradient_weight,0.15,dimensionless,Weight of auxin gradient in growth potential
nutrient_signal_weight,0.1,dimensionless,Weight of nutrient signal in growth potential
oxygen_effect_weight,0.1,dimensionless,Weight of oxygen effect in growth potential
competition_effect_weight,0.05,dimensionless,Weight of competition effect in growth potential
temperature_effect_weight,0.03,dimensionless,Weight of temperature effect in growth potential
min_growth_potential,0.02,dimensionless,Minimum zone growth potential
max_growth_potential,0.2,dimensionless,Maximum zone growth potential
maximum_temperature_threshold,35.0,°C,Maximum temperature threshold for root activity
temperature_decay_factor,0.1,dimensionless,Temperature decay factor above optimal
flow_rate_offset,0.5,dimensionless,Offset for flow rate calculation
flow_rate_multiplier,0.5,dimensionless,Multiplier for flow rate calculation
transport_temperature_exponent,1.25,dimensionless,Exponent for temperature effect on nutrient transport
minimum_surface_area,1.0,cm2,Minimum surface area for calculations
minimum_biomass,0.001,g,Minimum biomass for specific root length calculations
minimum_volume,1.0,cm3,Minimum volume for density calculations
effective_area_minimum,1e-1,cm2,Minimum effective surface area threshold
container_volume,5000.0,cm3,Container/reservoir volume
channel_length,100.0,cm,Channel length for NFT systems
system_type,deep_water_culture,string,Hydroponic system type
channel_width,10.0,cm,Channel width for NFT systems
channel_depth,5.0,cm,Channel depth for NFT systems
n_channels,4,count,Number of parallel channels
root_zone_independent,true,boolean,Whether root zone size is independent of tank volume
primary_root_growth_rate,15.0,cm_day,Primary root growth rate
lateral_root_density,8.0,count_per_cm,Lateral roots per cm of primary root
branching_angle_mean,45.0,degrees,Mean branching angle
branching_angle_std,15.0,degrees,Standard deviation of branching angle
fine_root_fraction,0.6,dimensionless,Fraction of fine roots
medium_root_fraction,0.3,dimensionless,Fraction of medium roots
coarse_root_fraction,0.1,dimensionless,Fraction of coarse roots
fine_diameter_mean,0.2,mm,Mean diameter of fine roots
fine_diameter_std,0.05,mm,Standard deviation of fine root diameter
medium_diameter_mean,0.8,mm,Mean diameter of medium roots
medium_diameter_std,0.2,mm,Standard deviation of medium root diameter
coarse_diameter_mean,2.0,mm,Mean diameter of coarse roots
coarse_diameter_std,0.5,mm,Standard deviation of coarse root diameter
fine_turnover_rate,0.05,fraction_per_day,Fine root turnover rate
medium_turnover_rate,0.02,fraction_per_day,Medium root turnover rate
coarse_turnover_rate,0.01,fraction_per_day,Coarse root turnover rate
fine_root_half_life_days,20.0,days,Fine root activity half-life
medium_root_half_life_days,40.0,days,Medium root activity half-life
coarse_root_half_life_days,80.0,days,Coarse root activity half-life
fine_min_activity,0.2,dimensionless,Minimum activity factor for fine roots
medium_min_activity,0.15,dimensionless,Minimum activity factor for medium roots
coarse_min_activity,0.1,dimensionless,Minimum activity factor for coarse roots
establishment_plateau_days,7.0,days,Days of establishment plateau for root activity
initial_root_activity,1.0,dimensionless,Initial activity factor for new roots
fine_root_effectiveness,1.0,dimensionless,Fine root effectiveness factor
medium_root_effectiveness,0.7,dimensionless,Medium root effectiveness factor
coarse_root_effectiveness,0.3,dimensionless,Coarse root effectiveness factor
q10_factor,2.0,dimensionless,Q10 factor for temperature response
optimal_flow_rate,1.5,L_min,Optimal flow rate
