parameter_name,value,unit,description
# Senescence Parameters
# All leaf senescence and aging-related parameters
# Includes age-based senescence, stress-induced senescence, remobilization, and recovery rates
photosynthesis_senescence_sensitivity,0.8,dimensionless,Sensitivity of photosynthesis to senescence rate reduction
natural_lifespan_gdd,800.0,gdd,Leaf lifespan in GDD before natural senescence
age_senescence_rate,0.02,per_day,Daily senescence rate for old leaves
water_stress_threshold,0.7,dimensionless,Water stress threshold for senescence
nitrogen_stress_threshold,0.6,dimensionless,Nitrogen stress threshold for senescence
temperature_stress_threshold,0.65,dimensionless,Temperature stress threshold for senescence
light_stress_threshold,0.5,dimensionless,Light stress threshold for senescence
water_stress_rate,0.05,per_day,Daily senescence rate under water stress
nitrogen_stress_rate,0.04,per_day,Daily senescence rate under nitrogen stress
temperature_stress_rate,0.06,per_day,Daily senescence rate under temperature stress
light_stress_rate,0.03,per_day,Daily senescence rate under light stress
early_senescence_threshold,0.15,dimensionless,Damage threshold for early senescence
active_senescence_threshold,0.35,dimensionless,Damage threshold for active senescence
late_senescence_threshold,0.65,dimensionless,Damage threshold for late senescence
death_threshold,0.9,dimensionless,Damage threshold for death
recovery_rate,0.01,per_day,Daily recovery rate under good conditions
max_recovery,0.3,dimensionless,Maximum recoverable damage fraction
reproductive_priority_factor,1.8,dimensionless,Senescence acceleration during reproduction
lower_canopy_factor,1.4,dimensionless,Senescence acceleration for shaded leaves
active_senescence_multiplier,2.5,dimensionless,Remobilization multiplier for active senescence
normal_senescence_multiplier,1.0,dimensionless,Remobilization multiplier for normal senescence
stress_history_days,7,days,Days of stress history tracked
daily_area_loss_factor,0.8,dimensionless,Daily area loss factor during senescence
daily_biomass_loss_factor,0.6,dimensionless,Daily biomass loss factor during senescence
stress_recovery_threshold,0.25,dimensionless,Stress threshold for recovery
recovery_stress_threshold,0.25,dimensionless,Stress threshold for recovery initiation
nitrogen_recovery,0.8,dimensionless,Nitrogen remobilization efficiency
phosphorus_recovery,0.7,dimensionless,Phosphorus remobilization efficiency
potassium_recovery,0.9,dimensionless,Potassium remobilization efficiency
magnesium_recovery,0.6,dimensionless,Magnesium remobilization efficiency
sulfur_recovery,0.7,dimensionless,Sulfur remobilization efficiency
calcium_recovery,0.2,dimensionless,Calcium remobilization efficiency
iron_recovery,0.5,dimensionless,Iron remobilization efficiency
manganese_recovery,0.4,dimensionless,Manganese remobilization efficiency
zinc_recovery,0.6,dimensionless,Zinc remobilization efficiency
copper_recovery,0.5,dimensionless,Copper remobilization efficiency
boron_recovery,0.3,dimensionless,Boron remobilization efficiency
molybdenum_recovery,0.4,dimensionless,Molybdenum remobilization efficiency
age_factor_base,1.0,dimensionless,Base factor for age senescence calculation
stress_intensity_denominator,1.0,dimensionless,Denominator for stress intensity calculation
reproductive_factor_adjustment,1.0,dimensionless,Adjustment factor for reproductive senescence
canopy_shading_threshold,0.5,dimensionless,Canopy position threshold for shading effects
shading_factor_multiplier,2.0,dimensionless,Multiplier for shading factor calculation
lower_canopy_adjustment,1.0,dimensionless,Adjustment factor for lower canopy senescence
recovery_rate_fraction,0.1,dimensionless,Fraction of damage used in recovery rate calculation
senescence_damage_minimum,0.0,dimensionless,Minimum senescence damage value
senescence_damage_maximum,1.0,dimensionless,Maximum senescence damage value
