parameter_name,value,unit,description
# Stress Model Parameters,,,
# All stress-related parameters for water, temperature, nutrient, light
# Includes stress thresholds, sensitivities, interactions, and recovery rates
max_osmotic_adjustment,0.5,MPa,Maximum osmotic adjustment under stress
salt_stress_osmotic_factor,0.8,dimensionless,Salinity stress effect on osmotic adjustment
heat_threshold_mild,28.0,°C,Mild heat stress threshold
heat_threshold_severe,32.0,°C,Severe heat stress threshold
heat_lethal_temperature,40.0,°C,Lethal temperature for heat stress
cold_threshold_mild,15.0,°C,Mild cold stress threshold
cold_threshold_severe,10.0,°C,Severe cold stress threshold
frost_threshold,2.0,°C,Frost damage threshold
photosynthesis_heat_sensitivity,0.8,dimensionless,Photosynthesis sensitivity to heat stress
photosynthesis_cold_sensitivity,0.9,dimensionless,Photosynthesis sensitivity to cold stress
respiration_heat_sensitivity,0.6,dimensionless,Respiration sensitivity to heat stress
respiration_cold_sensitivity,0.7,dimensionless,Respiration sensitivity to cold stress
growth_heat_sensitivity,0.9,dimensionless,Growth sensitivity to heat stress
growth_cold_sensitivity,1.0,dimensionless,Growth sensitivity to cold stress
development_heat_sensitivity,0.7,dimensionless,Development sensitivity to heat stress
development_cold_sensitivity,0.8,dimensionless,Development sensitivity to cold stress
acclimation_rate,0.1,per_day,Rate of temperature acclimation
max_acclimation_days,14,days,Maximum days for temperature acclimation history
acclimation_decay_rate,0.05,per_day,Rate of acclimation decay
heat_damage_threshold,0.7,dimensionless,Threshold for heat damage accumulation
cold_damage_threshold,0.6,dimensionless,Threshold for cold damage accumulation
frost_damage_rate,0.1,per_day,Rate of frost damage accumulation
recovery_rate_heat,0.02,per_day,Recovery rate from heat damage
recovery_rate_cold,0.015,per_day,Recovery rate from cold damage
stress_memory_duration,7,days,Duration of stress memory effect
memory_effect_strength,0.2,dimensionless,Strength of stress memory effect
stress_weight_water,0.25,dimensionless,Weight of water stress in overall stress calculation
stress_weight_temperature,0.3,dimensionless,Weight of temperature stress in overall stress calculation
stress_weight_nutrient,0.2,dimensionless,Weight of nutrient stress in overall stress calculation
stress_weight_light,0.1,dimensionless,Weight of light stress in overall stress calculation
stress_weight_salinity,0.1,dimensionless,Weight of salinity stress in overall stress calculation
stress_weight_oxygen,0.03,dimensionless,Weight of oxygen stress in overall stress calculation
stress_weight_ph,0.02,dimensionless,Weight of pH stress in overall stress calculation
water_temperature_interaction_factor,1.3,dimensionless,Water-temperature stress interaction factor
water_salinity_interaction_factor,1.4,dimensionless,Water-salinity stress interaction factor
temperature_light_interaction_factor,1.1,dimensionless,Temperature-light stress interaction factor
nutrient_ph_interaction_factor,1.5,dimensionless,Nutrient-pH stress interaction factor
nutrient_salinity_interaction_factor,1.1,dimensionless,Nutrient-salinity stress interaction factor
vpd_stress_low_factor,0.15,per_kPa,VPD stress factor for low VPD
vpd_stress_high_factor,0.25,per_kPa,VPD stress factor for high VPD
optimal_vpd_min,0.5,kPa,Minimum optimal VPD
optimal_vpd_max,1.2,kPa,Maximum optimal VPD
optimal_ec_min,1.2,dS_m,Minimum optimal EC
optimal_ec_max,2.0,dS_m,Maximum optimal EC
ec_stress_high_factor,0.1,per_dS_m,EC stress factor for high EC
ec_stress_low_factor,0.15,per_dS_m,EC stress factor for low EC
nitrogen_stress_factor,0.3,dimensionless,Nitrogen stress factor
optimal_n_min,150.0,mg_L,Minimum optimal nitrogen concentration
optimal_n_max,250.0,mg_L,Maximum optimal nitrogen concentration
severe_deficiency_threshold,50.0,mg_L,Severe nitrogen deficiency threshold
mild_stress_level,0.3,dimensionless,Stress level for mild temperature deviation
moderate_stress_level,0.4,dimensionless,Additional stress level for moderate temperature deviation
mild_cold_stress_level,0.2,dimensionless,Stress level for mild cold deviation
moderate_cold_stress_level,0.3,dimensionless,Additional stress level for moderate cold deviation
severe_cold_stress_level,0.3,dimensionless,Additional stress level for severe cold deviation
frost_base_stress_level,0.8,dimensionless,Base stress level for frost conditions
frost_additional_stress,0.2,dimensionless,Additional stress for extreme frost
heat_acclimation_reduction,0.4,dimensionless,Heat acclimation stress reduction factor
cold_acclimation_reduction,0.5,dimensionless,Cold acclimation stress reduction factor
photosynthesis_weight,0.35,dimensionless,Weight of photosynthesis in overall stress
growth_weight,0.35,dimensionless,Weight of growth in overall stress
development_weight,0.20,dimensionless,Weight of development in overall stress
respiration_weight,0.10,dimensionless,Weight of respiration in overall stress
heat_damage_rate,0.01,per_day,Heat damage accumulation rate per day
cold_damage_rate,0.008,per_day,Cold damage accumulation rate per day
frost_recovery_multiplier,0.5,dimensionless,Frost damage recovery rate multiplier
damage_factor_multiplier,0.5,dimensionless,Damage effect multiplier on process factors
chronic_stress_weight,0.8,dimensionless,Weight of chronic stress in combined calculation
acute_stress_weight,0.2,dimensionless,Weight of acute stress in combined calculation
recovery_bonus_factor,0.05,dimensionless,Recovery bonus factor
damage_penalty_factor,0.2,dimensionless,Damage penalty factor
memory_divisor,3.0,dimensionless,Memory effect time divisor for exponential weighting
chronic_factor_multiplier,1.5,dimensionless,Chronic stress factor multiplier
ph_optimal_min,5.5,pH,Minimum optimal pH for lettuce (no stress)
ph_optimal_max,6.5,pH,Maximum optimal pH for lettuce (no stress)
ph_stress_range,2.0,pH_units,pH deviation from optimal range for full stress
water_recovery_base_rate,0.3,dimensionless,Base water stress recovery rate
temperature_recovery_base_rate,0.5,dimensionless,Base temperature stress recovery rate
light_recovery_base_rate,0.3,dimensionless,Base light stress recovery rate
temperature_lethal_min,2.0,°C,Minimum survival temperature for lettuce
temperature_recovery_rate,0.2,per_day,Recovery rate from temperature stress
water_critical_threshold,0.15,fraction,Critical water stress threshold
water_recovery_rate,0.3,per_day,Recovery rate from water stress
nutrient_critical_threshold,0.1,fraction,Critical nutrient deficiency threshold
nutrient_toxicity_threshold,3.0,dimensionless,Threshold for nutrient toxicity stress
nutrient_recovery_rate,0.25,per_day,Recovery rate from nutrient stress
light_compensation_point,50.0,μmol_m2_s,Light compensation point for lettuce (Bugbee 2016)
light_saturation_point,1000.0,μmol_m2_s,Light saturation point for lettuce (Both et al. 2017)
light_max_ppfd,2000.0,μmol_m2_s,Maximum PPFD before stress (2x saturation)
light_photoinhibition_threshold,1800.0,μmol_m2_s,PPFD threshold for photoinhibition onset
light_recovery_rate,0.4,per_day,Recovery rate from light stress
ph_recovery_rate,0.5,per_day,Recovery rate from pH stress
salinity_threshold_ec,2.5,dS_m,EC threshold for salinity stress onset
salinity_critical_ec,4.0,dS_m,EC threshold for severe salinity stress
salinity_recovery_rate,0.2,per_day,Recovery rate from salinity stress
oxygen_critical_min,3.0,mg_L,Critical minimum dissolved oxygen
oxygen_optimal_min,5.0,mg_L,Optimal minimum dissolved oxygen
oxygen_recovery_rate,0.6,per_day,Recovery rate from oxygen stress
integration_water_weight,0.3,dimensionless,Weight for water stress in integration
integration_nutrient_weight,0.15,dimensionless,Weight for nutrient stress in integration
integration_light_weight,0.05,dimensionless,Weight for light stress in integration
integration_interaction_factor,1.2,dimensionless,Multiplicative interaction strength between stresses
integration_threshold_severe,0.3,fraction,Threshold for severe combined stress
integration_threshold_critical,0.15,fraction,Threshold for critical combined stress
acclimation_max_adjustment,0.5,dimensionless,Maximum stress acclimation adjustment
sensitivity_photosynthesis,0.8,dimensionless,Photosynthesis sensitivity to stress (high)
sensitivity_respiration,0.4,dimensionless,Respiration sensitivity to stress (moderate)
sensitivity_transpiration,0.6,dimensionless,Transpiration sensitivity to stress (moderate-high)
sensitivity_growth,0.9,dimensionless,Growth sensitivity to stress (very high)
sensitivity_development,0.5,dimensionless,Development sensitivity to stress (moderate)
stress_interaction_water_temperature_coefficient,0.5,dimensionless,Coefficient for water-temperature stress interaction
stress_interaction_water_nutrient_coefficient,0.4,dimensionless,Coefficient for water-nutrient stress interaction
stress_interaction_temperature_light_coefficient,0.2,dimensionless,Coefficient for temperature-light stress interaction
stress_interaction_nutrient_ph_coefficient,0.6,dimensionless,Coefficient for nutrient-pH stress interaction
stress_interaction_nutrient_salinity_coefficient,0.4,dimensionless,Coefficient for nutrient-salinity stress interaction
chronic_stress_weight,0.7,dimensionless,Weight of chronic stress in combined stress calculation
acute_stress_weight,0.3,dimensionless,Weight of acute stress in combined stress calculation
recovery_bonus_factor,0.15,dimensionless,Recovery bonus factor for stress relief
damage_penalty_factor,1.5,dimensionless,Damage penalty multiplier for stress accumulation
memory_divisor,10.0,dimensionless,Memory effect time divisor for exponential weighting
chronic_factor_multiplier,1.3,dimensionless,Chronic stress factor multiplier
cumulative_threshold_coefficient_base,0.3,dimensionless,Base coefficient for cumulative threshold calculation
cumulative_threshold_coefficient_weight,0.2,dimensionless,Weight coefficient for cumulative threshold calculation
damage_rate_recovery_coefficient,0.5,dimensionless,Coefficient relating damage rates to recovery rates
recovery_threshold_offset,0.05,dimensionless,Offset for calculating recovery thresholds from onset thresholds
recovery_time_minimum_rate,0.01,per_day,Minimum recovery rate to prevent division by zero
acclimation_capacity_multiplier,2.0,dimensionless,Multiplier for calculating acclimation capacity from rates
acclimation_capacity_maximum,0.8,dimensionless,Maximum acclimation capacity cap
acclimation_memory_decay_factor,0.8,dimensionless,Decay factor for acclimation memory duration
# Integration parameters for stress weights,,,
ph_weight,0.1,dimensionless,PH stress weight
salinity_weight,0.05,dimensionless,Salinity stress weight
oxygen_weight,0.05,dimensionless,Oxygen stress weight
# Interaction factors,,,
water_temperature_interaction_factor,1.2,dimensionless,Water-temperature interaction factor
water_salinity_interaction_factor,1.3,dimensionless,Water-salinity interaction factor
