*ENVIRONMENTAL CONTROL OUTPUT
@  DAY  DATE       CO2    VPD    PPFD   DLEN   PRES   WINDS  RELHUM AIRDEN PHFAC  TRFAC
    1 2025-08-20    400  0.859    0.0   12.5  101.3    0.5   65.2   1.20  1.00  1.00
    2 2025-08-21    400  0.678    6.5   12.6  101.3    0.5   65.3   1.20  0.99  0.98
    3 2025-08-22    400  0.870    7.9   12.6  101.3    0.5   65.5   1.20  1.00  1.00
    4 2025-08-23    400  0.980    6.9   12.6  101.3    0.5   65.7   1.20  0.94  0.90
    5 2025-08-24    400  0.593    7.1   12.7  101.3    0.5   65.9   1.20  0.95  0.91
    6 2025-08-25    400  0.660    6.1   12.7  101.3    0.5   66.0   1.20  0.98  0.97
    7 2025-08-26    400  0.936    6.4   12.7  101.3    0.5   66.2   1.20  0.97  0.96
    8 2025-08-27    400  0.813    6.3   12.8  101.3    0.5   66.4   1.20  1.00  1.00
    9 2025-08-28    400  0.786    6.9   12.8  101.3    0.5   66.5   1.20  1.00  1.00
   10 2025-08-29    400  0.788    5.6   12.8  101.3    0.5   66.7   1.20  1.00  1.00
   11 2025-08-30    400  0.936    6.2   12.9  101.3    0.5   66.9   1.20  0.97  0.96
   12 2025-08-31    400  0.684    6.7   12.9  101.3    0.5   67.1   1.20  0.99  0.99
   13 2025-09-01    400  0.842    6.4   12.9  101.3    0.5   67.2   1.20  1.00  1.00
   14 2025-09-02    400  0.918    7.3   13.0  101.3    0.5   67.4   1.20  0.99  0.98
   15 2025-09-03    400  1.041    5.9   13.0  101.3    0.5   67.6   1.20  0.89  0.83
   16 2025-09-04    400  0.934    5.9   13.0  101.3    0.5   67.7   1.20  0.97  0.96
   17 2025-09-05    400  1.042    7.0   13.1  101.3    0.5   67.9   1.20  0.89  0.83
   18 2025-09-06    400  0.858    6.9   13.1  101.3    0.5   68.0   1.20  1.00  1.00
   19 2025-09-07    400  0.912    6.3   13.1  101.3    0.5   68.2   1.20  0.99  0.99
   20 2025-09-08    400  0.984    6.6   13.2  101.3    0.5   68.4   1.20  0.93  0.90
   21 2025-09-09    400  0.903    5.6   13.2  101.3    0.5   68.5   1.20  1.00  1.00
   22 2025-09-10    400  0.932    6.9   13.2  101.3    0.5   68.7   1.20  0.97  0.96
   23 2025-09-11    400  0.634    6.5   13.3  101.3    0.5   68.9   1.20  0.97  0.95
   24 2025-09-12    400  0.842    6.1   13.3  101.3    0.5   69.0   1.20  1.00  1.00
   25 2025-09-13    400  0.673    6.7   13.3  101.3    0.5   69.2   1.20  0.99  0.98
   26 2025-09-14    400  0.684    5.8   13.4  101.3    0.5   69.3   1.20  0.99  0.99
   27 2025-09-15    400  0.873    6.9   13.4  101.3    0.5   69.5   1.20  1.00  1.00
   28 2025-09-16    400  0.884    5.9   13.4  101.3    0.5   69.6   1.20  1.00  1.00
   29 2025-09-17    400  0.611    6.0   13.5  101.3    0.5   69.8   1.20  0.96  0.93
   30 2025-09-18    400  0.755    6.4   13.5  101.3    0.5   69.9   1.20  1.00  1.00
   31 2025-09-19    400  0.871    6.1   13.5  101.3    0.5   70.1   1.20  1.00  1.00
   32 2025-09-20    400  0.437    5.5   13.5  101.3    0.5   70.2   1.20  0.87  0.79
   33 2025-09-21    400  0.793    5.9   13.6  101.3    0.5   70.4   1.20  1.00  1.00
   34 2025-09-22    400  0.746    5.4   13.6  101.3    0.5   70.5   1.20  1.00  1.00
   35 2025-09-23    400  0.817    5.9   13.6  101.3    0.5   70.7   1.20  1.00  1.00
   36 2025-09-24    400  0.961    6.2   13.7  101.3    0.5   70.8   1.20  0.95  0.93
   37 2025-09-25    400  0.683    5.7   13.7  101.3    0.5   70.9   1.20  0.99  0.99
   38 2025-09-26    400  0.711    6.6   13.7  101.3    0.5   71.1   1.20  1.00  1.00
   39 2025-09-27    400  1.168    5.6   13.7  101.3    0.5   71.2   1.20  0.79  0.68
