*GENETIC PARAMETERS OUTPUT
@  DAY  DATE       CADAPT YPOTEN PHCAP  GRPOT  MATIDX STRES  NUTEFF WATEFF TEMPOL
    1 2025-08-19  0.942  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
    2 2025-08-20  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
    3 2025-08-21  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
    4 2025-08-22  0.946  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
    5 2025-08-23  0.946  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
    6 2025-08-24  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
    7 2025-08-25  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
    8 2025-08-26  0.944  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
    9 2025-08-27  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   10 2025-08-28  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   11 2025-08-29  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   12 2025-08-30  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   13 2025-08-31  0.947  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   14 2025-09-01  0.944  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   15 2025-09-02  0.945  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   16 2025-09-03  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   17 2025-09-04  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   18 2025-09-05  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   19 2025-09-06  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   20 2025-09-07  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   21 2025-09-08  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   22 2025-09-09  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   23 2025-09-10  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   24 2025-09-11  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   25 2025-09-12  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   26 2025-09-13  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   27 2025-09-14  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   28 2025-09-15  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   29 2025-09-16  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   30 2025-09-17  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   31 2025-09-18  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   32 2025-09-19  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   33 2025-09-20  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   34 2025-09-21  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   35 2025-09-22  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   36 2025-09-23  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   37 2025-09-24  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   38 2025-09-25  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
   39 2025-09-26  0.950  1.100 1.080 1.000  1.000 1.000  1.000  1.000  1.000
