*INTEGRATED STRESS OUTPUT
@  DAY  DATE       TEMPST HEATST COLDST WATST  NUTST  NSTRS  PST    KST    INTST  PHST   OXYST  SALTST LIGHST
    1 2025-08-19  0.114  0.000  0.000  0.853  0.299  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
    2 2025-08-20  0.034  0.000  0.000  0.979  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
    3 2025-08-21  0.018  0.000  0.000  0.970  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
    4 2025-08-22  0.064  0.000  0.000  0.894  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
    5 2025-08-23  0.070  0.000  0.000  0.891  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
    6 2025-08-24  0.017  0.000  0.000  0.962  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
    7 2025-08-25  0.013  0.000  0.000  0.960  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
    8 2025-08-26  0.087  0.000  0.000  0.828  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
    9 2025-08-27  0.014  0.000  0.000  0.979  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   10 2025-08-28  0.012  0.000  0.000  0.979  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   11 2025-08-29  0.010  0.000  0.000  0.938  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   12 2025-08-30  0.008  0.000  0.000  0.950  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   13 2025-08-31  0.051  0.000  0.000  0.898  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   14 2025-09-01  0.093  0.000  0.000  0.843  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   15 2025-09-02  0.077  0.000  0.000  0.886  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   16 2025-09-03  0.015  0.000  0.000  0.947  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   17 2025-09-04  0.014  0.000  0.000  0.979  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   18 2025-09-05  0.012  0.000  0.000  0.979  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   19 2025-09-06  0.010  0.000  0.000  0.934  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   20 2025-09-07  0.008  0.000  0.000  0.979  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   21 2025-09-08  0.006  0.000  0.000  0.964  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   22 2025-09-09  0.004  0.000  0.000  0.966  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   23 2025-09-10  0.002  0.000  0.000  0.979  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   24 2025-09-11  0.003  0.000  0.000  0.928  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   25 2025-09-12  0.001  0.000  0.000  0.977  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   26 2025-09-13  0.001  0.000  0.000  0.976  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   27 2025-09-14  0.001  0.000  0.000  0.979  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   28 2025-09-15  0.001  0.000  0.000  0.979  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   29 2025-09-16  0.000  0.000  0.000  0.979  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   30 2025-09-17  0.000  0.000  0.000  0.964  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   31 2025-09-18  0.000  0.000  0.000  0.979  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   32 2025-09-19  0.000  0.000  0.000  0.953  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   33 2025-09-20  0.000  0.000  0.000  0.979  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   34 2025-09-21  0.000  0.000  0.000  0.979  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   35 2025-09-22  0.000  0.000  0.000  0.979  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   36 2025-09-23  0.000  0.000  0.000  0.979  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   37 2025-09-24  0.000  0.000  0.000  0.967  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   38 2025-09-25  0.000  0.000  0.000  0.979  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
   39 2025-09-26  0.000  0.000  0.000  0.979  0.100  0.900  0.000  0.000 0.900  0.000 0.000  1.000  0.000
