*WATER UPTAKE AND TRANSPIRATION OUTPUT
@  DAY  DATE       TRANSP WUP_TOT WUE    PH     EC     PHFAC  ECFAC  WSTRES
    1 2025-08-20   0.00    0.00   0.34   6.00   1.50  1.000  0.000  0.914
    2 2025-08-21   0.00    0.00   0.11   6.00   1.50  1.000  0.000  0.978
    3 2025-08-22   0.00    0.00   0.12   6.00   1.50  1.000  0.000  0.938
    4 2025-08-23   0.00    0.00   0.12   6.00   1.50  1.000  0.000  0.886
    5 2025-08-24   0.00    0.00   0.12   6.00   1.50  1.000  0.000  0.914
    6 2025-08-25   0.00    0.00   0.11   6.00   1.50  1.000  0.000  0.949
    7 2025-08-26   0.00    0.00   0.11   6.00   1.50  1.000  0.000  0.953
    8 2025-08-27   0.00    0.00   0.11   6.00   1.50  1.000  0.000  0.973
    9 2025-08-28   0.00    0.00   0.11   6.00   1.50  1.000  0.000  0.957
   10 2025-08-29   0.00    0.00   0.11   6.00   1.50  1.000  0.000  0.971
   11 2025-08-30   0.00    0.00   0.12   6.00   1.50  1.000  0.000  0.921
   12 2025-08-31   0.00    0.00   0.10   6.00   1.50  1.000  0.000  0.979
   13 2025-09-01   0.00    0.00   0.11   6.00   1.50  1.000  0.000  0.934
   14 2025-09-02   0.00    0.00   0.11   6.00   1.50  1.000  0.000  0.945
   15 2025-09-03   0.00    0.00   0.12   6.00   1.50  1.000  0.000  0.892
   16 2025-09-04   0.00    0.00   0.10   6.00   1.50  1.000  0.000  0.979
   17 2025-09-05   0.00    0.00   0.12   6.00   1.50  1.000  0.000  0.896
   18 2025-09-06   0.00    0.00   0.10   6.00   1.50  1.000  0.000  0.978
   19 2025-09-07   0.00    0.00   0.10   6.00   1.50  1.000  0.000  0.979
   20 2025-09-08   0.00    0.00   0.10   6.00   1.50  1.000  0.000  0.979
   21 2025-09-09   0.00    0.00   0.10   6.00   1.50  1.000  0.000  0.979
   22 2025-09-10   0.00    0.00   0.10   6.00   1.50  1.000  0.000  0.979
   23 2025-09-11   0.00    0.00   0.10   6.00   1.50  1.000  0.000  0.979
   24 2025-09-12   0.00    0.00   0.09   6.00   1.50  1.000  0.000  0.979
   25 2025-09-13   0.00    0.00   0.10   6.00   1.50  1.000  0.000  0.979
   26 2025-09-14   0.00    0.00   0.09   6.00   1.50  1.000  0.000  0.979
   27 2025-09-15   0.00    0.00   0.10   6.00   1.50  1.000  0.000  0.979
   28 2025-09-16   0.00    0.00   0.09   6.00   1.50  1.000  0.000  0.979
   29 2025-09-17   0.00    0.00   0.08   6.00   1.50  1.000  0.000  0.979
   30 2025-09-18   0.00    0.00   0.10   6.00   1.50  1.000  0.000  0.979
   31 2025-09-19   0.00    0.00   0.10   6.00   1.50  1.000  0.000  0.979
   32 2025-09-20   0.00    0.00   0.09   6.00   1.50  1.000  0.000  0.954
   33 2025-09-21   0.00    0.00   0.09   6.00   1.50  1.000  0.000  0.979
   34 2025-09-22   0.00    0.00   0.07   6.00   1.50  1.000  0.000  0.979
   35 2025-09-23   0.00    0.00   0.09   6.00   1.50  1.000  0.000  0.979
   36 2025-09-24   0.00    0.00   0.08   6.00   1.50  1.000  0.000  0.979
   37 2025-09-25   0.00    0.00   0.08   6.00   1.50  1.000  0.000  0.979
   38 2025-09-26   0.00    0.00   0.09   6.00   1.50  1.000  0.000  0.979
   39 2025-09-27   0.00    0.00   0.09   6.00   1.50  1.000  0.000  0.923
