step,day,hour,total_biomass,leaf_biomass,stem_biomass,root_biomass,allocation_efficiency,cumulative_biomass_gain
13,1,12,0.0462,0.0150,0.0050,0.0262,1,0.0000
24,1,23,0.0462,0.0150,0.0050,0.0262,1,0.0000
37,2,12,0.0462,0.0150,0.0050,0.0262,1,0.0000
48,2,23,0.0462,0.0150,0.0050,0.0262,1,0.0000
61,3,12,0.0462,0.0150,0.0050,0.0262,1,0.0000
72,3,23,0.0462,0.0150,0.0050,0.0262,1,0.0000
85,4,12,0.0462,0.0150,0.0050,0.0262,1,0.0000
96,4,23,0.0462,0.0150,0.0050,0.0262,1,0.0000
109,5,12,0.0899,0.0427,0.0072,0.0400,1,0.0437
120,5,23,0.1429,0.0745,0.0098,0.0586,1,0.0967
133,6,12,0.2283,0.1302,0.0141,0.0840,1,0.1821
144,6,23,0.2381,0.1358,0.0146,0.0877,1,0.1919
157,7,12,0.2437,0.1392,0.0149,0.0896,1,0.1975
168,7,23,0.2437,0.1392,0.0149,0.0896,1,0.1975
181,8,12,0.2480,0.1423,0.0151,0.0907,1,0.2018
192,8,23,0.2480,0.1423,0.0151,0.0907,1,0.2018
205,9,12,0.2480,0.1423,0.0151,0.0907,1,0.2018
216,9,23,0.2480,0.1423,0.0151,0.0907,1,0.2018
229,10,12,0.2487,0.1427,0.0151,0.0909,1,0.2025
240,10,23,0.2487,0.1427,0.0151,0.0909,1,0.2025
253,11,12,0.9895,0.6515,0.0522,0.2858,1,0.9433
264,11,23,1.0297,0.6750,0.0542,0.3006,1,0.9835
277,12,12,1.7627,1.1457,0.0908,0.5261,1,1.7165
288,12,23,1.7917,1.1600,0.0923,0.5394,1,1.7455
301,13,12,2.5507,1.6620,0.1302,0.7585,1,2.5045
312,13,23,2.5690,1.6720,0.1311,0.7659,1,2.5228
325,14,12,3.2638,2.1384,0.1659,0.9596,1,3.2176
336,14,23,3.2883,2.1511,0.1671,0.9701,1,3.2421
349,15,12,3.9783,2.6190,0.2016,1.1577,1,3.9321
360,15,23,4.0042,2.6348,0.2029,1.1665,1,3.9580
373,16,12,4.6563,3.0667,0.2355,1.3541,1,4.6101
384,16,23,4.6763,3.0777,0.2365,1.3621,1,4.6301
397,17,12,5.2383,3.3929,0.2646,1.5808,1,5.1921
408,17,23,5.2570,3.4007,0.2655,1.5907,1,5.2108
421,18,12,5.8366,3.7930,0.2945,1.7491,1,5.7904
432,18,23,5.8614,3.8086,0.2958,1.7571,1,5.8152
445,19,12,6.5060,4.2018,0.3280,1.9762,1,6.4598
456,19,23,6.5264,4.2107,0.3290,1.9867,1,6.4802
469,20,12,7.2633,4.6754,0.3659,2.2221,1,7.2171
480,20,23,7.2917,4.6942,0.3673,2.2303,1,7.2455
493,21,12,7.8644,5.0420,0.3959,2.4264,1,7.8182
504,21,23,7.8807,5.0501,0.3967,2.4339,1,7.8345
517,22,12,8.4089,5.3989,0.4231,2.5868,1,8.3627
528,22,23,8.4291,5.4102,0.4241,2.5947,1,8.3829
541,23,12,9.1302,5.8656,0.4592,2.8055,1,9.0840
552,23,23,9.1529,5.8768,0.4603,2.8157,1,9.1067
565,24,12,9.7878,6.2843,0.4921,3.0115,1,9.7416
576,24,23,9.8197,6.3003,0.4937,3.0257,1,9.7735
589,25,12,10.4445,6.6797,0.5249,3.2399,1,10.3983
600,25,23,10.4599,6.6862,0.5257,3.2480,1,10.4137
613,26,12,11.1737,7.1417,0.5614,3.4706,1,11.1275
624,26,23,11.1964,7.1564,0.5625,3.4775,1,11.1502
637,27,12,11.8300,7.5618,0.5942,3.6740,1,11.7838
648,27,23,11.8475,7.5709,0.5951,3.6816,1,11.8013
661,28,12,12.4371,7.9149,0.6245,3.8976,1,12.3909
672,28,23,12.4458,7.9187,0.6250,3.9022,1,12.3996
685,29,12,13.1336,8.3666,0.6594,4.1077,1,13.0874
696,29,23,13.1522,8.3778,0.6603,4.1141,1,13.1060
709,30,12,13.8283,8.8089,0.6941,4.3252,1,13.7821
720,30,23,13.8468,8.8202,0.6950,4.3316,1,13.8006
733,31,12,14.5432,9.2635,0.7298,4.5498,1,14.4970
744,31,23,14.5630,9.2746,0.7308,4.5575,1,14.5168
757,32,12,15.2722,9.6871,0.7663,4.8188,1,15.2260
768,32,23,15.2950,9.6967,0.7674,4.8309,1,15.2488
781,33,12,15.9876,10.1241,0.8021,5.0614,1,15.9414
792,33,23,16.0063,10.1351,0.8030,5.0682,1,15.9601
793,34,0,16.0063,10.1351,0.8030,5.0682,1,15.9601
