step,day,hour,lai,leaf_area,canopy_height,ground_coverage,light_interception_efficiency,cumulative_light_interception
13,1,12,0.5351,0.0642,0.0171,0.2746,0.2974,0.3200
24,1,23,0.5680,0.0682,0.0171,0.2888,0.0000,0.5582
37,2,12,0.6565,0.0788,0.0171,0.3256,0.3488,0.9369
48,2,23,0.6800,0.0816,0.0171,0.3350,0.0000,1.2144
61,3,12,0.7264,0.0872,0.0171,0.3533,0.3763,1.6296
72,3,23,0.7264,0.0872,0.0171,0.3533,0.0000,1.9263
85,4,12,0.7264,0.0872,0.0171,0.3533,0.3763,2.3416
96,4,23,0.7268,0.0872,0.0171,0.3535,0.0000,2.6382
109,5,12,0.7268,0.0872,0.0173,0.3535,0.3764,3.0537
120,5,23,0.7268,0.0872,0.0214,0.3535,0.0000,3.3505
133,6,12,0.7541,0.0905,0.0235,0.3639,0.3867,3.7746
144,6,23,0.7700,0.0924,0.0244,0.3700,0.0000,4.0807
157,7,12,0.8029,0.0963,0.0246,0.3823,0.4045,4.5252
168,7,23,0.8100,0.0972,0.0246,0.3849,0.0000,4.8448
181,8,12,0.8375,0.1005,0.0247,0.3950,0.4168,5.3029
192,8,23,0.8525,0.1023,0.0247,0.4004,0.0000,5.6325
205,9,12,0.8711,0.1045,0.0247,0.4071,0.4283,6.1052
216,9,23,0.8711,0.1045,0.0247,0.4071,0.0000,6.4429
229,10,12,0.8859,0.1063,0.0247,0.4123,0.4333,6.9183
240,10,23,0.9127,0.1095,0.0247,0.4217,0.0000,7.2617
253,11,12,0.9563,0.1148,0.0363,0.4366,0.4563,11.0213
264,11,23,0.9708,0.1165,0.0378,0.4415,0.0000,13.7297
277,12,12,1.0104,0.1212,0.0443,0.4546,0.4731,17.1335
288,12,23,1.0206,0.1225,0.0452,0.4579,0.0000,19.5801
301,13,12,1.0552,0.1266,0.0502,0.4691,0.4865,23.3239
312,13,23,1.0563,0.1268,0.0508,0.4694,0.0000,26.0088
325,14,12,1.0734,0.1288,0.0545,0.4748,0.4918,29.4519
336,14,23,1.0878,0.1305,0.0551,0.4793,0.0000,31.9331
349,15,12,1.1397,0.1368,0.0583,0.4953,0.5104,35.5083
360,15,23,1.1591,0.1391,0.0588,0.5011,0.0000,38.0837
373,16,12,1.2095,0.1451,0.0614,0.5160,0.5290,41.6459
384,16,23,1.2294,0.1475,0.0618,0.5218,0.0000,44.2073
397,17,12,1.2708,0.1525,0.0639,0.5335,0.5445,47.6092
408,17,23,1.2753,0.1530,0.0643,0.5347,0.0000,50.0493
421,18,12,1.3059,0.1567,0.0663,0.5432,0.5530,53.2385
432,18,23,1.3403,0.1608,0.0666,0.5526,0.0000,55.5381
445,19,12,1.4054,0.1686,0.0687,0.5697,0.5760,59.4346
456,19,23,1.4167,0.1700,0.0690,0.5726,0.0000,62.2337
469,20,12,1.4652,0.1758,0.0713,0.5848,0.5889,66.5299
480,20,23,1.4943,0.1793,0.0716,0.5920,0.0000,69.6173
493,21,12,1.5470,0.1856,0.0732,0.6047,0.6056,73.4783
504,21,23,1.5470,0.1856,0.0735,0.6047,0.0000,76.2436
517,22,12,1.5566,0.1868,0.0749,0.6070,0.6075,79.6464
528,22,23,1.5838,0.1901,0.0751,0.6134,0.0000,82.0897
541,23,12,1.6554,0.1987,0.0769,0.6296,0.6262,86.5017
552,23,23,1.6713,0.2006,0.0772,0.6331,0.0000,89.6699
565,24,12,1.7322,0.2079,0.0787,0.6463,0.6397,92.7770
576,24,23,1.7463,0.2096,0.0790,0.6493,0.0000,95.0060
589,25,12,1.8022,0.2163,0.0805,0.6609,0.6513,99.3616
600,25,23,1.8101,0.2172,0.0807,0.6625,0.0000,102.4828
613,26,12,1.8101,0.2172,0.0823,0.6625,0.6526,106.9970
624,26,23,1.8399,0.2208,0.0825,0.6684,0.0000,110.2215
637,27,12,1.9168,0.2300,0.0839,0.6834,0.6690,114.5883
648,27,23,1.9387,0.2326,0.0841,0.6875,0.0000,117.7213
661,28,12,2.0037,0.2404,0.0853,0.6995,0.6813,122.2342
672,28,23,2.0185,0.2422,0.0855,0.7021,0.0000,125.4680
685,29,12,2.0739,0.2489,0.0869,0.7119,0.6907,130.1508
696,29,23,2.1010,0.2521,0.0871,0.7165,0.0000,133.5066
709,30,12,2.1010,0.2521,0.0884,0.7165,0.6942,138.0069
720,30,23,2.1468,0.2576,0.0886,0.7242,0.0000,141.2265
733,31,12,2.2213,0.2666,0.0899,0.7363,0.7088,145.8349
744,31,23,2.2464,0.2696,0.0901,0.7402,0.0000,149.1380
757,32,12,2.3107,0.2773,0.0913,0.7500,0.7188,153.1674
768,32,23,2.3239,0.2789,0.0916,0.7520,0.0000,156.0522
781,33,12,2.3754,0.2851,0.0928,0.7596,0.7256,160.6344
792,33,23,2.3943,0.2873,0.0929,0.7623,0.0000,163.9151
793,34,0,2.3943,0.2873,0.0929,0.7623,0.0000,163.9151
