step,day,hour,timestamp,photosynthesis_simulator_net_assimilation_rate,photosynthesis_simulator_gross_photosynthesis_rate,photosynthesis_simulator_respiration_rate,photosynthesis_simulator_light_use_efficiency,photosynthesis_simulator_co2_uptake_rate,photosynthesis_simulator_cumulative_carbon_gained,photosynthesis_simulator_daily_carbon_gained,photosynthesis_simulator_leaf_temperature,photosynthesis_simulator_temperature_stress_factor,photosynthesis_simulator_light_stress_factor,photosynthesis_simulator_step_count,photosynthesis_simulator_last_update
1,1,0,2025-09-29 00:13:08.057956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
2,1,1,2025-09-29 00:13:08.088352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
3,1,2,2025-09-29 00:13:08.118817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
4,1,3,2025-09-29 00:13:08.149172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
5,1,4,2025-09-29 00:13:08.179515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
6,1,5,2025-09-29 00:13:08.209927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
7,1,6,2025-09-29 00:13:08.240185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
8,1,7,2025-09-29 00:13:08.270565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
9,1,8,2025-09-29 00:13:08.301044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
10,1,9,2025-09-29 00:13:08.331655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
