step,day,hour,timestamp,photosynthesis_simulator_net_assimilation_rate,photosynthesis_simulator_gross_photosynthesis_rate,photosynthesis_simulator_respiration_rate,photosynthesis_simulator_light_use_efficiency,photosynthesis_simulator_co2_uptake_rate,photosynthesis_simulator_cumulative_carbon_gained,photosynthesis_simulator_daily_carbon_gained,photosynthesis_simulator_leaf_temperature,photosynthesis_simulator_temperature_stress_factor,photosynthesis_simulator_light_stress_factor,photosynthesis_simulator_step_count,photosynthesis_simulator_last_update,respiration_simulator_total_respiration_rate,respiration_simulator_maintenance_respiration,respiration_simulator_growth_respiration,respiration_simulator_leaf_respiration,respiration_simulator_stem_respiration,respiration_simulator_root_respiration,respiration_simulator_cumulative_respiration,respiration_simulator_daily_respiration,respiration_simulator_temperature_factor,respiration_simulator_biomass_factor,respiration_simulator_step_count,respiration_simulator_last_update,biomass_allocation_simulator_total_biomass,biomass_allocation_simulator_leaf_biomass,biomass_allocation_simulator_stem_biomass,biomass_allocation_simulator_root_biomass,biomass_allocation_simulator_leaf_allocation_fraction,biomass_allocation_simulator_stem_allocation_fraction,biomass_allocation_simulator_root_allocation_fraction,biomass_allocation_simulator_allocation_efficiency,biomass_allocation_simulator_cumulative_biomass_gain,biomass_allocation_simulator_daily_biomass_gain,biomass_allocation_simulator_step_count,biomass_allocation_simulator_last_update
1,1,0,2025-09-29 05:27:07.407838,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,5903.353754167602,0.0,25.2,1.0,1.0,2,2025-09-29T05:27:07.299032,0.003206939219685044,0.0015209392196850438,0.001686,0.0005069797398950146,0.00040558379191601166,0.0006083756878740175,23.089962381732317,0.0,1.013959479790029,1.0,2,2025-09-29T05:27:07.340818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2025-09-29T05:27:07.393967
2,1,1,2025-09-29 05:27:07.546176,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,11806.707508335205,5903.353754167602,25.2,1.0,1.0,4,2025-09-29T05:27:07.438493,0.0032029383990161498,0.0015169383990161496,0.001686,0.0005056461330053832,0.0004045169064043066,0.0006067753596064598,46.15793657788312,23.0679741961508,1.0112922660107664,1.0,4,2025-09-29T05:27:07.480391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,2025-09-29T05:27:07.532857
3,1,2,2025-09-29 05:27:07.686841,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,17710.061262502808,11806.707508335205,25.2,1.0,1.0,6,2025-09-29T05:27:07.576664,0.0031997054502760102,0.0015137054502760102,0.001686,0.0005045684834253367,0.0004036547867402694,0.000605482180110404,69.20132575302108,46.11136337128875,1.0091369668506731,1.0,6,2025-09-29T05:27:07.618425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,2025-09-29T05:27:07.672933
4,1,3,2025-09-29 05:27:07.824469,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,23613.415016670413,17710.061262502808,25.2,1.0,1.0,8,2025-09-29T05:27:07.717666,0.0031970918133149527,0.0015110918133149527,0.001686,0.0005036972711049843,0.00040295781688398744,0.0006044367253259811,92.2248417208381,69.13487933910578,1.0073945422099686,1.0,8,2025-09-29T05:27:07.759744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8,2025-09-29T05:27:07.812118
5,1,4,2025-09-29 05:27:07.961559,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,29516.768770838018,23613.415016670413,25.2,1.0,1.0,10,2025-09-29T05:27:07.854814,0.0031949780758698276,0.0015089780758698276,0.001686,0.0005029926919566092,0.00040239415356528737,0.0006035912303479309,115.23228701793751,92.14232463620517,1.005985383913218,1.0,10,2025-09-29T05:27:07.896053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,2025-09-29T05:27:07.949717
6,1,5,2025-09-29 05:27:08.101482,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,35420.12252500562,29516.768770838018,25.2,1.0,1.0,12,2025-09-29T05:27:07.991760,0.00319326811616011,0.0015072681161601104,0.001686,0.0005024227053867035,0.0004019381643093628,0.0006029072464640441,138.22673251554622,115.1367701338139,1.0048454107734068,1.0,12,2025-09-29T05:27:08.033549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12,2025-09-29T05:27:08.087611
7,1,6,2025-09-29 05:27:08.237264,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,41323.47627917323,35420.12252500562,25.2,1.0,1.0,14,2025-09-29T05:27:08.132089,0.0031918844693356787,0.0015058844693356787,0.001686,0.0005019614897785596,0.0004015691918228477,0.0006023537877342715,161.21065960646843,138.12069722473612,1.003922979557119,1.0,14,2025-09-29T05:27:08.173797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14,2025-09-29T05:27:08.225282
8,1,7,2025-09-29 05:27:08.376506,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,47226.83003334083,41323.47627917323,25.2,1.0,1.0,16,2025-09-29T05:27:08.267960,0.003190764646556163,0.0015047646465561628,0.001686,0.000501588215518721,0.0004012705724149768,0.0006019058586224651,184.18607428037268,161.09611189864037,1.003176431037442,1.0,16,2025-09-29T05:27:08.309519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16,2025-09-29T05:27:08.363885
9,1,8,2025-09-29 05:27:08.514737,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,53130.18378750844,47226.83003334083,25.2,1.0,1.0,18,2025-09-29T05:27:08.407001,0.0031898582005700756,0.0015038582005700756,0.001686,0.0005012860668566918,0.00040102885348535346,0.0006015432802280302,207.15459880831722,184.06463642658494,1.0025721337133837,1.0,18,2025-09-29T05:27:08.448838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18,2025-09-29T05:27:08.502663
10,1,9,2025-09-29 05:27:08.654035,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,59033.53754167604,53130.18378750844,25.2,1.0,1.0,20,2025-09-29T05:27:08.544964,0.003189124379602782,0.0015031243796027824,0.001686,0.0005010414598675941,0.00040083316789407534,0.0006012497518411129,230.11754553859157,207.0275831568593,1.0020829197351881,1.0,20,2025-09-29T05:27:08.586794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,2025-09-29T05:27:08.641352
11,1,10,2025-09-29 05:27:08.793970,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,64936.89129584365,59033.53754167604,25.2,1.0,1.0,22,2025-09-29T05:27:08.684719,0.0031885302471138703,0.0015025302471138704,0.001686,0.0005008434157046235,0.0004006747325636988,0.0006010120988455481,253.07597636465005,229.98601398291777,1.0016868314092469,1.0,22,2025-09-29T05:27:08.726766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22,2025-09-29T05:27:08.780922
12,1,11,2025-09-29 05:27:08.933735,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,70840.24505001125,64936.89129584365,25.2,1.0,1.0,24,2025-09-29T05:27:08.824623,0.003188049171951469,0.0015020491719514692,0.001686,0.0005006830573171565,0.0004005464458537252,0.0006008196687805877,276.0307506933193,252.94078831158703,1.001366114634313,1.0,24,2025-09-29T05:27:08.866076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,2025-09-29T05:27:08.919834
13,1,12,2025-09-29 05:27:09.072123,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,76743.59880417884,70840.24505001125,25.2,1.0,1.0,26,2025-09-29T05:27:08.964088,0.0031876596139832126,0.0015016596139832126,0.001686,0.0005005532046610709,0.00040044256372885677,0.000600663845593285,298.9825641675052,275.8926017857729,1.0011064093221418,1.0,26,2025-09-29T05:27:09.005943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26,2025-09-29T05:27:09.058220
14,1,13,2025-09-29 05:27:09.211814,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,82646.95255834643,76743.59880417884,25.2,1.0,1.0,28,2025-09-29T05:27:09.102254,0.003187344146091834,0.0015013441460918337,0.001686,0.0005004480486972779,0.0004003584389578223,0.0006005376584367335,321.9319799453956,298.8420175636633,1.0008960973945555,1.0,28,2025-09-29T05:27:09.143563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28,2025-09-29T05:27:09.197972
15,1,14,2025-09-29 05:27:09.348816,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,88550.30631251402,82646.95255834643,25.2,1.0,1.0,30,2025-09-29T05:27:09.242573,0.003187088665682131,0.0015010886656821312,0.001686,0.0005003628885607104,0.0004002903108485684,0.0006004354662728525,344.87945398012624,321.78949159839397,1.0007257771214209,1.0,30,2025-09-29T05:27:09.284260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30,2025-09-29T05:27:09.336601
16,1,15,2025-09-29 05:27:09.486077,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,94453.66006668161,88550.30631251402,25.2,1.0,1.0,32,2025-09-29T05:27:09.379066,0.0031868817584196243,0.0015008817584196243,0.001686,0.0005002939194732081,0.00040023513557856653,0.0006003527033678497,367.8253554592802,344.73539307754794,1.000587838946416,1.0,32,2025-09-29T05:27:09.420174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32,2025-09-29T05:27:09.472987
17,1,16,2025-09-29 05:27:09.624817,0.8199102436343892,0.9019012679978282,0.08199102436343893,0.0005463555055570366,0.8199102436343892,100357.0138208492,94453.66006668161,25.2,1.0,1.0,34,2025-09-29T05:27:09.516865,0.0031867141844435505,0.0015007141844435505,0.001686,0.0005002380614811835,0.0004001904491849468,0.0006002856737774201,390.76998333660487,367.6800209548726,1.0004761229623667,1.0,34,2025-09-29T05:27:09.559016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34,2025-09-29T05:27:09.610930
