step,day,hour,timestamp,air_temperature,humidity,light_intensity,co2_concentration,wind_speed,photoperiod,vapor_pressure_deficit,control_actions,equipment_status,energy_consumption,control_efficiency,setpoint_deviations,cumulative_energy,daily_energy,step_count,last_update
1,1,0,2025-09-30 20:34:47.208814,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,2,2025-09-30T20:34:47.013319
2,1,1,2025-09-30 20:34:47.426401,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,4,2025-09-30T20:34:47.221969
3,1,2,2025-09-30 20:34:47.640813,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,6,2025-09-30T20:34:47.440836
4,1,3,2025-09-30 20:34:47.861475,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,8,2025-09-30T20:34:47.655184
5,1,4,2025-09-30 20:34:48.077959,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,10,2025-09-30T20:34:47.873777
6,1,5,2025-09-30 20:34:48.295540,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,12,2025-09-30T20:34:48.092236
7,1,6,2025-09-30 20:34:48.514164,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,14,2025-09-30T20:34:48.310050
8,1,7,2025-09-30 20:34:48.731612,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,16,2025-09-30T20:34:48.528180
9,1,8,2025-09-30 20:34:48.950250,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,18,2025-09-30T20:34:48.744797
10,1,9,2025-09-30 20:34:49.166214,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,20,2025-09-30T20:34:48.964615
11,1,10,2025-09-30 20:34:49.382471,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,22,2025-09-30T20:34:49.180683
12,1,11,2025-09-30 20:34:49.598118,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,24,2025-09-30T20:34:49.396521
13,1,12,2025-09-30 20:34:49.811949,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,26,2025-09-30T20:34:49.611014
14,1,13,2025-09-30 20:34:50.030571,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,28,2025-09-30T20:34:49.824688
15,1,14,2025-09-30 20:34:50.244174,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,30,2025-09-30T20:34:50.044740
16,1,15,2025-09-30 20:34:50.457238,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,32,2025-09-30T20:34:50.258353
17,1,16,2025-09-30 20:34:50.678144,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,34,2025-09-30T20:34:50.470899
18,1,17,2025-09-30 20:34:50.900573,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,36,2025-09-30T20:34:50.692582
19,1,18,2025-09-30 20:34:51.114507,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,38,2025-09-30T20:34:50.915014
20,1,19,2025-09-30 20:34:51.333916,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,40,2025-09-30T20:34:51.127894
21,1,20,2025-09-30 20:34:51.552890,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,42,2025-09-30T20:34:51.348345
22,1,21,2025-09-30 20:34:51.770896,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,44,2025-09-30T20:34:51.567013
23,1,22,2025-09-30 20:34:51.990624,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,46,2025-09-30T20:34:51.785185
24,1,23,2025-09-30 20:34:52.214591,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,48,2025-09-30T20:34:52.005055
25,2,0,2025-09-30 20:34:52.433687,25.0,60.0,500.0,400.0,2.0,12.0,1.0,{},{},0.0,1.0,{},0.0,0.0,50,2025-09-30T20:34:52.229015
