day,thermal_time,growth_stage,total_biomass,leaf_biomass,stem_biomass,root_biomass,lai,leaf_area,canopy_height,photosynthesis_rate,respiration_rate,net_assimilation,air_temperature,solution_temperature,humidity,co2_concentration,light_intensity,ph,water_uptake,transpiration,n_content,p_content,k_content,temperature_stress,water_stress,nutrient_stress,light_stress,root_depth
0,17.44,FIRST_LEAF,0.11,0.07,0.01,0.03,0.01,0.0055,0.11,3.8,0.0,3.8,21.94,18.25,66.0,1140.0,1500.69,6.0,0.01,0.0,15.0,2.0,8.0,0.0,0.3,0.0,0.25,1.0
1,19.15,SECOND_LEAF,0.15,0.1,0.02,0.04,0.01,0.0078,0.12,0.35,0.02,0.33,23.65,18.57,71.0,1140.0,1309.03,6.0,0.04,0.0,21.38,2.58,10.04,0.07,0.3,0.0,0.09,1.0
2,17.92,THIRD_LEAF,0.18,0.12,0.02,0.04,0.01,0.0094,0.13,0.25,0.0,0.25,22.42,18.82,58.0,1140.0,1399.31,6.01,0.06,0.0,21.38,2.72,10.53,0.02,0.3,0.0,0.17,1.0
3,17.25,FOURTH_LEAF,0.2,0.13,0.02,0.05,0.0106,0.0106,0.13,0.18,0.0,0.18,21.75,19.02,59.0,1140.0,1275.69,6.01,0.07,0.0,21.38,2.86,11.03,0.0,0.3,0.0,0.06,1.0
4,17.32,FIFTH_LEAF,0.22,0.15,0.02,0.05,0.0116,0.0116,0.14,0.15,0.0,0.15,21.82,19.21,69.0,1140.0,1275.69,6.01,0.08,0.0,21.38,3.0,11.52,0.0,0.3,0.0,0.06,1.0
5,17.26,SIXTH_LEAF,0.24,0.16,0.03,0.05,0.0125,0.0125,0.14,0.13,0.0,0.13,21.76,19.39,58.0,1140.0,1225.14,6.01,0.09,0.0,21.38,3.14,12.01,0.0,0.3,0.0,0.02,1.0
6,18.48,SEVENTH_LEAF,0.25,0.17,0.03,0.06,0.0133,0.0133,0.14,0.12,0.0,0.12,22.98,19.62,60.0,1140.0,1135.42,6.01,0.09,0.0,21.38,3.28,12.49,0.04,0.3,0.0,0.0,1.0
7,17.28,EIGHTH_LEAF,0.26,0.18,0.03,0.06,0.014,0.014,0.15,0.1,0.0,0.1,21.78,19.78,64.0,1140.0,1050.69,6.02,0.1,0.0,21.38,3.42,12.97,0.0,0.3,0.0,0.0,1.0
8,18.58,NINTH_LEAF,0.27,0.18,0.03,0.06,0.0147,0.0147,0.15,0.09,0.0,0.09,23.08,20.0,67.0,1140.0,1230.75,6.02,0.11,0.0,21.38,3.56,13.45,0.05,0.3,0.0,0.03,1.0
9,17.36,TENTH_LEAF,0.28,0.19,0.03,0.06,0.0152,0.0152,0.15,0.08,0.0,0.08,21.86,20.14,66.0,1140.0,1326.39,6.02,0.11,0.0,21.38,3.69,13.92,0.0,0.3,0.0,0.11,1.0
10,17.82,MATURE_VEGETATIVE,0.29,0.2,0.03,0.07,0.0157,0.0157,0.15,0.07,0.0,0.07,22.32,20.31,66.0,1140.0,1158.33,6.02,0.11,0.0,21.38,3.83,14.38,0.01,0.3,0.0,0.0,1.0
11,17.26,MATURE_VEGETATIVE,0.3,0.2,0.03,0.07,0.0161,0.0161,0.15,0.06,0.0,0.06,21.76,20.43,56.0,1140.0,1017.36,6.02,0.12,0.0,21.38,3.96,14.82,0.0,0.3,0.0,0.0,1.0
12,17.92,MATURE_VEGETATIVE,0.3,0.21,0.03,0.07,0.0165,0.0165,0.16,0.06,0.0,0.06,22.42,20.58,64.0,1140.0,1281.25,6.03,0.12,0.0,21.38,4.08,15.25,0.02,0.3,0.0,0.07,1.0
13,17.28,MATURE_VEGETATIVE,0.31,0.21,0.03,0.07,0.0168,0.0168,0.16,0.05,0.0,0.05,21.78,20.7,60.0,1140.0,882.64,6.03,0.12,0.0,21.38,4.2,15.65,0.0,0.3,0.0,0.0,1.0
14,17.82,MATURE_VEGETATIVE,0.32,0.21,0.03,0.07,0.0171,0.0171,0.16,0.05,0.0,0.05,22.32,20.83,69.0,1140.0,1214.58,6.03,0.12,0.0,21.38,4.29,16.02,0.01,0.3,0.0,0.01,1.0
15,17.34,MATURE_VEGETATIVE,0.32,0.22,0.03,0.07,0.0175,0.0175,0.16,0.05,0.0,0.05,21.84,20.93,62.0,1140.0,1253.47,6.03,0.13,0.0,21.38,4.33,16.37,0.0,0.28,0.0,0.04,1.0
16,17.27,MATURE_VEGETATIVE,0.34,0.23,0.03,0.07,0.0184,0.0184,0.16,0.12,0.0,0.12,21.77,21.03,60.0,1140.0,1186.11,6.04,0.13,0.0,21.38,4.33,16.75,0.0,0.02,0.0,0.0,1.0
17,17.44,MATURE_VEGETATIVE,0.35,0.24,0.03,0.08,0.0193,0.0193,0.16,0.13,0.0,0.13,21.94,21.12,60.0,1140.0,1202.78,6.04,0.13,0.0,21.38,4.33,16.94,0.0,0.0,0.0,0.0,1.0
18,17.3,HEAD_INITIATION,0.37,0.25,0.04,0.08,0.0203,0.0203,0.17,0.13,0.0,0.13,21.8,21.21,68.0,1140.0,1230.75,6.04,0.14,0.0,21.38,4.33,16.94,0.0,0.0,0.0,0.03,1.0
19,17.3,HEAD_INITIATION,0.38,0.27,0.04,0.08,0.0212,0.0212,0.17,0.13,0.0,0.13,21.8,21.29,65.0,1140.0,1174.65,6.04,0.15,0.0,21.38,4.33,16.94,0.0,0.0,0.0,0.0,1.0
20,17.34,HEAD_INITIATION,0.4,0.28,0.04,0.08,0.0222,0.0222,0.17,0.13,0.0,0.13,21.84,21.37,66.0,1140.0,1180.56,6.04,0.15,0.0,21.38,4.33,16.94,0.0,0.0,0.0,0.0,1.0
21,17.26,HEAD_INITIATION,0.41,0.29,0.04,0.08,0.0231,0.0231,0.17,0.12,0.0,0.12,21.76,21.44,60.0,1140.0,1017.36,6.05,0.16,0.0,21.38,4.33,16.94,0.0,0.0,0.0,0.0,1.0
22,17.32,HEAD_DEVELOPMENT,0.43,0.3,0.04,0.09,0.0241,0.0241,0.17,0.13,0.0,0.13,21.82,21.52,60.0,1140.0,1145.83,6.05,0.17,0.0,21.38,4.33,16.94,0.0,0.0,0.0,0.0,1.0
23,17.32,HEAD_DEVELOPMENT,0.44,0.31,0.04,0.09,0.025,0.025,0.18,0.13,0.0,0.13,21.82,21.58,66.0,1140.0,1125.0,6.05,0.17,0.0,21.38,4.33,16.94,0.0,0.0,0.0,0.0,1.0
24,17.29,HEAD_DEVELOPMENT,0.46,0.32,0.04,0.09,0.0259,0.0259,0.18,0.12,0.0,0.12,21.79,21.65,54.0,1140.0,1119.44,6.05,0.18,0.0,21.38,4.33,16.94,0.0,0.0,0.0,0.0,1.0
25,17.42,HEAD_DEVELOPMENT,0.47,0.34,0.04,0.09,0.0268,0.0268,0.18,0.12,0.0,0.12,21.92,21.71,54.0,1140.0,1028.47,6.05,0.18,0.0,21.38,4.33,16.94,0.0,0.01,0.0,0.0,1.0
26,17.26,HARVEST_MATURITY,0.49,0.35,0.04,0.1,0.0277,0.0277,0.18,0.12,0.0,0.12,21.76,21.77,66.0,1140.0,1011.81,6.06,0.19,0.0,21.38,4.33,16.94,0.0,0.0,0.0,0.0,1.0
27,17.27,HARVEST_MATURITY,0.5,0.36,0.05,0.1,0.0285,0.0285,0.19,0.11,0.0,0.11,21.78,21.82,61.0,1140.0,1023.61,6.06,0.19,0.0,21.38,4.33,16.94,0.0,0.0,0.0,0.0,1.0
28,17.28,BOLTING_INITIATION,0.51,0.37,0.05,0.1,0.0294,0.0294,0.19,0.11,0.0,0.11,21.78,21.87,66.0,1140.0,1067.36,6.06,0.2,0.0,21.38,4.33,16.94,0.0,0.0,0.0,0.0,1.0
29,17.38,FLOWERING,0.53,0.38,0.05,0.1,0.0302,0.0302,0.19,0.11,0.0,0.11,21.88,21.92,66.0,1140.0,1034.03,6.06,0.21,0.0,21.38,4.33,16.94,0.0,0.0,0.0,0.0,1.0
30,17.32,ANTHESIS,0.54,0.39,0.05,0.1,0.0309,0.0309,0.19,0.1,0.0,0.1,21.82,21.97,68.0,1140.0,1129.86,6.06,0.21,0.0,21.38,4.33,16.94,0.0,0.0,0.0,0.0,1.0
31,17.3,SEED_DEVELOPMENT,0.55,0.4,0.05,0.11,0.0317,0.0317,0.19,0.1,0.0,0.1,21.8,22.01,66.0,1140.0,1107.64,6.07,0.22,0.0,21.38,4.33,16.94,0.0,0.0,0.0,0.0,1.0
32,17.36,SEED_DEVELOPMENT,0.56,0.4,0.05,0.11,0.0324,0.0324,0.19,0.09,0.0,0.09,21.86,22.06,56.0,1140.0,1039.58,6.07,0.22,0.0,21.38,4.33,16.94,0.0,0.0,0.0,0.0,1.0
33,17.32,PHYSIOLOGICAL_MATURITY,0.57,0.41,0.05,0.11,0.033,0.033,0.19,0.08,0.0,0.08,21.82,22.1,59.0,1140.0,938.19,6.07,0.22,0.0,21.38,4.33,16.94,0.0,0.0,0.0,0.0,1.0
34,17.32,PHYSIOLOGICAL_MATURITY,0.58,0.42,0.05,0.11,0.0336,0.0336,0.2,0.08,0.0,0.08,21.82,22.14,59.0,1140.0,1078.47,6.07,0.23,0.0,21.38,4.33,16.94,0.0,0.0,0.0,0.0,1.0
