step,day,hour,total_leaves,leaf_appearance_rate,leaf_expansion_rate,leaf_senescence_rate,total_leaf_area,total_leaf_weight,leaf_weight_ratio,leaf_nitrogen_content,leaf_nitrogen_ratio,leaf_age_distribution,leaf_size_distribution,leaf_nitrogen_distribution,cumulative_thermal_time,phyllochron_adjusted,leaf_growth_stress,leaf_senescence_stress
24,1,23,2,2.0000,0.0682,0.0000,0.0682,0.0003,1.0000,0.2228,15.1800,{},{},{},30.8675,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
48,2,23,2,2.0000,0.0817,0.0000,0.0817,0.0004,1.0000,0.4604,31.0200,{},{},{},63.0597,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
72,3,23,2,0.0000,0.0872,0.0000,0.0872,0.0004,1.0000,0.6980,46.8600,{},{},{},96.9416,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
96,4,23,3,0.0000,0.0873,0.0000,0.0873,0.0004,1.0000,0.9356,62.7000,{},{},{},127.6695,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
120,5,23,3,0.0000,0.0873,0.0000,0.0873,0.0004,1.0000,1.1732,78.5400,{},{},{},159.1777,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
144,6,23,3,1.0000,0.0925,0.0000,0.0925,0.0005,1.0000,1.4108,94.3800,{},{},{},192.8656,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
168,7,23,3,1.0000,0.0973,0.0000,0.0973,0.0005,1.0000,1.6484,110.2200,{},{},{},223.9120,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
192,8,23,4,1.0000,0.1024,0.0000,0.1024,0.0005,1.0000,1.8860,12.7930,{},{},{},256.9083,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
216,9,23,4,0.0000,0.1046,0.0000,0.1046,0.0005,1.0000,2.1236,6.7559,{},{},{},287.4966,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
240,10,23,4,1.0000,0.1096,0.0000,0.1096,0.0005,1.0000,2.3612,4.4300,{},{},{},319.4536,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
264,11,23,4,1.0000,0.1166,0.0000,0.1166,0.0006,1.0000,2.5988,1.5743,{},{},{},351.0915,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
288,12,23,4,1.0000,0.1226,0.0000,0.1226,0.0006,1.0000,2.8364,1.0503,{},{},{},383.2837,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
312,13,23,5,0.0000,0.1269,0.0000,0.1269,0.0006,1.0000,3.0740,0.8085,{},{},{},417.1657,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
336,14,23,5,1.0000,0.1307,0.0000,0.1307,0.0007,1.0000,3.3116,0.6940,{},{},{},447.8935,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
360,15,23,5,1.0000,0.1393,0.0000,0.1393,0.0007,1.0000,3.5492,0.6111,{},{},{},479.4018,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
384,16,23,6,1.0000,0.1477,0.0000,0.1477,0.0007,1.0000,3.7868,0.5590,{},{},{},513.0897,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
408,17,23,6,0.0000,0.1532,0.0000,0.1532,0.0008,1.0000,4.0244,0.5365,{},{},{},544.1360,"PhyllochronParameters(base_phyllochron=80, min_temp=4.5, opt_temp_min=18, opt_temp_max=24, max_temp=35, late_leaf_phyllochron_factor=1.5, very_late_leaf_phyllochron_factor=2)",1.0000,1.0000
