step,day,hour,total_nitrogen_uptake,leaf_nitrogen_allocation,root_nitrogen_allocation,nitrogen_use_efficiency,nitrogen_stress_index,cumulative_nitrogen_uptake
13,1,12,0.0079,0.0002,0.0004,7.2370,0.1000,0.0079
24,1,23,0.0331,0.0002,0.0004,2.4402,0.1000,0.0331
37,2,12,0.0630,0.0002,0.0004,1.5724,0.1000,0.0630
48,2,23,0.1109,0.0002,0.0004,1.0568,0.1000,0.1109
61,3,12,0.1561,0.0002,0.0004,0.8674,0.1000,0.1561
72,3,23,0.2203,0.0002,0.0004,0.7111,0.1000,0.2203
85,4,12,0.2811,0.0002,0.0004,0.6189,0.1000,0.2811
96,4,23,0.3754,0.0002,0.0004,0.5200,0.1000,0.3754
109,5,12,0.4438,0.0006,0.0006,0.8916,0.1000,0.4438
120,5,23,0.5500,0.0011,0.0009,1.2278,0.1000,0.5500
133,6,12,0.6430,0.0020,0.0013,1.6799,0.1000,0.6430
144,6,23,0.7642,0.0020,0.0013,1.5953,0.1000,0.7642
157,7,12,0.8873,0.0021,0.0013,1.5064,0.1000,0.8873
168,7,23,1.0373,0.0021,0.0013,1.3783,0.1000,1.0373
181,8,12,1.1425,0.0021,0.0014,1.3394,0.1000,1.1425
192,8,23,1.2879,0.0021,0.0014,1.2761,0.1000,1.2879
205,9,12,1.4312,0.0021,0.0014,1.2214,0.1000,1.4312
216,9,23,1.6207,0.0021,0.0014,1.1422,0.1000,1.6207
229,10,12,1.7354,0.0021,0.0014,1.1255,0.1000,1.7354
240,10,23,1.9031,0.0021,0.0014,1.0832,0.1000,1.9031
253,11,12,2.0458,0.0098,0.0037,2.5619,0.1000,2.0458
264,11,23,2.2505,0.0101,0.0045,2.5755,0.1000,2.2505
277,12,12,2.4296,0.0172,0.0066,3.7911,0.1000,2.4296
288,12,23,2.6520,0.0174,0.0081,3.7769,0.1000,2.6520
301,13,12,2.8340,0.0249,0.0054,4.8601,0.1000,2.8340
312,13,23,3.0499,0.0251,0.0104,4.8657,0.1000,3.0499
325,14,12,3.2341,0.0321,0.0061,5.7209,0.1000,3.2341
336,14,23,3.4910,0.0323,0.0111,5.6887,0.1000,3.4910
349,15,12,3.6658,0.0393,0.0049,6.4870,0.1000,3.6658
360,15,23,3.9145,0.0343,0.0111,6.5033,0.1000,3.9145
373,16,12,4.1201,0.0423,0.0059,7.1452,0.1000,4.1201
384,16,23,4.3700,0.0378,0.0122,7.1676,0.1000,4.3700
397,17,12,4.6140,0.0481,0.0117,7.6306,0.1000,4.6140
408,17,23,4.8990,0.0420,0.0140,7.5949,0.1000,4.8990
421,18,12,5.0931,0.0482,0.0051,8.0877,0.1000,5.0931
432,18,23,5.3486,0.0385,0.0127,8.1515,0.1000,5.3486
445,19,12,5.5926,0.0501,0.0108,8.6120,0.1000,5.5926
456,19,23,5.9047,0.0442,0.0147,8.5882,0.1000,5.9047
469,20,12,6.0906,0.0521,0.0050,9.1668,0.1000,6.0906
480,20,23,6.3523,0.0449,0.0150,9.2403,0.1000,6.3523
493,21,12,6.6068,0.0507,0.0092,9.5934,0.1000,6.6068
504,21,23,6.8940,0.0463,0.0157,9.6342,0.1000,6.8940
517,22,12,7.1233,0.0498,0.0066,9.9536,0.1000,7.1233
528,22,23,7.4255,0.0456,0.0154,9.9928,0.1000,7.4255
541,23,12,7.6674,0.0509,0.0083,10.3885,0.1000,7.6674
552,23,23,7.9998,0.0471,0.0159,10.4151,0.1000,7.9998
565,24,12,8.2414,0.0499,0.0080,10.7780,0.1000,8.2414
576,24,23,8.5796,0.0477,0.0162,10.8223,0.1000,8.5796
589,25,12,8.8511,0.0531,0.0115,11.1428,0.1000,8.8511
600,25,23,9.2052,0.0504,0.0172,11.1672,0.1000,9.2052
613,26,12,9.4161,0.0541,0.0056,11.4980,0.1000,9.4161
624,26,23,9.6865,0.0503,0.0172,11.6202,0.1000,9.6865
637,27,12,9.9374,0.0521,0.0081,11.8805,0.1000,9.9374
648,27,23,10.2657,0.0622,0.0071,11.9550,0.1000,10.2657
661,28,12,10.5496,0.0548,0.0119,12.2064,0.1000,10.5496
672,28,23,10.8897,0.0531,0.0185,12.2663,0.1000,10.8897
685,29,12,11.1292,0.0548,0.0066,12.4990,0.1000,11.1292
696,29,23,11.4089,0.0531,0.0183,12.6215,0.1000,11.4089
709,30,12,11.6381,0.0576,0.0068,12.8300,0.1000,11.6381
720,30,23,11.9297,0.0548,0.0188,12.9383,0.1000,11.9297
733,31,12,12.1714,0.0611,0.0082,13.1334,0.1000,12.1714
744,31,23,12.5052,0.0642,0.0074,13.2277,0.1000,12.5052
757,32,12,12.7872,0.0543,0.0123,13.4387,0.1000,12.7872
768,32,23,13.1464,0.0677,0.0079,13.5231,0.1000,13.1464
781,33,12,13.3769,0.0578,0.0074,13.7025,0.1000,13.3769
792,33,23,13.6791,0.0611,0.0072,13.7948,0.1000,13.6791
793,34,0,13.7012,0.0520,0.0181,13.7951,0.1000,13.7012
