step,day,hour,solution_ec,solution_ph,nutrient_concentrations_N_NO3,nutrient_concentrations_P_PO4,nutrient_concentrations_K,nutrient_uptake_rates_N_NO3,nutrient_uptake_rates_P_PO4,nutrient_uptake_rates_K,nutrient_availability_N_NO3,nutrient_availability_P_PO4,nutrient_availability_K
13,1,12,1.2036,6.0000,41.8437,19.9315,132.8763,1.8080,0.0335,0.2432,0.4184,0.1993,1.0000
24,1,23,1.2343,6.0000,41.8200,19.9386,132.9234,2.4923,0.0462,0.3353,0.4182,0.1994,1.0000
37,2,12,1.2372,6.0000,41.7919,19.9471,132.9795,4.0827,0.0756,0.5494,0.4179,0.1995,1.0000
48,2,23,1.2593,6.0000,41.7469,19.9607,133.0693,4.7802,0.0886,0.6435,0.4175,0.1996,1.0000
61,3,12,1.2192,6.0000,41.7045,19.9735,133.1538,5.5949,0.1037,0.7535,0.4170,0.1997,1.0000
72,3,23,1.2385,6.0000,41.6441,19.9917,133.2743,6.5434,0.1214,0.8817,0.4164,0.1999,1.0000
85,4,12,1.2276,6.0000,41.5868,20.0090,133.3886,7.7555,0.1439,1.0455,0.4159,0.2001,1.0000
96,4,23,1.2577,6.0000,41.4977,20.0360,133.5665,8.8782,0.1649,1.1978,0.4150,0.2004,1.0000
109,5,12,1.1964,6.0000,41.4336,20.0553,133.6943,8.5554,0.1590,1.1549,0.4143,0.2006,1.0000
120,5,23,1.2284,6.0000,41.3329,20.0858,133.8956,9.9552,0.1852,1.3450,0.4133,0.2009,1.0000
133,6,12,1.2144,6.0000,41.2447,20.1124,134.0716,10.7639,0.2004,1.4554,0.4124,0.2011,1.0000
144,6,23,1.2355,6.0000,41.1293,20.1474,134.3022,12.0741,0.2250,1.6342,0.4113,0.2015,1.0000
157,7,12,1.2552,6.0000,41.0117,20.1829,134.5371,13.7797,0.2570,1.8670,0.4101,0.2018,1.0000
168,7,23,1.2745,6.0000,40.8682,20.2264,134.8242,14.9385,0.2789,2.0266,0.4087,0.2023,1.0000
181,8,12,1.1856,6.0000,40.7687,20.2565,135.0231,12.3082,0.2300,1.6713,0.4077,0.2026,1.0000
192,8,23,1.2129,6.0000,40.6286,20.2990,135.3033,14.0766,0.2634,1.9138,0.4063,0.2030,1.0000
205,9,12,1.2492,6.0000,40.4899,20.3410,135.5811,16.6825,0.3125,2.2708,0.4049,0.2034,1.0000
216,9,23,1.2744,6.0000,40.3061,20.3967,135.9490,18.3242,0.3438,2.4984,0.4031,0.2040,1.0000
229,10,12,1.1628,6.0000,40.1968,20.4299,136.1679,13.6441,0.2562,1.8622,0.4020,0.2043,1.0000
240,10,23,1.1954,6.0000,40.0332,20.4796,136.4958,15.8223,0.2976,2.1627,0.4003,0.2048,1.0000
253,11,12,1.2036,6.0000,39.8936,20.5220,136.7758,17.1911,0.3237,2.3527,0.3989,0.2052,1.0000
264,11,23,1.2343,6.0000,39.6923,20.5831,137.1796,19.3622,0.3652,2.6547,0.3969,0.2058,1.0000
277,12,12,1.2372,6.0000,39.5158,20.6367,137.5337,20.2605,0.3828,2.7824,0.3952,0.2064,1.0000
288,12,23,1.2593,6.0000,39.2954,20.7038,137.9764,22.0509,0.4174,3.0344,0.3930,0.2070,1.0000
301,13,12,1.2192,6.0000,39.1156,20.7585,138.3377,20.1231,0.3815,2.7738,0.3912,0.2076,1.0000
312,13,23,1.2385,6.0000,38.8998,20.8242,138.7718,21.8758,0.4156,3.0214,0.3890,0.2082,1.0000
325,14,12,1.2276,6.0000,38.7154,20.8804,139.1428,22.0256,0.4191,3.0474,0.3872,0.2088,1.0000
336,14,23,1.2577,6.0000,38.4559,20.9596,139.6653,24.5094,0.4675,3.3993,0.3846,0.2096,1.0000
349,15,12,1.1964,6.0000,38.2806,21.0131,140.0185,20.9831,0.4009,2.9151,0.3828,0.2101,1.0000
360,15,23,1.2284,6.0000,38.0269,21.0906,140.5303,23.6435,0.4527,3.2927,0.3803,0.2109,1.0000
373,16,12,1.2144,6.0000,37.8171,21.1547,140.9537,23.2141,0.4454,3.2394,0.3782,0.2115,1.0000
384,16,23,1.2355,6.0000,37.5596,21.2335,141.4736,25.3093,0.4867,3.5406,0.3756,0.2123,1.0000
397,17,12,1.2552,6.0000,37.3067,21.3110,141.9850,27.1960,0.5243,3.8139,0.3731,0.2131,1.0000
408,17,23,1.2745,6.0000,37.0096,21.4020,142.5861,29.1151,0.5628,4.0950,0.3701,0.2140,1.0000
421,18,12,1.1856,6.0000,36.8094,21.4635,142.9916,22.6767,0.4392,3.1959,0.3681,0.2146,1.0000
432,18,23,1.2129,6.0000,36.5400,21.5462,143.5377,25.2766,0.4909,3.5719,0.3654,0.2155,1.0000
445,19,12,1.2492,6.0000,36.2805,21.6260,144.0643,28.6365,0.5575,4.0572,0.3628,0.2163,1.0000
456,19,23,1.2744,6.0000,35.9472,21.7286,144.7414,31.1561,0.6085,4.4292,0.3595,0.2173,1.0000
469,20,12,1.1628,6.0000,35.7518,21.7888,145.1388,22.4113,0.4386,3.1926,0.3575,0.2179,1.0000
480,20,23,1.1954,6.0000,35.4690,21.8760,145.7145,25.4191,0.4989,3.6316,0.3547,0.2188,1.0000
493,21,12,1.2288,6.0000,35.1918,21.9616,146.2794,28.4259,0.5595,4.0729,0.3519,0.2196,1.0000
504,21,23,1.2456,6.0000,34.8778,22.0587,146.9202,30.3888,0.6000,4.3686,0.3488,0.2206,1.0000
517,22,12,1.2084,6.0000,34.6272,22.1362,147.4321,27.4670,0.5437,3.9593,0.3463,0.2214,1.0000
528,22,23,1.2360,6.0000,34.2920,22.2402,148.1179,30.2963,0.6018,4.3829,0.3429,0.2224,1.0000
541,23,12,1.2264,6.0000,34.0230,22.3237,148.6691,29.7430,0.5925,4.3155,0.3402,0.2232,1.0000
552,23,23,1.2568,6.0000,33.6491,22.4400,149.4364,32.9330,0.6587,4.7980,0.3365,0.2244,1.0000
565,24,12,1.2228,6.0000,33.3774,22.5246,149.9947,30.0556,0.6029,4.3922,0.3338,0.2252,1.0000
576,24,23,1.2548,6.0000,32.9913,22.6451,150.7896,33.4238,0.6733,4.9057,0.3299,0.2265,1.0000
589,25,12,1.2480,6.0000,32.6801,22.7423,151.4315,33.0388,0.6679,4.8666,0.3268,0.2274,1.0000
600,25,23,1.2753,6.0000,32.2695,22.8710,152.2803,36.0858,0.7329,5.3408,0.3227,0.2287,1.0000
613,26,12,1.1592,6.0000,32.0287,22.9466,152.7789,25.2250,0.5138,3.7442,0.3203,0.2295,1.0000
624,26,23,1.1859,6.0000,31.7109,23.0465,153.4380,28.0819,0.5740,4.1840,0.3171,0.2305,1.0000
637,27,12,1.2156,6.0000,31.4136,23.1401,154.0559,30.9985,0.6359,4.6352,0.3141,0.2314,1.0000
648,27,23,1.2426,6.0000,31.0221,23.2637,154.8714,33.9670,0.7000,5.1034,0.3102,0.2326,1.0000
661,28,12,1.2408,6.0000,30.6819,23.3714,155.5816,33.8661,0.7008,5.1098,0.3068,0.2337,1.0000
672,28,23,1.2625,6.0000,30.2700,23.5021,156.4440,36.4002,0.7571,5.5208,0.3027,0.2350,1.0000
685,29,12,1.1772,6.0000,29.9822,23.5937,157.0480,28.1694,0.5881,4.2885,0.2998,0.2359,1.0000
696,29,23,1.1974,6.0000,29.6385,23.7033,157.7711,30.6164,0.6419,4.6820,0.2964,0.2370,1.0000
709,30,12,1.1712,6.0000,29.3567,23.7934,158.3654,28.3006,0.5956,4.3440,0.2936,0.2379,1.0000
720,30,23,1.1967,6.0000,28.9934,23.9099,159.1336,31.1697,0.6591,4.8078,0.2899,0.2391,1.0000
733,31,12,1.1952,6.0000,28.6910,24.0071,159.7749,31.2286,0.6630,4.8368,0.2869,0.2401,1.0000
744,31,23,1.2263,6.0000,28.2687,24.1433,160.6731,34.6678,0.7402,5.4009,0.2827,0.2414,1.0000
757,32,12,1.2360,6.0000,27.9097,24.2595,161.4395,35.4477,0.7606,5.5506,0.2791,0.2426,1.0000
768,32,23,1.2621,6.0000,27.4478,24.4096,162.4293,38.4880,0.8313,6.0669,0.2745,0.2441,1.0000
781,33,12,1.1736,6.0000,27.1545,24.5053,163.0602,29.2051,0.6335,4.6238,0.2715,0.2451,1.0000
792,33,23,1.2022,6.0000,26.7602,24.6344,163.9116,32.3443,0.7056,5.1511,0.2676,0.2463,1.0000
793,34,0,1.1628,6.0000,26.7331,24.6433,163.9701,27.6800,0.6041,4.4102,0.2673,0.2464,1.0000
