step,day,hour,current_growth_stage,development_index,thermal_time,days_in_current_stage,total_days_from_planting
13,1,12,GERMINATION,0.0370,36.9823,2,2
24,1,23,GERMINATION,0.0370,36.9823,2,2
37,2,12,GERMINATION,0.0709,70.8591,4,4
48,2,23,GERMINATION,0.0709,70.8591,4,4
61,3,12,LettuceGrowthStage.EMERGENCE,0.1065,106.4882,6,6
72,3,23,LettuceGrowthStage.EMERGENCE,0.1065,106.4882,6,6
85,4,12,LettuceGrowthStage.EMERGENCE,0.1413,141.3250,8,8
96,4,23,LettuceGrowthStage.EMERGENCE,0.1413,141.3250,8,8
109,5,12,LettuceGrowthStage.EMERGENCE,0.1789,178.8800,10,10
120,5,23,LettuceGrowthStage.EMERGENCE,0.1789,178.8800,10,10
133,6,12,LettuceGrowthStage.FIRST_LEAF,0.2149,214.9418,12,12
144,6,23,LettuceGrowthStage.FIRST_LEAF,0.2149,214.9418,12,12
157,7,12,LettuceGrowthStage.FIRST_LEAF,0.2469,246.8618,14,14
168,7,23,LettuceGrowthStage.FIRST_LEAF,0.2469,246.8618,14,14
181,8,12,LettuceGrowthStage.SECOND_LEAF,0.2852,285.2145,16,16
192,8,23,LettuceGrowthStage.SECOND_LEAF,0.2852,285.2145,16,16
205,9,12,LettuceGrowthStage.SECOND_LEAF,0.3178,317.8095,18,18
216,9,23,LettuceGrowthStage.SECOND_LEAF,0.3178,317.8095,18,18
229,10,12,LettuceGrowthStage.THIRD_LEAF,0.3557,355.7095,20,20
240,10,23,LettuceGrowthStage.THIRD_LEAF,0.3557,355.7095,20,20
253,11,12,LettuceGrowthStage.THIRD_LEAF,0.3927,392.6918,22,22
264,11,23,LettuceGrowthStage.THIRD_LEAF,0.3927,392.6918,22,22
277,12,12,LettuceGrowthStage.FOURTH_LEAF,0.4266,426.5686,24,24
288,12,23,LettuceGrowthStage.FOURTH_LEAF,0.4266,426.5686,24,24
301,13,12,LettuceGrowthStage.FOURTH_LEAF,0.4622,462.1977,26,26
312,13,23,LettuceGrowthStage.FOURTH_LEAF,0.4622,462.1977,26,26
325,14,12,LettuceGrowthStage.FIFTH_LEAF,0.4970,497.0345,28,28
