step,day,hour,net_assimilation_rate,gross_photosynthesis_rate,respiration_rate,cumulative_carbon_gained,stomatal_conductance
13,1,12,0.0000,0.0210,0.0210,0.0000,0.0608
24,1,23,0.0000,0.0241,0.0241,0.0000,0.0000
37,2,12,0.0000,0.0281,0.0281,0.0000,0.0638
48,2,23,0.0000,0.0308,0.0308,0.0000,0.0000
61,3,12,0.0018,0.0315,0.0297,0.0035,0.0189
72,3,23,0.0000,0.0312,0.0312,0.0035,0.0000
85,4,12,0.0038,0.0341,0.0303,0.0135,0.0191
96,4,23,0.0000,0.0328,0.0328,0.0135,0.0000
109,5,12,0.0218,0.0498,0.0280,0.0471,0.1407
120,5,23,0.0000,0.0304,0.0304,0.0940,0.0000
133,6,12,0.0219,0.0523,0.0304,0.2092,0.0393
144,6,23,0.0000,0.0328,0.0328,0.2563,0.0000
157,7,12,0.0107,0.0467,0.0360,0.3105,0.0142
168,7,23,0.0000,0.0381,0.0381,0.3180,0.0000
181,8,12,0.0134,0.0448,0.0314,0.3814,0.0752
192,8,23,0.0000,0.0343,0.0343,0.3944,0.0000
205,9,12,0.0102,0.0487,0.0384,0.4296,0.0512
216,9,23,0.0000,0.0410,0.0410,0.4343,0.0000
229,10,12,0.0098,0.0411,0.0313,0.4815,0.0809
240,10,23,0.0000,0.0351,0.0351,0.4869,0.0000
253,11,12,0.0715,0.1090,0.0375,1.1298,0.3388
264,11,23,0.0000,0.0412,0.0412,1.6368,0.0000
277,12,12,0.0777,0.1210,0.0432,2.3274,0.3575
288,12,23,0.0000,0.0462,0.0462,2.8949,0.0000
301,13,12,0.0774,0.1205,0.0431,3.6431,0.1053
312,13,23,0.0000,0.0454,0.0454,4.1851,0.0000
325,14,12,0.0773,0.1221,0.0448,4.8863,0.1062
336,14,23,0.0000,0.0491,0.0491,5.4077,0.0000
349,15,12,0.0775,0.1214,0.0439,6.1118,0.4187
360,15,23,0.0000,0.0485,0.0485,6.6512,0.0000
373,16,12,0.0822,0.1310,0.0488,7.3922,0.1156
384,16,23,0.0000,0.0524,0.0524,7.9287,0.0000
397,17,12,0.0881,0.1450,0.0570,8.6754,0.0586
408,17,23,0.0000,0.0600,0.0600,9.1945,0.0000
421,18,12,0.0810,0.1299,0.0489,9.8881,0.3275
432,18,23,0.0000,0.0539,0.0539,10.3954,0.0000
445,19,12,0.0972,0.1592,0.0620,11.2364,0.2224
456,19,23,0.0000,0.0667,0.0667,11.8314,0.0000
469,20,12,0.0916,0.1433,0.0517,12.6544,0.4231
480,20,23,0.0000,0.0574,0.0574,13.3088,0.0000
493,21,12,0.1004,0.1652,0.0648,14.1689,0.2472
504,21,23,0.0000,0.0676,0.0676,14.7792,0.0000
517,22,12,0.0941,0.1560,0.0619,15.5630,0.0841
528,22,23,0.0000,0.0676,0.0676,16.1174,0.0000
541,23,12,0.1089,0.1778,0.0689,17.0626,0.2082
552,23,23,0.0000,0.0752,0.0752,17.7546,0.0000
565,24,12,0.1004,0.1718,0.0714,18.5614,0.1186
576,24,23,0.0000,0.0782,0.0782,19.1049,0.0000
589,25,12,0.1174,0.1967,0.0793,20.1061,0.2588
600,25,23,0.0000,0.0854,0.0854,20.8075,0.0000
613,26,12,0.1070,0.1702,0.0633,21.7589,0.3317
624,26,23,0.0000,0.0690,0.0690,22.4867,0.0000
637,27,12,0.1179,0.1955,0.0776,23.4944,0.1451
648,27,23,0.0000,0.0841,0.0841,24.2167,0.0000
661,28,12,0.1255,0.2120,0.0865,25.2849,0.0852
672,28,23,0.0000,0.0922,0.0922,26.0327,0.0000
685,29,12,0.1219,0.1979,0.0760,27.0961,0.4043
696,29,23,0.0000,0.0811,0.0811,27.9008,0.0000
709,30,12,0.1204,0.1962,0.0758,28.9496,0.3507
720,30,23,0.0000,0.0828,0.0828,29.7278,0.0000
733,31,12,0.1298,0.2151,0.0853,30.8369,0.3106
744,31,23,0.0000,0.0935,0.0935,31.6433,0.0000
757,32,12,0.1325,0.2311,0.0986,32.7308,0.0892
768,32,23,0.0000,0.1060,0.1060,33.4793,0.0000
781,33,12,0.1323,0.2185,0.0862,34.6149,0.2359
792,33,23,0.0000,0.0936,0.0936,35.4464,0.0000
793,34,0,0.0000,0.0845,0.0845,35.4464,0.0000
