step,day,hour,total_respiration_rate,maintenance_respiration,growth_respiration,leaf_respiration,stem_respiration,root_respiration,cumulative_respiration,daily_respiration,temperature_factor,biomass_factor
24,1,23,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0051,0.0050,1.1043,1.5400
48,2,23,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0108,0.0055,1.1866,1.5400
72,3,23,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0162,0.0052,1.1175,1.5400
96,4,23,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0219,0.0054,1.1814,1.5400
120,5,23,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0270,0.0049,1.0854,1.5400
144,6,23,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0323,0.0051,1.1080,1.5400
168,7,23,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0383,0.0057,1.2399,1.5400
192,8,23,0.0006,0.0006,0.0000,0.0003,0.0000,0.0003,0.1177,0.0791,1.0381,8.8048
216,9,23,0.0016,0.0016,0.0000,0.0008,0.0001,0.0008,0.2647,0.1457,1.2396,19.7309
240,10,23,0.0020,0.0020,0.0000,0.0011,0.0001,0.0008,0.4158,0.1487,0.9868,30.7946
264,11,23,0.0068,0.0068,0.0000,0.0038,0.0003,0.0028,1.4066,0.9866,1.1043,93.2511
288,12,23,0.0124,0.0124,0.0000,0.0067,0.0005,0.0053,2.4706,1.0502,1.1866,157.3673
312,13,23,0.0164,0.0164,0.0000,0.0089,0.0006,0.0069,3.6244,1.1317,1.1175,220.7259
336,14,23,0.0220,0.0220,0.0000,0.0118,0.0008,0.0094,4.8444,1.1882,1.1814,279.0861
360,15,23,0.0243,0.0243,0.0000,0.0132,0.0009,0.0103,6.1275,1.2463,1.0854,336.7571
384,16,23,0.0291,0.0291,0.0000,0.0157,0.0011,0.0123,7.5365,1.3623,1.1080,394.1450
408,17,23,0.0371,0.0371,0.0000,0.0194,0.0014,0.0163,9.1797,1.5817,1.2399,448.5841
432,18,23,0.0346,0.0346,0.0000,0.0182,0.0013,0.0150,10.7074,1.4702,1.0381,499.0422
456,19,23,0.0459,0.0459,0.0000,0.0237,0.0017,0.0205,12.7059,1.9218,1.2396,554.5951
480,20,23,0.0405,0.0405,0.0000,0.0212,0.0015,0.0178,14.5103,1.7378,0.9868,615.0116
504,21,23,0.0507,0.0507,0.0000,0.0262,0.0019,0.0225,16.7560,2.1565,1.1407,664.6094
528,22,23,0.0523,0.0523,0.0000,0.0271,0.0020,0.0232,19.0649,2.2179,1.1097,705.5616
552,23,23,0.0597,0.0597,0.0000,0.0308,0.0022,0.0267,21.6785,2.5118,1.1784,757.9856
576,24,23,0.0619,0.0619,0.0000,0.0319,0.0023,0.0277,24.4222,2.6355,1.1714,790.1432
600,25,23,0.0697,0.0697,0.0000,0.0355,0.0026,0.0315,27.4989,2.9553,1.2430,837.4185
624,26,23,0.0573,0.0573,0.0000,0.0295,0.0021,0.0257,30.0249,2.4264,0.9601,891.7628
648,27,23,0.0710,0.0710,0.0000,0.0364,0.0027,0.0319,33.1721,3.0225,1.1310,938.3358
672,28,23,0.0787,0.0787,0.0000,0.0401,0.0029,0.0357,36.6930,3.3796,1.1980,981.6503
696,29,23,0.0688,0.0688,0.0000,0.0352,0.0026,0.0310,39.7648,2.9487,0.9925,1035.9727
720,30,23,0.0719,0.0719,0.0000,0.0370,0.0027,0.0322,42.9650,3.0727,0.9904,1085.4822
744,31,23,0.0817,0.0817,0.0000,0.0420,0.0031,0.0366,46.5896,3.4814,1.0788,1133.0138
768,32,23,0.0932,0.0932,0.0000,0.0477,0.0035,0.0420,50.7716,4.0139,1.1964,1164.3633
792,33,23,0.0817,0.0817,0.0000,0.0419,0.0031,0.0368,54.4059,3.4900,1.0063,1214.4240
793,34,0,0.0730,0.0730,0.0000,0.0374,0.0027,0.0328,54.5518,0.0000,0.8981,1214.4240
