step,day,hour,timestamp,root_zone_temperature,air_temperature,optimal_root_zone_temperature,temperature_deviation,growth_factor,nutrient_uptake_factor,water_uptake_factor,photosynthesis_factor,root_metabolism_factor,thermal_stress_factor,diurnal_temperature_variation,heat_generation,ambient_heat_exchange,pump_heat_generation,root_respiration_heat,thermal_response_rate,temperature_stability,cumulative_heat_generation,daily_heat_generation,step_count,last_update
1,1,0,2025-10-01 06:42:50.021759,26.0473973102145,25.0,28.0,-1.9526026897855004,1.292890403467825,1.1562082151828401,1.11715616138713,1.097630134489275,1.19526026897855,0.39052053795710007,0.0,0.0,0.0,0.0,0.0,0.0,0.6094794620428999,0.0,0.0,1,2025-10-01T06:42:49.928128
2,1,1,2025-10-01 06:42:50.234579,26.049999984008522,25.0,28.0,-1.9500000159914777,1.2925000023987216,1.1560000012793181,1.1170000009594887,1.0975000007995739,1.1950000015991478,0.39000000319829553,0.0,0.0,0.0,0.0,0.0,0.0,0.6099999968017045,0.0,0.0,3,2025-10-01T06:42:50.142954
3,1,2,2025-10-01 06:42:50.455249,26.0499999999999,25.0,28.0,-1.9500000000000988,1.2925000000000149,1.156000000000008,1.117000000000006,1.097500000000005,1.1950000000000098,0.3900000000000198,0.0,0.0,0.0,0.0,0.0,0.0,0.6099999999999802,0.0,0.0,5,2025-10-01T06:42:50.357689
4,1,3,2025-10-01 06:42:50.675237,26.05,25.0,28.0,-1.9499999999999993,1.2925,1.156,1.117,1.0975,1.1949999999999998,0.38999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.6100000000000001,0.0,0.0,7,2025-10-01T06:42:50.578896
5,1,4,2025-10-01 06:42:50.895692,26.05,25.0,28.0,-1.9499999999999993,1.2925,1.156,1.117,1.0975,1.1949999999999998,0.38999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.6100000000000001,0.0,0.0,9,2025-10-01T06:42:50.799579
6,1,5,2025-10-01 06:42:51.111239,26.05,25.0,28.0,-1.9499999999999993,1.2925,1.156,1.117,1.0975,1.1949999999999998,0.38999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.6100000000000001,0.0,0.0,11,2025-10-01T06:42:51.015935
7,1,6,2025-10-01 06:42:51.324287,26.05,25.0,28.0,-1.9499999999999993,1.2925,1.156,1.117,1.0975,1.1949999999999998,0.38999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.6100000000000001,0.0,0.0,13,2025-10-01T06:42:51.230461
8,1,7,2025-10-01 06:42:51.547165,26.05,25.0,28.0,-1.9499999999999993,1.2925,1.156,1.117,1.0975,1.1949999999999998,0.38999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.6100000000000001,0.0,0.0,15,2025-10-01T06:42:51.450647
9,1,8,2025-10-01 06:42:51.762467,26.05,25.0,28.0,-1.9499999999999993,1.2925,1.156,1.117,1.0975,1.1949999999999998,0.38999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.6100000000000001,0.0,0.0,17,2025-10-01T06:42:51.668722
10,1,9,2025-10-01 06:42:51.976992,26.05,25.0,28.0,-1.9499999999999993,1.2925,1.156,1.117,1.0975,1.1949999999999998,0.38999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.6100000000000001,0.0,0.0,19,2025-10-01T06:42:51.883393
11,1,10,2025-10-01 06:42:52.194604,26.05,25.0,28.0,-1.9499999999999993,1.2925,1.156,1.117,1.0975,1.1949999999999998,0.38999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.6100000000000001,0.0,0.0,21,2025-10-01T06:42:52.099454
12,1,11,2025-10-01 06:42:52.404950,26.05,25.0,28.0,-1.9499999999999993,1.2925,1.156,1.117,1.0975,1.1949999999999998,0.38999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.6100000000000001,0.0,0.0,23,2025-10-01T06:42:52.315552
13,1,12,2025-10-01 06:42:52.624342,26.05,25.0,28.0,-1.9499999999999993,1.2925,1.156,1.117,1.0975,1.1949999999999998,0.38999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.6100000000000001,0.0,0.0,25,2025-10-01T06:42:52.528793
14,1,13,2025-10-01 06:42:52.841747,26.05,25.0,28.0,-1.9499999999999993,1.2925,1.156,1.117,1.0975,1.1949999999999998,0.38999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.6100000000000001,0.0,0.0,27,2025-10-01T06:42:52.746655
15,1,14,2025-10-01 06:42:53.058982,26.05,25.0,28.0,-1.9499999999999993,1.2925,1.156,1.117,1.0975,1.1949999999999998,0.38999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.6100000000000001,0.0,0.0,29,2025-10-01T06:42:52.965017
16,1,15,2025-10-01 06:42:53.278893,26.05,25.0,28.0,-1.9499999999999993,1.2925,1.156,1.117,1.0975,1.1949999999999998,0.38999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.6100000000000001,0.0,0.0,31,2025-10-01T06:42:53.182724
17,1,16,2025-10-01 06:42:53.499312,26.05,25.0,28.0,-1.9499999999999993,1.2925,1.156,1.117,1.0975,1.1949999999999998,0.38999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.6100000000000001,0.0,0.0,33,2025-10-01T06:42:53.402118
