step,day,hour,timestamp,total_senescence_rate,age_senescence_rate,stress_senescence_rate,developmental_senescence_rate,total_remobilization_rate,nitrogen_remobilization_rate,carbon_remobilization_rate,phosphorus_remobilization_rate,potassium_remobilization_rate,senescence_stage_distribution,senescence_type_distribution,senescence_factors,remobilization_efficiency,recovery_rate,max_recovery,stress_history,cumulative_senescence,daily_senescence,cumulative_remobilization,daily_remobilization,step_count,last_update
1,1,0,2025-10-02 00:30:07.709022,0.09653018660212781,0.028959055980638342,0.048265093301063905,0.019306037320425563,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9895905598063834, 0.0, 0.8800000000000001, 1.0]",0.0,0.0,0.0,0.0,2,2025-10-02T00:30:07.695738
2,2,0,2025-10-02 00:30:07.883929,0.09640119725569118,0.028920359176707353,0.04820059862784559,0.01928023945113824,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9892035917670735, 0.0, 0.7, 0.8726866666666666]",0.0,0.0,0.0,0.0,4,2025-10-02T00:30:07.869925
3,3,0,2025-10-02 00:30:08.062074,0.0962971173983565,0.02888913521950695,0.04814855869917825,0.0192594234796713,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9888913521950695, 0.0, 0.8300000000000001, 0.9328733333333333]",0.0,0.0,0.0,0.0,6,2025-10-02T00:30:08.048512
4,4,0,2025-10-02 00:30:08.239948,0.09624962523995939,0.028874887571987817,0.048124812619979696,0.01924992504799188,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9887488757198781, 0.0, 0.9, 0.85046]",0.0,0.0,0.0,0.0,8,2025-10-02T00:30:08.225917
5,5,0,2025-10-02 00:30:08.416182,0.12,0.036,0.06,0.024,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9886193639881709, 0.0, 1.0, 0.85046]",0.0,0.0,0.0,0.0,10,2025-10-02T00:30:08.402226
6,6,0,2025-10-02 00:30:08.589981,0.09611114546001864,0.02883334363800559,0.04805557273000932,0.01922222909200373,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9883334363800559, 0.0, 0.93, 0.81676]",0.0,0.0,0.0,0.0,12,2025-10-02T00:30:08.575981
7,7,0,2025-10-02 00:30:08.764943,0.0960161021195049,0.02880483063585147,0.04800805105975245,0.01920322042390098,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9880483063585147, 0.0, 0.7699999999999999, 0.7569466666666668]",0.0,0.0,0.0,0.0,14,2025-10-02T00:30:08.750963
8,8,0,2025-10-02 00:30:08.937483,0.10628571428571434,0.0318857142857143,0.05314285714285717,0.02125714285714287,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9879320570680046, 0.0, 0.9600000000000002, 0.7004600000000001]",0.0,0.0,0.0,0.0,16,2025-10-02T00:30:08.925810
9,9,0,2025-10-02 00:30:09.109917,0.09591632807374895,0.028774898422124683,0.04795816403687447,0.01918326561474979,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.9877489842212468, 0.0, 0.7600000000000001, 0.8205]",0.0,0.0,0.0,0.0,18,2025-10-02T00:30:09.097242
10,10,0,2025-10-02 00:30:09.289124,0.12,0.036,0.06,0.024,0,0.0,0.0,0.0,0.0,"{'healthy': 0, 'early_senescence': 0, 'active_senescence': 0, 'late_senescence': 0, 'dead': 1}","{'water_stress': 1.0, 'temperature_stress': 1.0, 'light_stress': 1.0}","{'age_factor': 1.0, 'water_stress_factor': 0.9820400570990269, 'nitrogen_stress_factor': 0.0, 'temperature_stress_factor': 0.9199999999999999, 'light_stress_factor': 0.6745399999999999, 'developmental_factor': 1.0}","{'nitrogen': 0.8, 'phosphorus': 0.7, 'potassium': 0.9}",0.01,0.3,"[0.987460164797, 0.0, 1.0, 0.88426]",0.0,0.0,0.0,0.0,20,2025-10-02T00:30:09.275276
