Parameter,Multiplier,Value,Total_Biomass_g,LAI_m2_m2,Cumulative_Water_L,Biomass_Change_%,LAI_Change_%
BASELINE,1.0,-,38.074,2.4614,5.541,0,0
vegetative_leaf_allocation,0.9,0.6120000000000001,38.074,2.4614,5.541,0.0,0.0
vegetative_leaf_allocation,1.0,0.68,38.074,2.4614,5.541,0.0,0.0
vegetative_leaf_allocation,1.1,0.7480000000000001,38.074,2.4614,5.541,0.0,0.0
vegetative_stem_allocation,0.9,0.108,38.074,2.4614,5.541,0.0,0.0
vegetative_stem_allocation,1.0,0.12,38.074,2.4614,5.541,0.0,0.0
vegetative_stem_allocation,1.1,0.132,38.074,2.4614,5.541,0.0,0.0
vegetative_root_allocation,0.9,0.16200000000000003,38.074,2.4614,5.541,0.0,0.0
vegetative_root_allocation,1.0,0.18000000000000002,38.074,2.4614,5.541,0.0,0.0
vegetative_root_allocation,1.1,0.19800000000000004,38.074,2.4614,5.541,0.0,0.0
reproductive_leaf_allocation,0.9,0.36000000000000004,38.0975,2.4614,5.541,0.0617219099648015,0.0
reproductive_leaf_allocation,1.0,0.4,38.074,2.4614,5.541,0.0,0.0
reproductive_leaf_allocation,1.1,0.44000000000000006,38.0614,2.4614,5.541,-0.03309344959814849,0.0
reproductive_stem_allocation,0.9,0.315,38.0531,2.4614,5.541,-0.054893102904862844,0.0
reproductive_stem_allocation,1.0,0.35,38.074,2.4614,5.541,0.0,0.0
reproductive_stem_allocation,1.1,0.385,38.0868,2.4614,5.541,0.03361874244891157,0.0
reproductive_root_allocation,0.9,0.225,38.1331,2.4614,5.541,0.15522403740085314,0.0
reproductive_root_allocation,1.0,0.25,38.074,2.4614,5.541,0.0,0.0
reproductive_root_allocation,1.1,0.275,38.016,2.4614,5.541,-0.1523349267216469,0.0
light_response_factor,0.9,0.27,38.074,2.4614,5.541,0.0,0.0
light_response_factor,1.0,0.3,38.074,2.4614,5.541,0.0,0.0
light_response_factor,1.1,0.33,38.074,2.4614,5.541,0.0,0.0
nitrogen_response_factor,0.9,0.36000000000000004,38.074,2.4614,5.541,0.0,0.0
nitrogen_response_factor,1.0,0.4,38.074,2.4614,5.541,0.0,0.0
nitrogen_response_factor,1.1,0.44000000000000006,38.074,2.4614,5.541,0.0,0.0
water_response_factor,0.9,0.315,38.074,2.4614,5.541,0.0,0.0
water_response_factor,1.0,0.35,38.074,2.4614,5.541,0.0,0.0
water_response_factor,1.1,0.385,38.074,2.4614,5.541,0.0,0.0
minimum_organ_fraction,0.9,0.045000000000000005,38.0472,2.4614,5.541,-0.07038924200242026,0.0
minimum_organ_fraction,1.0,0.05,38.074,2.4614,5.541,0.0,0.0
minimum_organ_fraction,1.1,0.05500000000000001,38.1035,2.4614,5.541,0.07748069548773114,0.0
min_root_allocation_fraction,0.9,0.135,38.074,2.4614,5.541,0.0,0.0
min_root_allocation_fraction,1.0,0.15,38.074,2.4614,5.541,0.0,0.0
min_root_allocation_fraction,1.1,0.165,38.074,2.4614,5.541,0.0,0.0
allocation_efficiency,0.9,0.9,38.074,2.4614,5.541,0.0,0.0
allocation_efficiency,1.0,1.0,38.074,2.4614,5.541,0.0,0.0
allocation_efficiency,1.1,1.1,38.074,2.4614,5.541,0.0,0.0
carbon_content_fraction,0.9,0.36000000000000004,39.711,2.4614,5.5415,4.299521983505806,0.0
carbon_content_fraction,1.0,0.4,38.074,2.4614,5.541,0.0,0.0
carbon_content_fraction,1.1,0.44000000000000006,36.4934,2.4614,5.5405,-4.151389399590263,0.0
carbon_allocation_roots,0.9,0.225,38.074,2.4614,5.541,0.0,0.0
carbon_allocation_roots,1.0,0.25,38.074,2.4614,5.541,0.0,0.0
carbon_allocation_roots,1.1,0.275,38.074,2.4614,5.541,0.0,0.0
carbon_allocation_leaves,0.9,0.5850000000000001,38.074,2.4614,5.541,0.0,0.0
carbon_allocation_leaves,1.0,0.65,38.074,2.4614,5.541,0.0,0.0
carbon_allocation_leaves,1.1,0.7150000000000001,38.074,2.4614,5.541,0.0,0.0
carbon_allocation_stems,0.9,0.09000000000000001,38.074,2.4614,5.541,0.0,0.0
carbon_allocation_stems,1.0,0.1,38.074,2.4614,5.541,0.0,0.0
carbon_allocation_stems,1.1,0.11000000000000001,38.074,2.4614,5.541,0.0,0.0
leaf_water_content,0.9,0.855,38.074,2.4614,5.541,0.0,0.0
leaf_water_content,1.0,0.95,38.074,2.4614,5.541,0.0,0.0
leaf_water_content,1.1,1.045,38.074,2.4614,5.541,0.0,0.0
stem_water_content,0.9,0.8280000000000001,38.074,2.4614,5.541,0.0,0.0
stem_water_content,1.0,0.92,38.074,2.4614,5.541,0.0,0.0
stem_water_content,1.1,1.0120000000000002,38.074,2.4614,5.541,0.0,0.0
root_water_content,0.9,0.8712000000000001,38.074,2.4614,5.541,0.0,0.0
root_water_content,1.0,0.9680000000000001,38.074,2.4614,5.541,0.0,0.0
root_water_content,1.1,1.0648000000000002,38.074,2.4614,5.541,0.0,0.0
