Parameter,Multiplier,Value,Total_Biomass_g,LAI_m2_m2,Cumulative_Water_L,Biomass_Change_%,LAI_Change_%
BASELINE,1.0,-,38.074,2.4614,5.541,0,0
number_of_layers,1.1,5.5,38.074,2.4614,5.541,0.0,0.0
maximum_lai,1.1,2.75,38.074,2.4614,5.541,0.0,0.0
extinction_coefficient,1.1,0.66,38.074,2.4614,5.541,0.0,0.0
diffuse_extinction_coeff,1.1,0.8800000000000001,38.074,2.4614,5.541,0.0,0.0
beam_extinction_coeff,1.1,0.55,38.074,2.4614,5.541,0.0,0.0
row_spacing,1.1,0.44000000000000006,35.3089,2.2487,5.0546,-7.262436308241836,-8.641423580076376
mean_leaf_angle,1.1,49.50000000000001,38.074,2.4614,5.541,0.0,0.0
canopy_width,1.1,0.275,38.074,2.4614,5.541,0.0,0.0
leaf_angle_variance,1.1,22.0,38.074,2.4614,5.541,0.0,0.0
plant_spacing,1.1,0.33,35.3089,2.2487,5.0546,-7.262436308241836,-8.641423580076376
plant_height,1.1,0.33,38.074,2.4614,5.541,0.0,0.0
leaf_reflectance,1.1,0.08800000000000001,38.074,2.4614,5.541,0.0,0.0
leaf_transmittance,1.1,0.05500000000000001,38.074,2.4614,5.541,0.0,0.0
leaf_absorptance,1.1,0.9570000000000001,38.074,2.4614,5.541,0.0,0.0
self_shading_factor,1.1,0.77,38.074,2.4614,5.541,0.0,0.0
neighbor_shading_distance,1.1,0.55,38.074,2.4614,5.541,0.0,0.0
clumping_index,1.1,0.935,37.4152,2.4614,5.5409,-1.7303146504176063,0.0
maximum_extinction_coefficient,1.1,22.0,38.074,2.4614,5.541,0.0,0.0
upper_canopy_lai_factor,1.1,0.33,38.0672,2.4614,5.541,-0.01785995692598194,0.0
middle_canopy_lai_factor,1.1,0.44000000000000006,37.945,2.4614,5.541,-0.3388138887429684,0.0
lower_middle_canopy_lai_factor,1.1,0.275,38.1351,2.4614,5.541,0.16047696590850258,0.0
bottom_canopy_lai_factor,1.1,0.05500000000000001,38.1194,2.4614,5.541,0.11924147712349838,0.0
maximum_temperature_gradient,1.1,3.3000000000000003,38.074,2.4614,5.541,0.0,0.0
temperature_gradient_factor,1.1,0.55,38.074,2.4614,5.541,0.0,0.0
spherical_x_coefficient,1.1,1.1,37.4152,2.4614,5.5409,-1.7303146504176063,0.0
planophile_x_coefficient,1.1,0.7007000000000001,38.074,2.4614,5.541,0.0,0.0
erectophile_x_coefficient,1.1,2.2,38.074,2.4614,5.541,0.0,0.0
plagiophile_x_coefficient,1.1,1.4630000000000003,38.074,2.4614,5.541,0.0,0.0
upper_canopy_height_threshold,1.1,0.8800000000000001,38.074,2.4614,5.541,0.0,0.0
middle_canopy_height_threshold,1.1,0.55,38.0802,2.4614,5.541,0.01628407837369271,0.0
lower_middle_canopy_height_threshold,1.1,0.22000000000000003,38.074,2.4614,5.541,0.0,0.0
zenith_angle_precision_threshold,1.1,0.0011,38.074,2.4614,5.541,0.0,0.0
direct_beam_fraction,1.1,0.77,38.074,2.4614,5.541,0.0,0.0
diffuse_fraction,1.1,0.33,38.074,2.4614,5.541,0.0,0.0
target_harvest_biomass,1.1,22.0,38.074,2.4614,5.541,0.0,0.0
sunlit_fraction_lai_coefficient,1.1,0.33,38.074,2.4614,5.541,0.0,0.0
sunlit_fraction_minimum,1.1,0.22000000000000003,38.074,2.4614,5.541,0.0,0.0
