Parameter,Multiplier,Value,Total_Biomass_g,LAI_m2_m2,Cumulative_Water_L,Biomass_Change_%,LAI_Change_%
BASELINE,1.0,-,38.074,2.4614,5.541,0,0
saturation_vapor_pressure_constant,1.1,0.67188,38.074,2.4614,5.541,0.0,0.0
psychrometric_constant,1.1,0.7315000000000002,38.0703,2.4612,5.5961,-0.009717917739126255,-0.00812545705695856
net_radiation_factor,1.1,0.8470000000000001,38.0699,2.461,5.5818,-0.01076850344067107,-0.01625091411391712
radiation_offset,1.1,2.6950000000000003,38.0756,2.4616,5.5214,0.004202342806123278,0.00812545705695856
base_crop_coefficient,1.1,1.1,37.8215,2.4457,6.0572,-0.6631822240899242,-0.6378483789713101
lai_coefficient_factor,1.1,3.3000000000000003,38.2204,2.4735,5.0566,0.38451436675946804,0.491590151946056
vegetative_stage_factor,1.1,0.8800000000000001,37.8293,2.4501,5.8788,-0.6426958029101082,-0.45908832371820374
head_formation_stage_factor,1.1,1.32,38.0676,2.4602,5.7206,-0.016809371224455784,-0.04875274234175136
mature_stage_factor,1.1,0.9900000000000001,38.074,2.4614,5.541,0.0,0.0
temperature_sensitivity,1.1,0.165,38.074,2.4614,5.541,0.0,0.0
optimal_vpd_min,1.1,0.8800000000000001,38.0791,2.4619,5.5476,0.013394967694486455,0.02031364264240542
optimal_vpd_max,1.1,1.6500000000000001,38.0743,2.4617,5.6506,0.0007879392761539465,0.01218818558544686
vpd_sensitivity,1.1,0.33,38.0787,2.4617,5.4508,0.012344381992960299,0.01218818558544686
metabolic_water_per_biomass,1.1,1.1000000000000001e-05,38.074,2.4614,5.542,0.0,0.0
metabolic_water_per_lai,1.1,0.11000000000000001,38.074,2.4614,5.541,0.0,0.0
temperature_tolerance,1.1,16.5,38.074,2.4614,5.541,0.0,0.0
minimum_temperature_factor,1.1,0.11000000000000001,38.074,2.4614,5.541,0.0,0.0
stem_biomass_fraction,1.1,0.33,38.074,2.4614,5.541,0.0,0.0
leaf_area_to_biomass_ratio,1.1,0.11000000000000001,38.074,2.4614,5.541,0.0,0.0
water_uptake_sensitivity_low,1.1,0.066,38.074,2.4614,5.541,0.0,0.0
water_uptake_sensitivity_high,1.1,0.11000000000000001,38.074,2.4614,5.541,0.0,0.0
minimum_vpd_threshold,1.1,0.11000000000000001,38.074,2.4614,5.541,0.0,0.0
minimum_et0_threshold,1.1,0.11000000000000001,38.074,2.4614,5.541,0.0,0.0
ground_area_per_plant,1.1,0.066,37.8215,2.4457,6.0572,-0.6631822240899242,-0.6378483789713101
maximum_lai_coverage_factor,1.1,0.55,38.0747,2.4614,5.5396,0.0018385249776801003,0.0
minimum_coverage_factor,1.1,0.011000000000000001,38.074,2.4614,5.541,0.0,0.0
max_root_surface_area_factor,1.1,2.2,38.074,2.4614,5.541,0.0,0.0
cavitation_gradient_denominator,1.1,1.1,38.074,2.4614,5.541,0.0,0.0
temperature_response_exponent_denominator,1.1,220.00000000000003,38.074,2.4614,5.541,0.0,0.0
vpd_effect_divisor,1.1,1.1,38.074,2.4614,5.541,0.0,0.0
transpiration_base_rate_scale_factor,1.1,0.55,38.074,2.4614,5.541,0.0,0.0
transpiration_scaling_multiplier,1.1,0.11000000000000001,38.074,2.4614,5.541,0.0,0.0
lai_coefficient_threshold,1.1,0.11000000000000001,38.0746,2.4614,5.541,0.0015758785522892308,0.0
minimum_coverage_factor,1.1,0.011000000000000001,38.074,2.4614,5.541,0.0,0.0
minimum_cavitation_factor,1.1,0.11000000000000001,38.074,2.4614,5.541,0.0,0.0
maximum_vpd_effect,1.1,2.2,38.074,2.4614,5.541,0.0,0.0
sensitivity_low,1.1,0.066,38.074,2.4614,5.541,0.0,0.0
sensitivity_high,1.1,0.11000000000000001,38.074,2.4614,5.541,0.0,0.0
