step,day,hour,temperature_stress,water_stress,nutrient_stress,light_stress,ph_stress,salinity_stress,integrated_stress,stress_severity,acclimation_level,damage_level,cumulative_stress,daily_stress,step_count,last_update
1,1,0,0.1091,0.0002,0.3700,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3600.0000,0.0000,2,2025-10-17T21:53:59.077809
2,1,1,0.1091,0.0031,0.3700,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,10800.0000,7200.0000,4,2025-10-17T21:53:59.093129
3,1,2,0.1091,0.0031,0.3700,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,18000.0000,14400.0000,6,2025-10-17T21:53:59.108806
4,1,3,0.1091,0.0032,0.3700,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,25200.0000,21600.0000,8,2025-10-17T21:53:59.124487
5,1,4,0.1091,0.0033,0.3700,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,32400.0000,28800.0000,10,2025-10-17T21:53:59.140105
6,1,5,0.1091,0.0033,0.3700,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,39600.0000,36000.0000,12,2025-10-17T21:53:59.155837
7,1,6,0.1091,0.0034,0.3700,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,46800.0000,43200.0000,14,2025-10-17T21:53:59.171902
8,1,7,0.1091,0.0035,0.3700,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,54000.0000,50400.0000,16,2025-10-17T21:53:59.188289
9,1,8,0.1091,0.0036,0.3700,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,61200.0000,57600.0000,18,2025-10-17T21:53:59.204611
10,1,9,0.1091,0.0036,0.3700,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,68400.0000,64800.0000,20,2025-10-17T21:53:59.220807
11,1,10,0.1091,0.0037,0.3701,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,75600.0000,72000.0000,22,2025-10-17T21:53:59.237279
12,1,11,0.1091,0.0038,0.3701,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,82800.0000,79200.0000,24,2025-10-17T21:53:59.254045
13,1,12,0.1091,0.0038,0.3701,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,90000.0000,86400.0000,26,2025-10-17T21:53:59.270906
14,1,13,0.1091,0.0039,0.3701,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,97200.0000,93600.0000,28,2025-10-17T21:53:59.287785
15,1,14,0.1091,0.0039,0.3701,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,104400.0000,100800.0000,30,2025-10-17T21:53:59.305087
16,1,15,0.1091,0.0040,0.3701,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,111600.0000,108000.0000,32,2025-10-17T21:53:59.322456
17,1,16,0.1091,0.0040,0.3701,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,118800.0000,115200.0000,34,2025-10-17T21:53:59.340632
18,1,17,0.1091,0.0040,0.3701,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,126000.0000,122400.0000,36,2025-10-17T21:53:59.360332
19,1,18,0.1091,0.0041,0.3701,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,133200.0000,129600.0000,38,2025-10-17T21:53:59.379374
20,1,19,0.1091,0.0041,0.3701,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,140400.0000,136800.0000,40,2025-10-17T21:53:59.399507
21,1,20,0.1091,0.0041,0.3702,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,147600.0000,144000.0000,42,2025-10-17T21:53:59.419570
22,1,21,0.1091,0.0042,0.3702,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,154800.0000,151200.0000,44,2025-10-17T21:53:59.440220
23,1,22,0.1091,0.0042,0.3702,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,162000.0000,158400.0000,46,2025-10-17T21:53:59.460371
24,1,23,0.1091,0.0042,0.3702,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,169200.0000,165600.0000,48,2025-10-17T21:53:59.480632
25,2,0,0.2727,0.0038,0.3702,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,176400.0000,0.0000,50,2025-10-17T21:53:59.501360
26,2,1,0.2727,0.0038,0.3702,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,183600.0000,7200.0000,52,2025-10-17T21:53:59.521478
27,2,2,0.2727,0.0038,0.3703,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,190800.0000,14400.0000,54,2025-10-17T21:53:59.542179
28,2,3,0.2727,0.0039,0.3703,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,198000.0000,21600.0000,56,2025-10-17T21:53:59.564958
29,2,4,0.2727,0.0039,0.3703,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,205200.0000,28800.0000,58,2025-10-17T21:53:59.583819
30,2,5,0.2727,0.0039,0.3703,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,212400.0000,36000.0000,60,2025-10-17T21:53:59.602834
31,2,6,0.2727,0.0039,0.3703,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,219600.0000,43200.0000,62,2025-10-17T21:53:59.622066
32,2,7,0.2727,0.0040,0.3703,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,226800.0000,50400.0000,64,2025-10-17T21:53:59.643124
33,2,8,0.2727,0.0040,0.3704,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,234000.0000,57600.0000,66,2025-10-17T21:53:59.664299
34,2,9,0.2727,0.0040,0.3704,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,241200.0000,64800.0000,68,2025-10-17T21:53:59.684580
35,2,10,0.2727,0.0040,0.3704,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,248400.0000,72000.0000,70,2025-10-17T21:53:59.704262
36,2,11,0.2727,0.0041,0.3704,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,255600.0000,79200.0000,72,2025-10-17T21:53:59.724702
37,2,12,0.2727,0.0041,0.3704,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,262800.0000,86400.0000,74,2025-10-17T21:53:59.746562
38,2,13,0.2727,0.0041,0.3705,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,270000.0000,93600.0000,76,2025-10-17T21:53:59.767971
39,2,14,0.2727,0.0041,0.3705,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,277200.0000,100800.0000,78,2025-10-17T21:53:59.794117
40,2,15,0.2727,0.0042,0.3705,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,284400.0000,108000.0000,80,2025-10-17T21:53:59.819225
41,2,16,0.2727,0.0042,0.3705,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,291600.0000,115200.0000,82,2025-10-17T21:53:59.838759
42,2,17,0.2727,0.0042,0.3705,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,298800.0000,122400.0000,84,2025-10-17T21:53:59.858190
43,2,18,0.2727,0.0043,0.3706,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,306000.0000,129600.0000,86,2025-10-17T21:53:59.877577
44,2,19,0.2727,0.0043,0.3706,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,313200.0000,136800.0000,88,2025-10-17T21:53:59.898180
45,2,20,0.2727,0.0043,0.3706,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,320400.0000,144000.0000,90,2025-10-17T21:53:59.919644
46,2,21,0.2727,0.0043,0.3706,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,327600.0000,151200.0000,92,2025-10-17T21:53:59.940103
47,2,22,0.2727,0.0044,0.3706,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,334800.0000,158400.0000,94,2025-10-17T21:53:59.961302
48,2,23,0.2727,0.0044,0.3707,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,342000.0000,165600.0000,96,2025-10-17T21:53:59.981884
49,3,0,0.1545,0.0065,0.3707,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,349200.0000,0.0000,98,2025-10-17T21:54:00.003680
50,3,1,0.1545,0.0066,0.3707,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,356400.0000,7200.0000,100,2025-10-17T21:54:00.026838
51,3,2,0.1545,0.0066,0.3707,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,363600.0000,14400.0000,102,2025-10-17T21:54:00.048751
52,3,3,0.1545,0.0066,0.3707,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,370800.0000,21600.0000,104,2025-10-17T21:54:00.068881
53,3,4,0.1545,0.0067,0.3708,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,378000.0000,28800.0000,106,2025-10-17T21:54:00.089674
54,3,5,0.1545,0.0067,0.3708,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,385200.0000,36000.0000,108,2025-10-17T21:54:00.110901
55,3,6,0.1545,0.0067,0.3708,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,392400.0000,43200.0000,110,2025-10-17T21:54:00.131817
56,3,7,0.1545,0.0067,0.3708,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,399600.0000,50400.0000,112,2025-10-17T21:54:00.153361
57,3,8,0.1545,0.0067,0.3708,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,406800.0000,57600.0000,114,2025-10-17T21:54:00.174407
