Date,Day,Treatment_ID,System_ID,Crop_ID,ETO_Ref_mm,ETC_Prime_mm,Transpiration_mm,Water_Total_L,Tank_Volume_L,Temp_C,Solar_Rad_MJ,VPD_kPa,WUE_kg_m3,pH,EC,RZT_C,RZT_Growth_Factor,RZT_Nutrient_Factor,V_Stage,Leaf_Number,Leaf_Area_m2,Avg_Leaf_Area_cm2,CO2_umol_mol,VPD_Actual_kPa,Env_Photo_Factor,Env_Transp_Factor,N-NO3_mg_L,P-PO4_mg_L,K_mg_L,Ca_mg_L,Mg_mg_L,LAI,Growth_Stage,Total_Biomass_g,Integrated_Stress,Temperature_Stress,Water_Stress,Nutrient_Stress,Nitrogen_Stress,Salinity_Stress
2025-08-28,1,T01_CO2400_EC1.5_LIGHT16_NITROGEN200_ROOTZONETEMP20_TEMPERATURE23_VARIETIESLET_PH6.0,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.61,2.68,0.03,0.03,499.97,20.0,15.5,0.94,0.0,6.0,0.8,21.44,0.78,0.83,4.0,4,0.014,34.38,400.0,0.82,1.0,1.0,300.0,50.0,300.0,150.0,50.0,0.165,V4,0.8,0.05,0.0,0.0,0.0,0.0,0.0
2025-08-29,2,T01_CO2400_EC1.5_LIGHT16_NITROGEN200_ROOTZONETEMP20_TEMPERATURE23_VARIETIESLET_PH6.0,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.63,2.7,0.03,0.04,499.93,20.0,16.2,0.94,1.241,5.99,0.8,22.02,0.85,0.88,4.0,4,0.014,36.04,400.0,0.95,0.96,0.95,296.23,49.84,299.37,149.86,49.95,0.173,V5,0.84,0.05,0.0,0.0,0.0,0.0,0.0
2025-08-30,3,T01_CO2400_EC1.5_LIGHT16_NITROGEN200_ROOTZONETEMP20_TEMPERATURE23_VARIETIESLET_PH6.0,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.58,2.67,0.03,0.04,499.89,20.0,14.8,0.94,0.932,5.99,0.8,22.25,0.59,0.67,5.0,4,0.015,37.25,400.0,0.73,1.0,1.0,288.59,49.52,298.09,149.59,49.85,0.179,V6,0.87,0.05,0.0,0.0,0.0,0.0,0.0
2025-08-31,4,T01_CO2400_EC1.5_LIGHT16_NITROGEN200_ROOTZONETEMP20_TEMPERATURE23_VARIETIESLET_PH6.0,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.67,2.75,0.05,0.06,499.83,20.0,17.1,0.94,1.026,5.98,0.8,22.34,0.95,0.96,5.0,4,0.017,41.81,400.0,1.06,0.87,0.81,277.14,49.04,296.17,149.17,49.71,0.201,V7,0.92,0.06,0.0,0.01,0.0,0.0,0.0
2025-09-01,5,T01_CO2400_EC1.5_LIGHT16_NITROGEN200_ROOTZONETEMP20_TEMPERATURE23_VARIETIESLET_PH6.0,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.62,2.77,0.07,0.08,499.75,20.0,15.9,0.94,0.603,5.98,0.8,22.38,0.72,0.77,5.0,4,0.022,54.35,400.0,0.82,1.0,1.0,262.03,48.41,293.64,148.62,49.52,0.261,V8,0.96,0.05,0.0,0.0,0.0,0.0,0.0
2025-09-02,6,T01_CO2400_EC1.5_LIGHT16_NITROGEN200_ROOTZONETEMP20_TEMPERATURE23_VARIETIESLET_PH6.0,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.66,2.78,0.07,0.08,499.67,20.0,16.8,0.94,1.071,5.97,0.8,22.39,0.87,0.89,6.0,4,0.021,51.43,400.0,0.95,0.96,0.94,243.27,47.62,290.49,147.94,49.28,0.247,V8,1.03,0.05,0.0,0.0,0.0,0.0,0.0
2025-09-03,7,T01_CO2400_EC1.5_LIGHT16_NITROGEN200_ROOTZONETEMP20_TEMPERATURE23_VARIETIESLET_PH6.0,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.56,2.77,0.1,0.12,499.55,20.0,14.2,0.94,0.379,5.97,0.8,22.4,0.49,0.59,6.0,4,0.027,66.86,400.0,0.66,0.98,0.97,220.92,46.69,286.74,147.14,48.99,0.321,V9,1.07,0.05,0.0,0.0,0.0,0.0,0.0
2025-09-04,8,T01_CO2400_EC1.5_LIGHT16_NITROGEN200_ROOTZONETEMP20_TEMPERATURE23_VARIETIESLET_PH6.0,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.72,2.97,0.21,0.25,499.3,20.0,18.5,0.94,0.497,6.0,0.8,22.4,1.05,1.04,6.0,4,0.035,86.92,400.0,1.18,0.78,0.66,300.0,50.0,300.0,150.0,50.0,0.417,V9,1.17,0.09,0.0,0.04,0.0,0.0,0.0
2025-09-05,9,T01_CO2400_EC1.5_LIGHT16_NITROGEN200_ROOTZONETEMP20_TEMPERATURE23_VARIETIESLET_PH6.0,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.69,2.88,0.12,0.15,499.16,20.0,17.8,0.94,1.155,5.99,0.8,22.4,1.01,1.01,7.0,4,0.027,67.78,400.0,1.06,0.87,0.8,271.13,48.79,295.16,148.95,49.63,0.325,V10,1.31,0.06,0.0,0.02,0.0,0.0,0.0
2025-09-06,10,T01_CO2400_EC1.5_LIGHT16_NITROGEN200_ROOTZONETEMP20_TEMPERATURE23_VARIETIESLET_PH6.0,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.61,2.87,0.17,0.21,498.95,20.0,15.5,0.94,0.373,5.99,0.8,22.4,0.64,0.71,7.0,4,0.034,86.08,400.0,0.82,1.0,1.0,239.06,47.45,289.79,147.78,49.22,0.413,V10,1.38,0.05,0.0,0.0,0.0,0.0,0.0
