Date,Day,System_ID,Crop_ID,ETO_Ref_mm,ETC_Prime_mm,Transpiration_mm,Water_Total_L,Tank_Volume_L,Temp_C,Solar_Rad_MJ,VPD_kPa,WUE_kg_m3,pH,EC,RZT_C,RZT_Growth_Factor,RZT_Nutrient_Factor,V_Stage,Leaf_Number,Leaf_Area_m2,Avg_Leaf_Area_cm2,CO2_umol_mol,VPD_Actual_kPa,Env_Photo_Factor,Env_Transp_Factor,N-NO3_mg_L,P-PO4_mg_L,K_mg_L,Ca_mg_L,Mg_mg_L,LAI,Growth_Stage,Total_Biomass_g,Integrated_Stress,Temperature_Stress,Water_Stress,Nutrient_Stress,Nitrogen_Stress,Salinity_Stress
2025-08-25,1,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.44,2.55,0.03,0.04,499.96,26.79,15.18,0.89,0.0,6.0,1.88,28.16,1.13,1.1,4.0,4,0.015,37.5,1200.0,0.89,1.0,1.0,200.0,50.0,300.0,150.0,50.0,0.18,V4,0.8,0.24,0.17,0.0,0.0,0.0,0.04
2025-08-26,2,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,4.99,3.74,0.08,0.09,499.87,25.79,20.53,1.31,2.444,5.99,1.87,28.58,1.02,1.01,4.0,4,0.019,46.34,1200.0,1.31,0.67,0.51,199.7,49.99,299.95,149.99,50.0,0.222,V4,0.99,0.29,0.16,0.08,0.0,0.0,0.04
2025-08-27,3,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.08,2.34,0.06,0.07,499.81,22.77,18.81,0.72,3.478,5.99,1.87,26.79,0.85,0.88,5.0,4,0.023,56.44,1200.0,0.72,1.0,1.0,199.4,49.97,299.9,149.98,49.99,0.271,V4,1.18,0.12,0.04,0.0,0.0,0.0,0.04
2025-08-28,4,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.34,2.58,0.09,0.11,499.7,22.1,19.18,0.8,2.658,5.98,1.86,25.7,0.91,0.93,5.0,4,0.028,69.41,1200.0,0.8,1.0,1.0,197.21,49.88,299.53,149.9,49.96,0.333,V5,1.42,0.09,0.01,0.0,0.0,0.0,0.03
2025-08-29,5,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,4.41,3.48,0.23,0.27,499.42,24.17,22.06,1.1,1.75,5.98,1.84,26.77,1.03,1.02,5.0,4,0.036,89.59,1200.0,1.1,0.84,0.76,192.55,49.68,298.74,149.73,49.9,0.43,V5,1.82,0.12,0.04,0.02,0.0,0.0,0.02
2025-08-30,6,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,4.0,3.24,0.31,0.38,499.05,23.38,20.95,0.99,1.499,5.97,1.81,26.62,0.96,0.97,6.0,4,0.046,100.0,1200.0,0.99,0.93,0.9,186.2,49.42,297.67,149.5,49.82,0.549,V5,2.29,0.09,0.03,0.0,0.0,0.0,0.01
2025-08-31,7,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,4.66,3.88,0.65,0.77,498.27,24.74,18.63,1.23,1.041,5.97,1.78,27.17,1.05,1.03,6.0,4,0.059,100.0,1200.0,1.23,0.74,0.6,178.0,49.07,296.27,149.2,49.72,0.707,V6,2.96,0.16,0.06,0.06,0.0,0.0,0.0
2025-09-01,8,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.81,3.28,0.78,0.94,497.33,24.59,17.74,0.97,1.115,6.0,1.88,27.22,1.03,1.02,6.0,4,0.077,100.0,1200.0,0.97,0.95,0.92,200.0,50.0,300.0,150.0,50.0,0.927,V6,3.84,0.13,0.05,0.0,0.0,0.0,0.04
2025-09-02,9,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.38,3.0,1.01,1.22,496.12,23.81,19.98,0.8,1.052,5.99,1.82,26.97,0.98,0.98,7.0,4,0.1,100.0,1200.0,0.8,1.0,1.0,188.94,49.53,298.13,149.59,49.86,1.195,V6,4.9,0.1,0.04,0.0,0.0,0.0,0.01
2025-09-03,10,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.94,3.61,1.99,2.38,493.74,23.85,19.12,0.99,0.728,5.99,1.77,26.82,1.0,1.0,7.0,4,0.13,100.0,1200.0,0.99,0.93,0.89,176.62,49.01,296.04,149.14,49.7,1.56,V7,6.35,0.08,0.04,0.0,0.0,0.0,0.0
