Date,Day,DAS,DAT,Treatment_ID,System_ID,Crop_ID,Location_ID,System_Type,System_Area_m2,Plant_Count,Flow_Rate_L_h,System_Description,,Temp_C,Solar_Rad_MJ,VPD_kPa,CO2_umol_mol, ,ETO_Ref_mm,ETC_Prime_mm,Transpiration_mm,Water_Total_L,Tank_Volume_L,WUE_L_kg,  ,pH,EC,pH_Change_Uptake,pH_Drift,Acid_Dosed_mL_L,Base_Dosed_mL_L,Buffer_Capacity,   ,N-NO3_mg_L,P-PO4_mg_L,K_mg_L,Ca_mg_L,Mg_mg_L,    ,RZT_C,RZT_Growth_Factor,RZT_Nutrient_Factor,Env_Photo_Factor,Env_Transp_Factor,     ,V_Stage,Leaf_Number,Leaf_Area_m2,Avg_Leaf_Area_cm2,      ,Growth_Stage,Total_Biomass_g,LAI,Plant_Height_cm,Daily_Growth_Rate_g_day,       ,Integrated_Stress,Temperature_Stress,Water_Stress,Nutrient_Stress,Nitrogen_Stress,Salinity_Stress,        ,Shoot_Dry_Weight_g,Leaf_Dry_Weight_g,Stem_Dry_Weight_g,Shoot_Fresh_Weight_g,Leaf_Fresh_Weight_g,Stem_Fresh_Weight_g,Root_Dry_Weight_g,Root_Fresh_Weight_g,Leaf_Growth_Rate_g_day,Stem_Growth_Rate_g_day,Root_Growth_Rate_g_day,         ,Fine_Root_Length_cm,Coarse_Root_Length_cm,Root_Length_Density_cm_cm3,Root_Surface_Area_cm2,Root_Volume_cm3,          ,Jmax_25_umol_m2_s,Quantum_Efficiency,Rubisco_Limited_umol_m2_s,Light_Limited_umol_m2_s,CO2_Compensation_umol_mol,Intercellular_CO2_umol_mol,Photosynthesis_Rate,Net_Assimilation,Maintenance_Respiration,Growth_Respiration,Respiration_Rate,Maint_Resp_Leaves,Maint_Resp_Stems,Maint_Resp_Roots,Growth_Resp_Leaves,Growth_Resp_Stems,Growth_Resp_Roots,Temperature_Acclimation,Age_Factor,Light_Interception,Sunlit_LAI,Shaded_LAI,Total_Absorbed_PPFD_umol_m2_s,Canopy_Photosynthesis_umol_m2_s,Canopy_Layers,PPFD_Top_umol_m2_s,PPFD_Bottom_umol_m2_s,Light_Extinction_Coeff,N_Pool_Structural_g,N_Pool_Metabolic_g,N_Pool_Storage_g,N_Pool_Transport_g,N_Remobilization_g,N_Critical_Conc,Nitrogen_Uptake_mg,Nitrogen_Demand_mg,Leaf_Nitrogen_Conc,Root_Nitrogen_Conc,Nitrogen_Remobilization,Accumulated_GDD,Thermal_Time_Daily,Development_Rate,Is_Vegetative,Is_Reproductive,Root_Cohorts,Root_Activity_Young,Root_Activity_Old,Root_Surface_Active_cm2,Root_Turnover_Rate,Cultivar_Adaptation_Index,Cultivar_Yield_Potential,Genetic_Photosynthesis_Capacity,Genetic_EC_Tolerance,Genetic_Nitrate_Efficiency,Phosphorus_Uptake_mg,Phosphorus_Remobilization,Potassium_Remobilization,Senescence_Rate,Leaf_Senescence_Rate,Temperature_Stress_Photosynthesis,Temperature_Stress_Growth,Cold_Stress_Factor,Heat_Stress_Factor,Temperature_Stress_Factor,Controlled_Humidity_pct,VPD_Target_kPa,Environmental_Cost,Phosphate_H2PO4_mg_L,Phosphate_HPO4_mg_L,Nutrient_Precipitation_mg_L
2025-08-01,0,21,0,DEFAULT,LET_EXP001_2024,Butterhead_Lettuce,GREENHOUSE,NFT,1.0,12,50.0,"NFT System - 1.0m², 12 plants, 500.0L tank",,25.2,26.7,1.09,417.55,,0.0,0.01,0.01,0.15,499.85,12.36,,5.97,0.37,0.0,0.0,0.0,0.0,0.0,,150.0,50.0,200.0,150.0,50.0,,22.0,1.0,1.0,1.0,1.0,,1.0,2,0.0,13.82,,V1,0.25,0.03,2.02,0.13,,0.15,0.0,0.56,0.33,0.33,0.0,,0.2,0.14,0.06,5.65,3.53,1.7,0.05,0.56,0.06,0.04,0.03,,4.02,1.0,0.01,0.79,0.0,,100.0,0.8,0.3,0.2,50.0,300.0,0.5,0.48,0.02,0.01,0.02,0.01,0.0,0.01,0.01,0.0,0.0,1.0,0.0,0.03,0.02,0.01,53.4,0.02,3,53.4,13.35,0.7,0.0,0.0,0.0,0.0,0.0,0.03,0,9.88,0.04,0.03,0.0,16.93,16.93,0.17,True,False,3,1.0,0.8,0.71,0.0,0.8,1.0,1.0,1.5,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.7,0.0,0.0,0.0,0.0
2025-08-02,1,22,1,DEFAULT,LET_EXP001_2024,Butterhead_Lettuce,GREENHOUSE,NFT,1.0,12,50.0,"NFT System - 1.0m², 12 plants, 500.0L tank",,27.0,23.3,1.03,408.91,,0.0,0.01,0.01,0.21,499.64,17.47,,5.99,0.37,0.0,0.0,0.0,0.0,0.0,,150.0,50.0,200.0,150.0,50.0,,22.0,1.0,1.0,1.0,1.0,,1.0,2,0.0,19.95,,V1,0.35,0.05,2.03,0.1,,0.2,0.0,0.48,0.75,0.75,0.0,,0.28,0.2,0.08,7.98,4.92,2.28,0.07,0.77,0.05,0.03,0.02,,4.03,1.01,0.01,0.79,0.0,,100.0,0.8,0.3,0.2,50.0,300.0,0.5,0.47,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.0,1.0,0.03,0.04,0.03,0.02,46.6,0.02,3,46.6,11.65,0.7,0.01,0.0,0.0,0.0,0.0,0.03,0,13.97,0.04,0.03,0.0,30.75,13.82,0.14,True,False,3,1.0,0.8,0.71,0.0,0.8,1.0,1.0,1.5,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.7,0.0,0.0,0.0,0.0
2025-08-03,2,23,2,DEFAULT,LET_EXP001_2024,Butterhead_Lettuce,GREENHOUSE,NFT,1.0,12,50.0,"NFT System - 1.0m², 12 plants, 500.0L tank",,25.7,24.9,1.39,405.13,,0.0,0.01,0.01,0.28,499.37,23.02,,5.96,0.37,0.0,0.0,0.0,0.0,0.0,,150.0,50.0,200.0,150.0,50.0,,22.0,1.0,1.0,1.0,1.0,,1.0,2,0.01,26.61,,V1,0.46,0.06,2.05,0.1,,0.29,0.0,0.98,0.75,0.75,0.0,,0.37,0.27,0.1,8.96,5.46,2.92,0.09,0.84,0.05,0.03,0.02,,4.04,1.01,0.01,0.79,0.0,,100.0,0.8,0.3,0.2,50.0,300.0,0.5,0.45,0.03,0.01,0.05,0.02,0.01,0.02,0.01,0.01,0.0,1.0,0.07,0.05,0.04,0.03,49.8,0.03,3,49.8,12.45,0.7,0.01,0.0,0.0,0.0,0.0,0.03,0,18.41,0.04,0.03,0.0,46.81,16.06,0.16,True,False,3,1.0,0.8,0.71,0.0,0.8,1.0,1.0,1.5,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.7,0.0,0.0,0.0,0.0
2025-08-04,3,24,3,DEFAULT,LET_EXP001_2024,Butterhead_Lettuce,GREENHOUSE,NFT,1.0,12,50.0,"NFT System - 1.0m², 12 plants, 500.0L tank",,25.0,22.7,1.3,380.46,,0.0,0.01,0.01,0.34,499.03,28.36,,5.96,0.37,0.0,0.0,0.0,0.0,0.0,,150.0,50.0,200.0,150.0,50.0,,22.0,1.0,1.0,1.0,1.0,,1.0,2,0.01,33.01,,V1,0.57,0.08,2.06,0.11,,0.27,0.0,0.86,0.75,0.75,0.0,,0.45,0.33,0.12,10.99,6.75,3.53,0.11,1.03,0.05,0.03,0.02,,4.05,1.01,0.01,0.79,0.0,,100.0,0.8,0.3,0.2,50.0,300.0,0.5,0.44,0.04,0.02,0.06,0.02,0.01,0.02,0.02,0.01,0.01,1.0,0.1,0.06,0.05,0.03,45.4,0.04,3,45.4,11.35,0.7,0.01,0.01,0.0,0.0,0.0,0.03,0,22.68,0.04,0.03,0.0,64.08,17.27,0.17,True,False,3,1.0,0.8,0.71,0.0,0.8,1.0,1.0,1.5,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.7,0.0,0.0,0.0,0.0
2025-08-05,4,25,4,DEFAULT,LET_EXP001_2024,Butterhead_Lettuce,GREENHOUSE,NFT,1.0,12,50.0,"NFT System - 1.0m², 12 plants, 500.0L tank",,23.6,22.7,0.9,407.58,,0.0,0.01,0.01,0.41,498.62,33.85,,5.93,0.37,0.0,0.0,0.0,0.0,0.0,,150.0,50.0,200.0,150.0,50.0,,22.0,1.0,1.0,1.0,0.9,,1.0,2,0.01,39.6,,V1,0.68,0.1,2.07,0.12,,0.17,0.0,0.29,0.75,0.75,0.0,,0.54,0.4,0.15,14.94,9.22,4.15,0.14,1.4,0.06,0.04,0.02,,4.05,1.01,0.01,0.8,0.0,,100.0,0.8,0.29,0.19,50.0,300.0,0.48,0.41,0.05,0.02,0.07,0.03,0.01,0.03,0.02,0.01,0.01,1.0,0.13,0.08,0.06,0.04,45.4,0.05,3,45.4,11.35,0.7,0.01,0.01,0.0,0.0,0.0,0.03,0,27.07,0.04,0.03,0.0,82.68,18.6,0.19,True,False,3,1.0,0.8,0.72,0.0,0.8,1.0,1.0,1.5,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.7,0.0,0.0,0.0,0.0
2025-08-06,5,26,5,DEFAULT,LET_EXP001_2024,Butterhead_Lettuce,GREENHOUSE,NFT,1.0,12,50.0,"NFT System - 1.0m², 12 plants, 500.0L tank",,24.7,21.8,1.31,405.13,,0.0,0.05,0.05,0.48,498.14,40.08,,5.89,0.37,0.0,0.0,0.0,0.0,0.0,,150.0,50.0,200.0,150.0,50.0,,22.0,1.0,1.0,1.0,1.0,,2.0,4,0.01,23.52,,V2,0.8,0.11,2.08,0.11,,0.27,0.0,0.87,0.75,0.75,0.0,,0.64,0.47,0.17,12.58,7.79,3.98,0.16,1.18,0.05,0.03,0.02,,4.06,1.02,0.01,0.8,0.0,,100.0,0.8,0.3,0.2,50.0,300.0,0.5,0.42,0.06,0.02,0.08,0.03,0.02,0.03,0.02,0.02,0.01,1.0,0.17,0.09,0.07,0.05,43.6,0.06,3,43.6,10.9,0.7,0.02,0.01,0.0,0.0,0.0,0.03,0,32.03,0.04,0.03,0.0,100.47,17.79,0.18,True,False,3,1.0,0.8,0.72,0.0,0.8,1.0,1.0,1.5,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.7,0.0,0.0,0.0,0.0
2025-08-07,6,27,6,DEFAULT,LET_EXP001_2024,Butterhead_Lettuce,GREENHOUSE,NFT,1.0,12,50.0,"NFT System - 1.0m², 12 plants, 500.0L tank",,26.3,20.2,1.37,397.74,,0.0,0.06,0.06,0.54,497.6,44.86,,5.93,0.37,0.0,0.0,0.0,0.0,0.0,,150.0,50.0,200.0,150.0,50.0,,22.0,1.0,1.0,1.0,1.0,,2.0,4,0.01,26.38,,V2,0.9,0.13,2.09,0.09,,0.28,0.0,0.96,0.75,0.75,0.0,,0.72,0.53,0.19,13.28,8.24,4.17,0.18,1.24,0.05,0.03,0.02,,4.07,1.02,0.01,0.8,0.0,,100.0,0.8,0.3,0.2,50.0,300.0,0.5,0.41,0.06,0.03,0.09,0.04,0.02,0.04,0.03,0.02,0.01,1.0,0.2,0.1,0.08,0.05,40.4,0.06,3,40.4,10.1,0.7,0.02,0.01,0.0,0.0,0.0,0.03,0,35.84,0.04,0.03,0.0,115.5,15.03,0.15,True,False,3,1.0,0.8,0.72,0.0,0.8,1.0,1.0,1.5,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.7,0.0,0.0,0.0,0.0
2025-08-08,7,28,7,DEFAULT,LET_EXP001_2024,Butterhead_Lettuce,GREENHOUSE,NFT,1.0,12,50.0,"NFT System - 1.0m², 12 plants, 500.0L tank",,24.4,18.7,1.1,402.08,,0.0,0.07,0.07,0.6,497.0,49.89,,5.92,0.37,0.0,0.0,0.0,0.0,0.0,,150.0,50.0,200.0,150.0,50.0,,22.0,1.0,1.0,0.93,1.0,,2.0,4,0.01,29.39,,V2,1.0,0.14,2.1,0.11,,0.22,0.0,0.57,0.75,0.75,0.0,,0.8,0.59,0.21,15.92,9.9,4.98,0.2,1.49,0.05,0.03,0.02,,4.08,1.02,0.01,0.8,0.0,,100.0,0.8,0.28,0.19,50.0,300.0,0.46,0.37,0.07,0.03,0.1,0.04,0.02,0.04,0.03,0.02,0.01,1.0,0.23,0.11,0.08,0.06,37.4,0.07,3,37.4,9.35,0.7,0.02,0.01,0.0,0.0,0.0,0.03,0,39.86,0.04,0.03,0.0,133.81,18.31,0.18,True,False,3,1.0,0.8,0.72,0.0,0.8,1.0,1.0,1.5,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.7,0.0,0.0,0.0,0.0
2025-08-09,8,29,8,DEFAULT,LET_EXP001_2024,Butterhead_Lettuce,GREENHOUSE,NFT,1.0,12,50.0,"NFT System - 1.0m², 12 plants, 500.0L tank",,26.4,21.9,1.14,389.95,,0.0,0.09,0.09,0.66,496.34,50.08,,5.88,0.37,0.0,0.0,0.0,0.0,0.0,,150.0,50.0,200.0,150.0,50.0,,22.0,1.0,1.0,1.0,1.0,,2.0,4,0.01,32.41,,V2,1.1,0.16,2.11,0.1,,0.23,0.0,0.62,0.75,0.75,0.0,,0.88,0.65,0.23,16.71,10.41,5.2,0.22,1.57,0.05,0.03,0.02,,4.09,1.02,0.01,0.8,0.0,,100.0,0.8,0.3,0.2,50.0,300.0,0.5,0.39,0.08,0.03,0.11,0.04,0.02,0.04,0.03,0.02,0.01,1.0,0.27,0.12,0.09,0.06,43.8,0.08,3,43.8,10.95,0.7,0.02,0.01,0.01,0.01,0.0,0.03,0,43.88,0.04,0.03,0.0,148.66,14.85,0.15,True,False,3,1.0,0.8,0.72,0.0,0.8,1.0,1.0,1.5,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.7,0.0,0.0,0.0,0.0
2025-08-10,9,30,9,DEFAULT,LET_EXP001_2024,Butterhead_Lettuce,GREENHOUSE,NFT,1.0,12,50.0,"NFT System - 1.0m², 12 plants, 500.0L tank",,22.8,23.6,0.94,419.45,,0.0,0.09,0.09,0.73,495.61,50.08,,5.87,0.37,0.0,0.0,0.0,0.0,0.0,,150.0,50.0,200.0,150.0,50.0,,22.0,1.0,1.0,1.0,0.94,,2.0,4,0.01,35.88,,V2,1.21,0.17,2.12,0.12,,0.18,0.0,0.35,0.75,0.75,0.0,,0.97,0.72,0.25,19.45,12.13,6.03,0.24,1.82,0.06,0.04,0.02,,4.1,1.02,0.01,0.8,0.0,,100.0,0.8,0.29,0.19,50.0,300.0,0.49,0.37,0.08,0.04,0.12,0.05,0.02,0.05,0.04,0.02,0.01,1.0,0.3,0.14,0.1,0.07,47.2,0.08,3,47.2,11.8,0.7,0.02,0.01,0.01,0.01,0.0,0.03,0,48.51,0.04,0.03,0.0,166.46,17.8,0.18,True,False,3,1.0,0.8,0.72,0.0,0.8,1.0,1.0,1.5,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.7,0.0,0.0,0.0,0.0
