Test_Name,CO2_ppm,EC_dS_m,Temperature_C,Light_MJ_m2_d,pH,Humidity_%,Final_Biomass_g,Final_LAI,Days_to_Maturity,Growth_Stage,Actual_CO2,Actual_EC,Success
Low_CO2,300,1.5,22,15,6.0,70,6.26,1.871,34,HM,400.0,1.5744117647058824,True
Med_CO2,600,1.5,22,15,6.0,70,6.71,1.874,34,HM,400.0,1.584705882352941,True
High_CO2,1200,1.5,22,15,6.0,70,6.77,1.881,34,HM,400.0,1.5876470588235294,True
Low_EC,800,0.8,22,15,6.0,70,6.32,1.895,35,HM,400.0,1.5497142857142858,True
Med_EC,800,1.5,22,15,6.0,70,6.18,1.853,34,HM,400.0,1.555294117647059,True
High_EC,800,2.5,22,15,6.0,70,6.64,1.888,34,HM,400.0,1.5805882352941174,True
Low_Temp,800,1.5,16,15,6.0,70,6.59,1.883,34,HM,400.0,1.593235294117647,True
Med_Temp,800,1.5,22,15,6.0,70,6.61,1.879,34,HM,400.0,1.5879411764705882,True
High_Temp,800,1.5,28,15,6.0,70,6.59,1.873,34,HM,400.0,1.5820588235294117,True
Low_Light,800,1.5,22,8,6.0,70,6.75,1.891,35,HM,400.0,1.5642857142857143,True
Med_Light,800,1.5,22,15,6.0,70,6.41,1.877,34,HM,400.0,1.5823529411764707,True
High_Light,800,1.5,22,25,6.0,70,6.63,1.899,34,HM,400.0,1.5950000000000002,True
Low_pH,800,1.5,22,15,5.5,70,6.58,1.883,34,HM,400.0,1.59,True
Med_pH,800,1.5,22,15,6.0,70,6.73,1.838,33,HM,400.0,1.606060606060606,True
High_pH,800,1.5,22,15,6.5,70,6.92,1.844,33,HM,400.0,1.643939393939394,True
Low_RH,800,1.5,22,15,6.0,50,6.46,1.877,34,HM,400.0,1.5641176470588234,True
High_RH,800,1.5,22,15,6.0,90,6.74,1.9,35,HM,400.0,1.587142857142857,True
Baseline,800,1.5,22,15,6.0,70,6.26,1.871,34,HM,400.0,1.5802941176470586,True
