Date,Day,Treatment_ID,System_ID,Crop_ID,ETO_Ref_mm,ETC_Prime_mm,Transpiration_mm,Water_Total_L,Tank_Volume_L,Temp_C,Solar_Rad_MJ,VPD_kPa,WUE_kg_m3,pH,EC,RZT_C,RZT_Growth_Factor,RZT_Nutrient_Factor,V_Stage,Leaf_Number,Leaf_Area_m2,Avg_Leaf_Area_cm2,CO2_umol_mol,VPD_Actual_kPa,Env_Photo_Factor,Env_Transp_Factor,N-NO3_mg_L,P-PO4_mg_L,K_mg_L,Ca_mg_L,Mg_mg_L,LAI,Growth_Stage,Total_Biomass_g,Integrated_Stress,Temperature_Stress,Water_Stress,Nutrient_Stress,Nitrogen_Stress,Salinity_Stress
2025-08-27,1,Med_Light,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.36,2.49,0.03,0.03,499.97,23.66,22.25,0.76,0.0,6.0,1.88,25.66,1.08,1.06,4.0,4,0.015,37.5,400.0,0.76,1.0,1.0,200.0,50.0,300.0,150.0,50.0,0.18,V4,0.8,0.1,0.01,0.0,0.0,0.0,0.04
2025-08-28,2,Med_Light,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.49,2.6,0.03,0.04,499.93,24.06,19.1,0.85,1.445,5.99,1.86,26.42,1.05,1.04,4.0,4,0.016,40.04,400.0,0.85,1.0,1.0,197.31,49.89,299.55,149.9,49.97,0.192,V4,0.85,0.11,0.03,0.0,0.0,0.0,0.03
2025-08-29,3,Med_Light,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,2.96,2.21,0.03,0.04,499.89,23.12,18.71,0.68,1.571,5.99,1.84,26.13,1.0,1.0,5.0,4,0.017,42.5,400.0,0.68,0.99,0.99,192.34,49.68,298.7,149.72,49.9,0.204,V5,0.9,0.09,0.02,0.0,0.0,0.0,0.02
2025-08-30,4,Med_Light,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,4.35,3.26,0.06,0.07,499.82,26.01,18.14,1.14,0.961,5.98,1.81,27.69,1.11,1.08,5.0,4,0.018,45.4,400.0,1.14,0.81,0.72,185.58,49.39,297.56,149.47,49.81,0.218,V5,0.95,0.2,0.12,0.03,0.0,0.0,0.0
2025-08-31,5,Med_Light,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.29,2.49,0.05,0.06,499.76,24.43,20.27,0.76,1.08,5.98,1.77,27.56,0.98,0.98,5.0,4,0.021,53.19,400.0,0.76,1.0,1.0,176.9,49.02,296.09,149.15,49.7,0.255,V5,1.01,0.1,0.05,0.0,0.0,0.0,0.0
2025-09-01,6,Med_Light,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.37,2.55,0.05,0.06,499.69,23.56,18.52,0.82,1.232,5.97,1.73,26.83,0.96,0.97,6.0,4,0.021,51.91,400.0,0.82,1.0,1.0,167.25,48.61,294.45,148.8,49.58,0.249,V6,1.08,0.08,0.04,0.0,0.0,0.0,0.0
2025-09-02,7,Med_Light,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.52,2.71,0.09,0.11,499.58,22.94,18.58,0.87,0.68,5.97,1.68,26.17,0.97,0.97,6.0,4,0.026,65.17,400.0,0.87,1.0,1.0,156.69,48.17,292.66,148.42,49.44,0.313,V6,1.14,0.07,0.02,0.0,0.0,0.0,0.0
2025-09-03,8,Med_Light,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,4.25,3.34,0.2,0.24,499.35,23.12,18.85,1.09,0.408,6.0,1.88,26.04,1.01,1.01,6.0,4,0.034,84.56,400.0,1.09,0.85,0.77,200.0,50.0,300.0,150.0,50.0,0.406,V6,1.22,0.13,0.02,0.02,0.0,0.0,0.04
2025-09-04,9,Med_Light,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.68,2.84,0.1,0.12,499.23,23.24,22.15,0.87,1.207,5.99,1.81,26.35,0.98,0.99,7.0,4,0.026,65.93,400.0,0.87,1.0,1.0,186.59,49.43,297.73,149.51,49.83,0.316,V7,1.33,0.08,0.03,0.0,0.0,0.0,0.01
2025-09-05,10,Med_Light,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.24,2.55,0.13,0.16,499.07,23.9,20.04,0.75,0.677,5.99,1.74,26.69,1.02,1.01,7.0,4,0.034,84.73,400.0,0.75,1.0,1.0,170.98,48.77,295.09,148.93,49.62,0.407,V7,1.42,0.08,0.03,0.0,0.0,0.0,0.0
