Date,Day,Treatment_ID,System_ID,Crop_ID,ETO_Ref_mm,ETC_Prime_mm,Transpiration_mm,Water_Total_L,Tank_Volume_L,Temp_C,Solar_Rad_MJ,VPD_kPa,WUE_kg_m3,pH,EC,RZT_C,RZT_Growth_Factor,RZT_Nutrient_Factor,V_Stage,Leaf_Number,Leaf_Area_m2,Avg_Leaf_Area_cm2,CO2_umol_mol,VPD_Actual_kPa,Env_Photo_Factor,Env_Transp_Factor,N-NO3_mg_L,P-PO4_mg_L,K_mg_L,Ca_mg_L,Mg_mg_L,LAI,Growth_Stage,Total_Biomass_g,Integrated_Stress,Temperature_Stress,Water_Stress,Nutrient_Stress,Nitrogen_Stress,Salinity_Stress
2025-08-28,1,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.61,2.68,0.03,0.03,499.97,20.0,15.5,0.94,0.0,6.0,0.8,21.35,0.8,0.84,4.0,4,0.014,34.38,400.0,0.82,1.0,1.0,300.0,50.0,300.0,150.0,50.0,0.165,V4,0.8,0.05,0.0,0.0,0.0,0.0,0.0
2025-08-29,2,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.63,2.7,0.03,0.04,499.93,20.0,16.2,0.94,1.266,5.99,0.8,21.89,0.87,0.89,4.0,4,0.014,36.08,400.0,0.95,0.96,0.95,296.22,49.84,299.37,149.86,49.95,0.173,V5,0.84,0.05,0.0,0.0,0.0,0.0,0.0
2025-08-30,3,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.58,2.67,0.03,0.04,499.89,20.0,14.8,0.94,0.962,5.99,0.8,22.11,0.61,0.69,5.0,4,0.015,37.33,400.0,0.73,1.0,1.0,288.56,49.52,298.08,149.58,49.85,0.179,V6,0.87,0.05,0.0,0.0,0.0,0.0,0.0
2025-08-31,4,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.67,2.75,0.05,0.06,499.83,20.0,17.1,0.94,1.052,5.98,0.8,22.19,0.97,0.98,5.0,4,0.017,41.81,400.0,1.06,0.87,0.81,277.08,49.04,296.16,149.17,49.71,0.201,V7,0.92,0.06,0.0,0.01,0.0,0.0,0.0
2025-09-01,5,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.62,2.77,0.07,0.08,499.75,20.0,15.9,0.94,0.621,5.98,0.8,22.23,0.74,0.79,5.0,4,0.022,54.35,400.0,0.82,1.0,1.0,261.93,48.41,293.62,148.62,49.51,0.261,V8,0.96,0.05,0.0,0.0,0.0,0.0,0.0
2025-09-02,6,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.66,2.78,0.07,0.08,499.67,20.0,16.8,0.94,1.097,5.97,0.8,22.24,0.89,0.91,6.0,4,0.021,51.43,400.0,0.95,0.96,0.94,243.11,47.62,290.47,147.94,49.27,0.247,V8,1.04,0.05,0.0,0.0,0.0,0.0,0.0
2025-09-03,7,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.56,2.77,0.1,0.12,499.55,20.0,14.2,0.94,0.396,5.97,0.8,22.25,0.51,0.61,6.0,4,0.027,66.86,400.0,0.66,0.98,0.97,220.67,46.68,286.7,147.13,48.99,0.321,V9,1.08,0.05,0.0,0.0,0.0,0.0,0.0
2025-09-04,8,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.72,2.97,0.21,0.25,499.3,20.0,18.5,0.94,0.502,6.0,0.8,22.25,1.06,1.05,6.0,4,0.035,86.92,400.0,1.18,0.78,0.66,300.0,50.0,300.0,150.0,50.0,0.417,V9,1.18,0.09,0.0,0.04,0.0,0.0,0.0
2025-09-05,9,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.69,2.88,0.12,0.15,499.16,20.0,17.8,0.94,1.167,5.99,0.8,22.25,1.02,1.02,7.0,4,0.027,67.78,400.0,1.06,0.87,0.8,270.29,48.76,295.02,148.92,49.62,0.325,V10,1.32,0.06,0.0,0.02,0.0,0.0,0.0
2025-09-06,10,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.61,2.87,0.17,0.21,498.95,20.0,15.5,0.94,0.385,5.99,0.8,22.25,0.66,0.73,7.0,4,0.034,86.08,400.0,0.82,1.0,1.0,237.38,47.38,289.51,147.72,49.2,0.413,V10,1.39,0.05,0.0,0.0,0.0,0.0,0.0
2025-09-07,11,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.63,2.92,0.22,0.26,498.69,20.0,16.2,0.94,0.507,5.98,0.8,22.25,0.81,0.85,7.0,4,0.038,93.9,400.0,0.95,0.96,0.95,202.48,45.92,283.65,146.45,48.75,0.451,V11+,1.5,0.05,0.0,0.0,0.0,0.0,0.0
2025-09-08,12,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.58,2.79,0.1,0.12,498.56,20.0,14.8,0.94,0.87,5.98,0.8,22.25,0.59,0.67,8.0,4,0.027,66.54,400.0,0.73,1.0,1.0,165.28,44.36,277.39,145.08,48.27,0.319,V11+,1.59,0.05,0.0,0.0,0.0,0.0,0.0
2025-09-09,13,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.67,2.87,0.13,0.16,498.41,20.0,17.1,0.94,0.656,5.97,0.8,22.25,0.96,0.97,8.0,4,0.028,70.01,400.0,1.06,0.87,0.81,126.41,42.72,270.83,143.65,47.76,0.336,V11+,1.68,0.06,0.0,0.01,0.0,0.0,0.0
2025-09-10,14,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.62,2.86,0.15,0.18,498.23,20.0,15.9,0.94,0.382,5.96,0.8,22.25,0.74,0.79,8.0,4,0.031,78.7,400.0,0.82,1.0,1.0,86.65,41.04,264.05,142.17,47.24,0.378,V11+,1.73,0.18,0.0,0.0,0.13,0.13,0.0
2025-09-11,15,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.66,2.98,0.27,0.33,497.9,20.0,16.8,0.94,0.362,6.0,0.8,22.25,0.89,0.91,9.0,5,0.042,83.85,400.0,0.95,0.96,0.94,300.0,50.0,300.0,150.0,50.0,0.503,V11+,1.83,0.05,0.0,0.0,0.0,0.0,0.0
2025-09-12,16,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.56,2.95,0.31,0.37,497.53,20.0,14.2,0.94,0.27,5.99,0.8,22.25,0.51,0.61,9.0,5,0.048,96.43,400.0,0.66,0.98,0.97,254.17,48.08,292.32,148.33,49.41,0.579,V11+,1.91,0.05,0.0,0.0,0.0,0.0,0.0
2025-09-13,17,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.72,3.14,0.52,0.62,496.91,20.0,18.5,0.94,0.372,5.99,0.8,22.25,1.06,1.05,9.0,5,0.055,100.0,400.0,1.18,0.78,0.66,206.21,46.07,284.28,146.58,48.8,0.666,HI,2.11,0.09,0.0,0.04,0.0,0.0,0.0
2025-09-14,18,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.69,3.18,0.68,0.82,496.09,20.0,17.8,0.94,0.332,5.98,0.8,22.25,1.02,1.02,10.0,6,0.066,100.0,400.0,1.06,0.87,0.8,156.42,43.99,275.91,144.75,48.15,0.791,HI,2.33,0.06,0.0,0.02,0.0,0.0,0.0
2025-09-15,19,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.61,3.15,0.71,0.86,495.24,20.0,15.5,0.94,0.255,5.98,0.8,22.25,0.66,0.73,10.0,6,0.072,100.0,400.0,0.82,1.0,1.0,104.44,41.8,267.11,142.83,47.47,0.867,HI,2.51,0.05,0.0,0.0,0.0,0.0,0.0
2025-09-16,20,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.63,3.21,0.89,1.07,494.17,20.0,16.2,0.94,0.11,5.97,0.8,22.25,0.81,0.85,10.0,6,0.079,100.0,400.0,0.95,0.96,0.95,51.41,39.53,258.01,140.82,46.76,0.948,HI,2.61,0.51,0.0,0.0,0.49,0.49,0.0
2025-09-17,21,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.58,3.2,0.93,1.12,493.05,20.0,14.8,0.94,0.004,5.96,0.8,22.25,0.59,0.67,11.0,7,0.086,100.0,400.0,0.73,1.0,1.0,0.88,37.27,248.87,138.8,46.05,1.034,HI,2.62,0.81,0.0,0.0,0.8,0.8,0.0
2025-09-18,22,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.67,3.32,1.28,1.53,491.51,20.0,17.1,0.94,0.275,6.0,0.8,22.25,0.96,0.97,11.0,7,0.094,100.0,400.0,1.06,0.87,0.81,300.0,50.0,300.0,150.0,50.0,1.129,HI,2.97,0.06,0.0,0.01,0.0,0.0,0.0
2025-09-19,23,LOW_N,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.62,3.31,1.27,1.53,489.99,20.0,15.9,0.94,0.234,5.99,0.8,22.25,0.74,0.79,11.0,7,0.1,100.0,400.0,0.82,1.0,1.0,243.95,47.65,290.61,147.96,49.28,1.198,HI,3.27,0.05,0.0,0.0,0.0,0.0,0.0
