parameter_name,category,original_value,modified_value,parameter_change_percent,baseline_biomass,modified_biomass,biomass_change,biomass_change_percent,sensitivity_ratio
base_phyllochron,leaf_development,50.0,55.00000000000001,10.0,35.31501951341352,24.19335283795811,-11.121666675455408,-31.49273829859028,-3.1492738298590277
kc,photosynthesis,404.9,445.39,10.0,35.31501951341352,25.814359538717078,-9.50065997469644,-26.902604346821484,-2.6902604346821484
system_multipliers_aeroponics_root_length_multiplier,root_system,1.5,1.6500000000000001,10.0,35.31501951341352,25.843822094343395,-9.471197419070123,-26.8191765134739,-2.6819176513473897
stress_acceleration_factor,phenology,1.3,1.4300000000000002,10.0,35.31501951341352,26.135786976108704,-9.179232537304813,-25.99243229589131,-2.599243229589131
medium_diameter_mean,root_system,0.4,0.44000000000000006,10.0,35.31501951341352,26.230733882422648,-9.08428563099087,-25.723575283713018,-2.5723575283713016
frost_recovery_rate,stress_parameters,0.08,0.08800000000000001,10.0,35.31501951341352,26.289821699033382,-9.025197814380135,-25.556258891353977,-2.555625889135398
stress_interaction_factor,stress_parameters,1.2,1.32,10.0,35.31501951341352,26.38722310547563,-8.927796407937887,-25.280451578249558,-2.528045157824956
respiration_maintenance_base_rate,respiration_parameters,0.015,0.0165,10.0,35.31501951341352,26.38726946208705,-8.927750051326466,-25.28032031225549,-2.528032031225549
initial_ca,nutrient_concentrations,50.0,55.00000000000001,10.0,35.31501951341352,26.430862055363203,-8.884157458050314,-25.156881067773135,-2.5156881067773136
moderate_stress_threshold,respiration_parameters,3.0,3.3000000000000003,10.0,35.31501951341352,26.472188828745043,-8.842830684668474,-25.039857846630238,-2.5039857846630236
buffering_capacities_stems_phosphorus,nutrient_mobility,0.15,0.165,10.0,35.31501951341352,26.474806125030554,-8.840213388382963,-25.032446562928367,-2.5032446562928365
initial_canopy_height,model_constants,0.1,0.11000000000000001,10.0,35.31501951341352,26.511904517314928,-8.80311499609859,-24.92739666405946,-2.4927396664059462
minimum_volume_fraction,nutrient_parameters,0.1,0.11000000000000001,10.0,35.31501951341352,26.53106334976181,-8.783956163651709,-24.873145434098785,-2.4873145434098785
process_sensitivity_respiration,stress_parameters,0.6,0.66,10.0,35.31501951341352,26.570522874086272,-8.744496639327245,-24.7614096206456,-2.47614096206456
recovery_rate_frost,stress_parameters,0.08,0.08800000000000001,10.0,35.31501951341352,26.640442888785937,-8.67457662462758,-24.56342016555523,-2.456342016555523
ear,photosynthesis,37000.0,40700.0,10.0,35.31501951341352,26.641709761650972,-8.673309751762545,-24.559832816935604,-2.4559832816935603
system_area,system,1.0,1.1,10.0,35.31501951341352,26.650563751588187,-8.66445576182533,-24.534761359920402,-2.45347613599204
bolting_temperature_divisor,phenology,5.0,5.5,10.0,35.31501951341352,26.743446364651508,-8.57157314876201,-24.271749716877018,-2.427174971687702
system_multipliers_dwc_root_length_multiplier,root_system,0.8,0.8800000000000001,10.0,35.31501951341352,26.748523020187253,-8.566496493226264,-24.257374372885444,-2.4257374372885443
self_shading_factor,canopy_parameters,0.8,0.8800000000000001,10.0,35.31501951341352,26.751107477282837,-8.56391203613068,-24.25005607848495,-2.4250056078484947
min_flow_rate,root_system,0.5,0.55,10.0,35.31501951341352,26.795138807205635,-8.519880706207882,-24.125374482581897,-2.4125374482581896
ec_factor_n_no3,nutrient_parameters,0.0064,0.007040000000000001,10.0,35.31501951341352,26.813750129573556,-8.501269383839961,-24.072673613024534,-2.4072673613024533
glucose_to_carbon_ratio,respiration_parameters,0.4,0.44000000000000006,10.0,35.31501951341352,26.869044719111606,-8.445974794301911,-23.916098336272817,-2.3916098336272817
sink_strength_coefficients_vegetative_leaves,nutrient_mobility,0.5,0.55,10.0,35.31501951341352,26.870294620397246,-8.444724893016271,-23.912559045334113,-2.3912559045334114
SD_PM,genetic_parameters,35.0,38.5,10.0,35.31501951341352,26.909281619029922,-8.405737894383595,-23.802161262266576,-2.3802161262266575
storage_pool_sizes_roots_nitrogen,nutrient_mobility,0.35,0.385,10.0,35.31501951341352,26.936165651664083,-8.378853861749434,-23.726034919977714,-2.372603491997771
initial_k,nutrient_concentrations,90.0,99.00000000000001,10.0,35.31501951341352,26.971619349486687,-8.34340016392683,-23.625642230659963,-2.3625642230659962
phloem_transport_rates_nitrogen,nutrient_mobility,0.2,0.22000000000000003,10.0,35.31501951341352,26.979259085206323,-8.335760428207195,-23.60400912433608,-2.360400912433608
cold_threshold_mild,stress_parameters,18.0,19.8,10.0,35.31501951341352,26.992272774922995,-8.322746738490522,-23.5671588269386,-2.3567158826938597
stress_response_capacity,genetic_parameters,0.2,0.22000000000000003,10.0,35.31501951341352,27.018041333356585,-8.296978180056932,-23.494191124276558,-2.3494191124276558
co2_compensation,photosynthesis,50.0,55.00000000000001,10.0,35.31501951341352,27.06281735226886,-8.252202161144659,-23.36740082505198,-2.336740082505198
solution_change_days,system,7.0,7.700000000000001,10.0,35.31501951341352,27.06575282043545,-8.249266692978068,-23.359088587915952,-2.335908858791595
min_ec_threshold,nutrient_management,1.0,1.1,10.0,35.31501951341352,27.079914082543624,-8.235105430869893,-23.318988759844792,-2.3318988759844794
stress_onset_water,stress_parameters,0.6,0.66,10.0,35.31501951341352,27.08339696358043,-8.231622549833087,-23.309126437567205,-2.3309126437567205
enzyme_saturation_rate,photosynthesis,0.1,0.11000000000000001,10.0,35.31501951341352,27.09065623824047,-8.224363275173047,-23.288570666226676,-2.3288570666226676
pid_co2_kp,environmental_control_parameters,1.5,1.6500000000000001,10.0,35.31501951341352,27.115293057592226,-8.199726455821292,-23.218807659746112,-2.321880765974611
coarse_min_activity,root_system,0.3,0.33,10.0,35.31501951341352,27.12497879328792,-8.190040720125598,-23.191380984554797,-2.31913809845548
cavitation_threshold,root_system,-2.0,-2.2,10.0,35.31501951341352,27.138672878917802,-8.176346634495715,-23.15260403973481,-2.315260403973481
mobility_classifications_manganese_remobilization_efficiency,nutrient_mobility,0.35,0.385,10.0,35.31501951341352,27.171970748152663,-8.143048765260854,-23.058315916172504,-2.3058315916172503
remobilization_efficiency_roots,nitrogen_parameters,0.5,0.55,10.0,35.31501951341352,27.20217335908283,-8.112846154330686,-22.972792500508817,-2.297279250050882
n_effect_slope,respiration_parameters,0.08,0.08800000000000001,10.0,35.31501951341352,27.222965176029277,-8.09205433738424,-22.913917219586068,-2.2913917219586066
default_ph,system,6.0,6.6000000000000005,10.0,35.31501951341352,27.226021208896647,-8.08899830451687,-22.90526358464695,-2.290526358464695
flow_rate_variation,system,0.2,0.22000000000000003,10.0,35.31501951341352,27.22978512778635,-8.085234385627167,-22.89460545974269,-2.289460545974269
ph_target_min,nutrient_parameters,5.8,6.38,10.0,35.31501951341352,27.243434719088228,-8.07158479432529,-22.85595450757008,-2.285595450757008
max_ec_limit,nutrient_parameters,5.0,5.5,10.0,35.31501951341352,27.24431855522043,-8.070700958193086,-22.853451787355333,-2.2853451787355334
critical_n_concentrations_stems_optimal,nitrogen_parameters,0.025,0.027500000000000004,10.0,35.31501951341352,27.245800759729264,-8.069218753684254,-22.849254693514652,-2.284925469351465
ec_uptake_modifier_fe_low,nutrient_parameters,0.4,0.44000000000000006,10.0,35.31501951341352,27.24897844023208,-8.066041073181438,-22.840256594273594,-2.2840256594273596
sink_strength_coefficients_vegetative_roots,nutrient_mobility,0.25,0.275,10.0,35.31501951341352,27.261856504144376,-8.053163009269142,-22.803790342549153,-2.2803790342549153
ammonium_alkalinization_factor,nutrient_parameters,0.002,0.0022,10.0,35.31501951341352,27.28065353427538,-8.034365979138137,-22.7505636124213,-2.2750563612421297
translocation_rate,nitrogen_parameters,0.35,0.385,10.0,35.31501951341352,27.282862393334177,-8.03215712007934,-22.744308882594638,-2.274430888259464
ammonium_assimilation_rate,nitrogen_parameters,1.2,1.32,10.0,35.31501951341352,27.28806205761743,-8.026957455796087,-22.729585220099484,-2.272958522009948
light_stress_threshold,senescence_parameters,0.5,0.55,10.0,35.31501951341352,27.298317748104097,-8.01670176530942,-22.700544628793082,-2.2700544628793082
allocation_coefficients_reproductive_reproductive,nitrogen_parameters,0.3,0.33,10.0,35.31501951341352,27.306805757026318,-8.0082137563872,-22.67650950425068,-2.267650950425068
optimal_oxygen_level,root_system,6.0,6.6000000000000005,10.0,35.31501951341352,27.327874551775764,-7.987144961637753,-22.61684991736742,-2.2616849917367423
solution_change_interval,nutrient_management,7.0,7.700000000000001,10.0,35.31501951341352,27.345610543202604,-7.969408970210914,-22.56662768424618,-2.2566627684246177
stress_weight_nutrient,stress_parameters,0.25,0.275,10.0,35.31501951341352,27.37264481475948,-7.942374698654039,-22.490075916954623,-2.249007591695462
default_leaf_nitrogen_conc,nitrogen_parameters,4.5,4.95,10.0,35.31501951341352,27.401935899645295,-7.913083613768222,-22.407133629821832,-2.2407133629821834
storage_pool_sizes_roots_potassium,nutrient_mobility,0.45,0.49500000000000005,10.0,35.31501951341352,27.40831292491996,-7.906706588493556,-22.389076085574278,-2.2389076085574278
water_nutrient_interaction_factor,water,0.2,0.22000000000000003,10.0,35.31501951341352,27.485616658522883,-7.829402854890635,-22.170178475809234,-2.2170178475809235
growth_efficiency,respiration_parameters,0.75,0.8250000000000001,10.0,35.31501951341352,27.511016632866504,-7.804002880547014,-22.09825447663383,-2.209825447663383
ec_factor_mo,nutrient_parameters,0.55,0.6050000000000001,10.0,35.31501951341352,27.51980666987852,-7.795212843534998,-22.073364112326722,-2.207336411232672
phloem_transport_rates_manganese,nutrient_mobility,0.08,0.08800000000000001,10.0,35.31501951341352,27.536812055261457,-7.77820745815206,-22.025210704464442,-2.202521070446444
ec_factor_ca,nutrient_parameters,0.005,0.0055000000000000005,10.0,35.31501951341352,27.536829986416883,-7.778189526996634,-22.025159929593936,-2.202515992959394
max_humidity,environment,85.0,93.50000000000001,10.0,35.31501951341352,27.559688662712084,-7.755330850701434,-21.96043201322816,-2.196043201322816
day_temp,environment,23.0,25.3,10.0,35.31501951341352,27.56053999287102,-7.754479520542496,-21.95802133875971,-2.1958021338759712
mobility_classifications_phosphorus_retranslocation_rate,nutrient_mobility,0.12,0.132,10.0,35.31501951341352,27.56593505632199,-7.749084457091527,-21.94274437296639,-2.194274437296639
stress_memory_days,stress_parameters,21.0,23.1,10.0,35.31501951341352,27.57425907110192,-7.740760442311597,-21.91917362348183,-2.1919173623481827
phloem_transport_rates_zinc,nutrient_mobility,0.1,0.11000000000000001,10.0,35.31501951341352,27.59934754455884,-7.715671968854679,-21.848131687776856,-2.1848131687776857
initial_root_biomass,model_constants,0.22,0.24200000000000002,10.0,35.31501951341352,27.600097997330824,-7.714921516082693,-21.84600666340387,-2.184600666340387
heat_threshold_severe,stress_parameters,32.0,35.2,10.0,35.31501951341352,27.600784700019144,-7.7142348133943734,-21.84406215736145,-2.184406215736145
ph_buffer_capacity,nutrient_parameters,2.5,2.75,10.0,35.31501951341352,27.622471755602835,-7.692547757810683,-21.782651868247907,-2.178265186824791
critical_n_concentrations_leaves_minimum,nitrogen_parameters,0.015,0.0165,10.0,35.31501951341352,27.62333529507702,-7.691684218336498,-21.78020662119415,-2.178020662119415
water_system_stress_factor,water,0.5,0.55,10.0,35.31501951341352,27.64557088470281,-7.6694486287107075,-21.717243072165545,-2.1717243072165546
