parameter_name,category,original_value,modified_value,parameter_change_percent,baseline_biomass,modified_biomass,biomass_change,biomass_change_percent,sensitivity_ratio
V8_to_V9,thermal_requirements,35.0,38.5,10.0,31.13793621194963,39.74200825916705,8.604072047217421,27.632120474045692,2.7632120474045694
ec_factor_fe,nutrient_parameters,0.45,0.49500000000000005,10.0,31.13793621194963,39.6557443315027,8.517808119553074,27.35508243569541,2.7355082435695413
activation_energy,nutrient_mobility,50000.0,55000.00000000001,10.0,31.13793621194963,39.58464873490662,8.446712522956993,27.12675774483553,2.712675774483553
ci_fraction,photosynthesis,0.7,0.77,10.0,31.13793621194963,38.92985849441925,7.791922282469621,25.023887997687392,2.502388799768739
pid_temperature_ki,environmental_control_parameters,0.8,0.8800000000000001,10.0,31.13793621194963,38.57757378133485,7.439637569385219,23.892519782766307,2.3892519782766306
n_channels,root_system,4.0,4.4,10.0,31.13793621194963,38.53439364630735,7.396457434357721,23.75384606099625,2.375384606099625
drought_threshold,phenology,0.6,0.66,10.0,31.13793621194963,38.41798774183954,7.28005152988991,23.380006562850127,2.3380006562850126
nutrient_mobility_base_temperature,nutrient_mobility,25.0,27.500000000000004,10.0,31.13793621194963,38.359679067814184,7.221742855864555,23.192747286485567,2.3192747286485567
critical_n_concentrations_roots_critical,nitrogen_parameters,0.02,0.022000000000000002,10.0,31.13793621194963,38.16103495209631,7.023098740146679,22.554798405205364,2.2554798405205365
carbohydrate_respiration_cost,respiration_parameters,1.27,1.3970000000000002,10.0,31.13793621194963,37.91563968144436,6.777703469494732,21.766707412335474,2.1766707412335475
optimal_temperature_min,environment,15.0,16.5,10.0,31.13793621194963,37.725579416082056,6.587643204132426,21.156325709230288,2.1156325709230286
reference_leaf_n,respiration_parameters,0.04,0.044000000000000004,10.0,31.13793621194963,37.438107886507176,6.3001716745575465,20.233106111058717,2.0233106111058716
min_daylight_co2,environment,500.0,550.0,10.0,31.13793621194963,37.41108178708436,6.273145575134734,20.146311343291032,2.014631134329103
initial_zn,nutrient_concentrations,0.1,0.11000000000000001,10.0,31.13793621194963,37.37581950838893,6.2378832964393,20.03306594881334,2.0033065948813342
SDLIP,genetic_parameters,0.0,0.0,10.0,31.13793621194963,37.37357215700207,6.235635945052444,20.02584854245873,2.002584854245873
bottom_canopy_lai_factor,canopy_parameters,0.6,0.66,10.0,31.13793621194963,37.26938691078751,6.131450698837881,19.691255891534805,1.9691255891534805
lipid_respiration_cost,respiration_parameters,2.41,2.6510000000000002,10.0,31.13793621194963,37.12166168020936,5.983725468259728,19.2168338567133,1.92168338567133
