parameter_name,category,increase_sensitivity,decrease_sensitivity,max_sensitivity,asymmetry_index,increase_biomass_change,decrease_biomass_change
thermal_time_scale,phenology,(0.8603706096303109-5.546298430463603e-17j),(-4.561411449218252+3.36738012783834e-16j),4.561411449218252,-0.8113806177739648,(8.603706096303108-5.546298430463603e-16j),(45.614114492182516-3.36738012783834e-15j)
phloem_transport_rates_iron,nutrient_mobility,(3.8416820088371852-2.5683909902432506e-16j),(-1.0755167320518504+8.823057344794339e-17j),3.8416820088371852,0.720040146587408,(38.41682008837185-2.5683909902432505e-15j),(10.755167320518504-8.823057344794339e-16j)
phenology_optimal_temperature_max,phenology,(0.16920899695491104+1.4897325773195927e-17j),(-3.792216536199716-2.919560424864283e-17j),3.792216536199716,-0.9553799221801612,(1.6920899695491103+1.4897325773195926e-16j),(37.92216536199716+2.9195604248642833e-16j)
base_phyllochron,leaf_development,(-0.41081144284564597+2.706970982308791e-18j),(-3.500217945666396+1.8148211893313885e-16j),3.500217945666396,-0.8826326105337897,(-4.108114428456459+2.7069709823087907e-17j),(35.00217945666396-1.8148211893313883e-15j)
phloem_transport_rates_magnesium,nutrient_mobility,(3.208790757512715-1.8439844105643844e-16j),(-0.9174039894749232+5.0555799538147714e-17j),3.208790757512715,0.7140966617012927,(32.08790757512715-1.8439844105643843e-15j),(9.174039894749232-5.055579953814771e-16j)
recovery_rate_heat,stress_parameters,(3.138057735200249-1.738687853827118e-16j),(-0.7878904008064085+5.112022917268114e-17j),3.138057735200249,0.7489241858209053,(31.380577352002486-1.738687853827118e-15j),(7.878904008064085-5.112022917268114e-16j)
lower_canopy_factor,senescence_parameters,(0.907913769598879-4.0910154155517466e-17j),(-3.1313813577852816+1.714439870038136e-16j),3.1313813577852816,-0.7100596618991769,(9.07913769598879-4.0910154155517464e-16j),(31.313813577852816-1.7144398700381358e-15j)
eaj,photosynthesis,(3.1138203133129387-1.6161231372771333e-16j),(-1.44496678710405+5.140011993984485e-17j),3.1138203133129387,0.5359504911294376,(31.138203133129384-1.6161231372771331e-15j),(14.449667871040498-5.140011993984484e-16j)
V6_to_V7,thermal_requirements,(1.7427741048393477-5.50712781479769e-17j),(-3.079500793025579+1.5384819041800394e-16j),3.079500793025579,-0.4340725260450122,(17.427741048393475-5.50712781479769e-16j),(30.795007930255785-1.5384819041800392e-15j)
xylem_conductance_scaling_factor,root_system,(3.0745984698428526-2.1547003588225262e-16j),(-1.9615359944630524+1.2100056546524607e-16j),3.0745984698428526,0.36201880873136927,(30.745984698428526-2.154700358822526e-15j),(19.615359944630523-1.2100056546524605e-15j)
optimal_vpd,environment,(3.0146008453127613-1.4829091380506964e-16j),(-0.8333367341561657+7.560788579528023e-17j),3.0146008453127613,0.7235664763207788,(30.14600845312761-1.4829091380506963e-15j),(8.333367341561656-7.560788579528023e-16j)
biosynthetic_cost,respiration_parameters,(0.6950441268926393+1.558858608292197e-17j),(-2.981147492564949+1.4434735586434713e-16j),2.981147492564949,-0.7668534922790317,(6.950441268926393+1.5588586082921968e-16j),(29.811474925649488-1.4434735586434712e-15j)
V11+_to_HI,thermal_requirements,(2.9242494424437306-1.8596104414280101e-16j),(-1.7259092144172126+9.016569902216985e-17j),2.9242494424437306,0.4097941203760961,(29.242494424437304-1.85961044142801e-15j),(17.259092144172126-9.016569902216984e-16j)
THRSH,genetic_parameters,(1.1032471448509473-2.5157911883418513e-17j),(-2.904298663847282+1.2296754095434963e-16j),2.904298663847282,-0.6201330260609313,(11.032471448509472-2.515791188341851e-16j),(29.04298663847282-1.2296754095434962e-15j)
heat_tolerance,genetic_parameters,(1.3534246041046347-3.9658213812315964e-17j),(-2.882787112045677+2.1194024619336778e-16j),2.882787112045677,-0.5305152439285673,(13.534246041046346-3.965821381231596e-16j),(28.82787112045677-2.1194024619336776e-15j)
ec_stress_high_factor,stress_parameters,(0.20967675346043732+3.51335421546589e-18j),(-2.8719539213881116+1.3459971971680787e-16j),2.8719539213881116,-0.9269916025118212,(2.096767534604373+3.51335421546589e-17j),(28.719539213881113-1.3459971971680786e-15j)
EC_TOLERANCE,genetic_parameters,(2.8711233815089363-1.0629271383145354e-16j),(-1.3546068412731+5.127014818075856e-17j),2.8711233815089363,0.5281962280000736,(28.71123381508936-1.0629271383145354e-15j),(13.546068412731-5.127014818075856e-16j)
cold_lethal_temperature,stress_parameters,(2.8610167742062944-2.2507613249819347e-16j),(-0.5890662427006323+1.34996894043207e-17j),2.8610167742062944,0.7941059807787909,(28.61016774206294-2.2507613249819344e-15j),(5.8906624270063235-1.34996894043207e-16j)
ec_factor_k,nutrient_parameters,(-0.14506736188217478+1.0381763305915393e-17j),(-2.8285016158694822+1.4190621779543944e-16j),2.8285016158694822,-0.9487122930854041,(-1.4506736188217477+1.0381763305915393e-16j),(28.28501615869482-1.4190621779543944e-15j)
cold_stress_weight,genetic_parameters,(2.8189034379448508-1.2748155987255128e-16j),(-0.7519231375107512+3.308893013430378e-17j),2.8189034379448508,0.7332568659893691,(28.189034379448508-1.2748155987255128e-15j),(7.519231375107512-3.308893013430378e-16j)
max_temperature_gradient,canopy_parameters,(2.806519902622342-1.449392805910756e-16j),(-1.801012932581054+6.162937700587398e-17j),2.806519902622342,0.35827537481625105,(28.065199026223418-1.4493928059107558e-15j),(18.01012932581054-6.162937700587397e-16j)
kc,photosynthesis,(-0.8939527163285963+4.1099966560836543e-17j),(-2.7857976390633605+1.2393292767956455e-16j),2.7857976390633605,-0.6791034984762351,(-8.939527163285963+4.109996656083654e-16j),(27.857976390633603-1.2393292767956455e-15j)
system_channel_width,system,(2.7481435794138718-1.5060099271511437e-16j),(-1.8166055060128885+8.898676275371401e-17j),2.7481435794138718,0.3389699433388641,(27.481435794138715-1.5060099271511436e-15j),(18.166055060128883-8.8986762753714e-16j)
system_multipliers_nft_root_length_multiplier,root_system,(0.4283594616144315-8.928214150302407e-18j),(-2.747011230678439+1.5042370980299292e-16j),2.747011230678439,-0.8440634472729702,(4.283594616144315-8.928214150302407e-17j),(27.47011230678439-1.504237098029929e-15j)
phosphorus_recovery,senescence_parameters,(2.7323244966465268-1.4565119119765136e-16j),(-2.0752792134944027+1.0355497994472636e-16j),2.7323244966465268,0.24047117535217274,(27.323244966465264-1.4565119119765134e-15j),(20.752792134944027-1.0355497994472636e-15j)
specific_root_activity,nitrogen_parameters,(1.122439106880132-5.3334961402770485e-17j),(-2.73206118349767+2.0498752322726813e-16j),2.73206118349767,-0.5891603329896329,(11.224391068801319-5.333496140277048e-16j),(27.320611834976695-2.0498752322726812e-15j)
respiration_maintenance_base_rate,respiration_parameters,(1.3303369958442441+1.1303423908754445e-17j),(-2.728337955085888+1.8662618317225712e-16j),2.728337955085888,-0.512400216635785,(13.30336995844244+1.1303423908754445e-16j),(27.28337955085888-1.866261831722571e-15j)
sink_strength_coefficients_vegetative_leaves,nutrient_mobility,(0.5600447230338789+1.171530288630451e-17j),(-2.710428203458239+1.8842790865919214e-16j),2.710428203458239,-0.793374079298866,(5.600447230338789+1.1715302886304509e-16j),(27.10428203458239-1.8842790865919214e-15j)
min_humidity,environment,(2.7067274874721257-1.58300806461403e-16j),(-1.9351071184980293+7.789640540482286e-17j),2.7067274874721257,0.28507501126193174,(27.067274874721253-1.5830080646140299e-15j),(19.35107118498029-7.789640540482285e-16j)
early_senescence_threshold,senescence_parameters,(0.7853774354441589-4.548434350629742e-17j),(-2.692321896854505+1.681893023149557e-16j),2.692321896854505,-0.7082899201756924,(7.8537743544415894-4.548434350629742e-16j),(26.923218968545047-1.6818930231495568e-15j)
maximum_temperature,phenology,(2.689216360963098-1.3574867331462777e-16j),(-1.6120244610157908+5.45496374451702e-17j),2.689216360963098,0.400559774804259,(26.89216360963098-1.3574867331462775e-15j),(16.120244610157908-5.45496374451702e-16j)
V7_to_V8,thermal_requirements,(2.6751544592834198-1.7426383888381442e-16j),(-1.8212497871776971+1.1193258407847498e-16j),2.6751544592834198,0.31919826877377905,(26.751544592834197-1.7426383888381441e-15j),(18.21249787177697-1.1193258407847497e-15j)
water_nutrient_interaction_factor,water,(1.2015042883707379-7.3612701336113e-17j),(-2.655887996609069+2.0461730315138634e-16j),2.655887996609069,-0.547607320073448,(12.015042883707377-7.3612701336113e-16j),(26.558879966090686-2.0461730315138632e-15j)
SDPRO,genetic_parameters,(2.636915974010769-2.0223452941235018e-16j),(-1.8775498992973976+9.311422319710534e-17j),2.636915974010769,0.28797507474550654,(26.36915974010769-2.0223452941235017e-15j),(18.775498992973976-9.311422319710534e-16j)
min_temperature_factor,root_system,(1.0163055644668746-5.750413322478725e-17j),(-2.6354835704396464+1.6850150850737673e-16j),2.6354835704396464,-0.6143760576366118,(10.163055644668745-5.750413322478725e-16j),(26.35483570439646-1.6850150850737672e-15j)
ph_target_max,nutrient_parameters,(0.5258875350481371+1.1307049426396704e-17j),(-2.6240960911782167+1.8769904395024647e-16j),2.6240960911782167,-0.7995928819771175,(5.258875350481371+1.1307049426396703e-16j),(26.240960911782167-1.8769904395024647e-15j)
