parameter_name,category,original_value,modified_value,direction,parameter_change_percent,baseline_biomass,modified_biomass,biomass_change,biomass_change_percent,sensitivity_ratio
GE_to_VE,thermal_requirements,80.0,88.0,increase,10.0,(24.689568425019537+1.8473228386863463e-15j),(26.636135670360915+2.0574673868771505e-15j),(1.9465672453413774+2.1014454819080418e-16j),(7.884168778619858+2.6123784989866665e-16j),(0.7884168778619859+2.6123784989866665e-17j)
GE_to_VE,thermal_requirements,80.0,72.0,decrease,-10.0,(24.689568425019537+1.8473228386863463e-15j),(28.391383785161267+1.9594042544667062e-15j),(3.7018153601417296+1.1208141578035992e-16j),(14.993438914835142-6.678764195439577e-16j),(-1.4993438914835142+6.678764195439577e-17j)
VE_to_V1,thermal_requirements,45.0,49.50000000000001,increase,10.0,(24.689568425019537+1.8473228386863463e-15j),(28.998040829776947+1.902292136667812e-15j),(4.30847240475741+5.4969297981465784e-17j),(17.450578035990922-1.0830453208295245e-15j),(1.7450578035990922-1.0830453208295245e-16j)
VE_to_V1,thermal_requirements,45.0,40.5,decrease,-10.0,(24.689568425019537+1.8473228386863463e-15j),(27.693695706216044+1.8889297109770797e-15j),(3.0041272811965065+4.1606872290733415e-17j),(12.167597381541226-7.418838997293432e-16j),(-1.2167597381541226+7.418838997293433e-17j)
V1_to_V2,thermal_requirements,35.0,38.5,increase,10.0,(24.689568425019537+1.8473228386863463e-15j),(24.329860597874713+1.9163545534294715e-15j),(-0.35970782714482397+6.903171474312514e-17j),(-1.4569222958968726+3.8860854675739685e-16j),(-0.14569222958968728+3.8860854675739685e-17j)
V1_to_V2,thermal_requirements,35.0,31.5,decrease,-10.0,(24.689568425019537+1.8473228386863463e-15j),(25.166810670790433+1.998754170765434e-15j),(0.4772422457708956+1.5143133207908782e-16j),(1.9329711947790675+4.687125823367412e-16j),(-0.19329711947790676-4.6871258233674125e-17j)
V2_to_V3,thermal_requirements,35.0,38.5,increase,10.0,(24.689568425019537+1.8473228386863463e-15j),(26.657427732641857+1.8801404066265367e-15j),(1.9678593076223194+3.2817567940190354e-17j),(7.970407881363208-4.634410582598031e-16j),(0.7970407881363208-4.6344105825980316e-17j)
V2_to_V3,thermal_requirements,35.0,31.5,decrease,-10.0,(24.689568425019537+1.8473228386863463e-15j),(24.995381815022903+1.985701043476937e-15j),(0.30581339000336527+1.3837820479059058e-16j),(1.23863400420343+4.677952808043626e-16j),(-0.12386340042034301-4.6779528080436265e-17j)
V3_to_V4,thermal_requirements,35.0,38.5,increase,10.0,(24.689568425019537+1.8473228386863463e-15j),(27.01364841040259+2.000420380390599e-15j),(2.324079985383051+1.5309754170425284e-16j),(9.413206198565668-8.422490784981435e-17j),(0.9413206198565668-8.422490784981435e-18j)
V3_to_V4,thermal_requirements,35.0,31.5,decrease,-10.0,(24.689568425019537+1.8473228386863463e-15j),(29.81256809737937+2.0313794701276574e-15j),(5.122999672359832+1.840566314413111e-16j),(20.749652582701138-8.070470744441161e-16j),(-2.074965258270114+8.070470744441161e-17j)
